Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
537	0.296089	216	0.444444	114	0.017544	133	0.932331	1.237322	753	0.338645	0.381000	0.303180	
520	0.184615	221	0.303167	76	0.013158	183	0.967213	1.237322	741	0.219973	0.341000	0.317134	
566	0.178445	215	0.297674	83	0.024096	136	0.992647	1.237322	781	0.211268	0.302000	0.322907	
496	0.225806	196	0.321429	113	0.017699	195	0.989744	1.237322	692	0.252890	0.370000	0.331289	
496	0.272177	239	0.393305	97	0.010309	168	0.976190	1.237322	735	0.311565	0.394000	0.336190	
546	0.243590	210	0.409524	107	0.018692	137	0.978102	1.237322	756	0.289683	0.355000	0.338592	
541	0.251386	196	0.423469	81	0.024691	182	0.846154	1.237322	737	0.297151	0.375000	0.339104	
523	0.225621	203	0.310345	102	0.019608	172	0.930233	1.237322	726	0.249311	0.343000	0.339573	
428	0.182243	182	0.291209	127	0.031496	263	0.904943	1.237322	610	0.214754	0.373000	0.345794	
518	0.183398	227	0.352423	90	0.011111	165	0.945455	1.237322	745	0.234899	0.332000	0.348428	
462	0.242424	189	0.322751	86	0.034884	263	0.980989	1.237322	651	0.265745	0.434000	0.350841	
532	0.236842	231	0.337662	95	0.010526	142	0.950704	1.237322	763	0.267366	0.340000	0.353424	
546	0.221612	212	0.330189	71	0.028169	171	0.871345	1.237322	758	0.251979	0.342000	0.352969	
514	0.250973	197	0.340102	124	0.056452	165	0.993939	1.237322	711	0.275668	0.367000	0.352683	
551	0.232305	243	0.341564	80	0.037500	126	0.984127	1.237322	794	0.265743	0.338000	0.352984	
529	0.194707	200	0.345000	84	0.011905	187	0.994652	1.237322	729	0.235940	0.359000	0.352563	
495	0.230303	187	0.379679	88	0.022727	230	1.000000	1.237322	682	0.271261	0.417000	0.354228	
516	0.217054	236	0.360169	88	0.000000	160	0.987500	1.237322	752	0.261968	0.355000	0.355726	
478	0.217573	202	0.346535	124	0.056452	196	0.984694	1.237322	680	0.255882	0.374000	0.355978	
520	0.184615	202	0.331683	116	0.017241	162	0.962963	1.237322	722	0.225762	0.321000	0.355333	
536	0.214552	205	0.341463	90	0.011111	169	0.946746	1.237322	741	0.249663	0.346000	0.354971	
540	0.188889	226	0.362832	78	0.012821	156	0.923077	1.237322	766	0.240209	0.329000	0.354830	
527	0.212524	183	0.316940	107	0.037383	183	0.978142	1.237322	710	0.239437	0.353000	0.354965	
519	0.229287	206	0.368932	95	0.042105	180	0.961111	1.237322	725	0.268966	0.372000	0.355074	
482	0.246888	238	0.390756	111	0.018018	169	0.988166	1.237322	720	0.294444	0.381000	0.356094	
519	0.169557	195	0.384615	90	0.077778	196	0.877551	1.237322	714	0.228291	0.342000	0.356676	
526	0.249049	224	0.325893	93	0.010753	157	0.936306	1.237322	750	0.272000	0.352000	0.356660	
480	0.239583	225	0.257778	109	0.000000	186	0.989247	1.237322	705	0.245390	0.357000	0.357104	
499	0.274549	236	0.347458	83	0.012048	182	0.983516	1.237322	735	0.297959	0.399000	0.357520	
566	0.220848	186	0.349462	83	0.012048	165	0.969697	1.237322	752	0.252660	0.351000	0.357229	
533	0.191370	224	0.343750	107	0.056075	136	0.985294	1.237322	757	0.236460	0.319000	0.357319	
519	0.190751	212	0.377358	99	0.050505	170	0.864706	1.237322	731	0.244870	0.331000	0.356910	
475	0.229474	219	0.360731	108	0.009259	198	0.984848	1.237322	694	0.270893	0.384000	0.357209	
530	0.207547	187	0.411765	100	0.050000	183	0.934426	1.237322	717	0.260809	0.363000	0.357770	
523	0.235182	202	0.297030	93	0.043011	182	0.972527	1.237322	725	0.252414	0.364000	0.357798	
508	0.194882	215	0.353488	85	0.023529	192	0.994792	1.237322	723	0.242047	0.368000	0.357777	
521	0.230326	196	0.438776	103	0.029126	180	0.983333	1.237322	717	0.287308	0.386000	0.358106	
513	0.204678	218	0.366972	108	0.037037	161	0.987578	1.237322	731	0.253078	0.348000	0.358078	
512	0.218750	216	0.356481	95	0.010526	177	0.983051	1.237322	728	0.259615	0.364000	0.358325	
505	0.201980	201	0.338308	121	0.024793	173	0.924855	1.237322	706	0.240793	0.333000	0.358432	
474	0.179325	232	0.379310	99	0.030303	195	0.897436	1.237322	706	0.245042	0.351000	0.358594	
474	0.248945	201	0.263682	120	0.066667	205	0.980488	1.237322	675	0.253333	0.380000	0.358726	
499	0.268537	200	0.425000	101	0.009901	200	0.960000	1.237322	699	0.313305	0.412000	0.358670	
539	0.278293	202	0.311881	91	0.076923	168	0.946429	1.237322	741	0.287449	0.379000	0.358890	
467	0.186296	187	0.352941	127	0.023622	219	0.990868	1.237322	654	0.233945	0.373000	0.358879	
513	0.196881	194	0.319588	91	0.054945	202	0.990099	1.237322	707	0.230552	0.368000	0.359219	
497	0.209256	196	0.408163	103	0.029126	204	0.995098	1.027586	693	0.265512	0.390000	0.359517	
460	0.315217	198	0.464646	110	0.009091	232	0.995690	1.027586	658	0.360182	0.469000	0.360891	
568	0.301056	206	0.422330	81	0.012346	145	0.958621	1.027586	774	0.333333	0.398000	0.361571	
572	0.281469	226	0.442478	94	0.085106	108	0.888889	1.027586	798	0.327068	0.365000	0.362210	
574	0.308362	247	0.417004	66	0.045455	113	0.982301	1.027586	821	0.341048	0.394000	0.362636	
506	0.300395	204	0.352941	101	0.029703	189	0.984127	1.027586	710	0.315493	0.413000	0.363899	
539	0.298701	229	0.388646	75	0.026667	157	0.980892	1.027586	768	0.325521	0.406000	0.364642	
587	0.291312	215	0.502326	102	0.039216	96	0.989583	1.027586	802	0.347880	0.378000	0.364992	
528	0.287879	205	0.400000	94	0.053191	173	0.982659	1.027586	733	0.319236	0.409000	0.365434	
562	0.266904	199	0.412060	83	0.024096	156	1.000000	1.027586	761	0.304862	0.390000	0.366306	
521	0.339731	203	0.403941	84	0.035714	192	0.994792	1.027586	724	0.357735	0.453000	0.367182	
522	0.279693	196	0.362245	111	0.090090	171	0.988304	1.027586	718	0.302228	0.396000	0.367835	
538	0.260223	206	0.432039	106	0.075472	150	0.986667	1.027586	744	0.307796	0.385000	0.368507	
488	0.338115	185	0.497297	109	0.009174	218	0.986239	1.027586	673	0.381872	0.473000	0.369225	
516	0.315891	175	0.337143	102	0.019608	207	1.000000	1.027586	691	0.321274	0.431000	0.369980	
550	0.320000	220	0.431818	97	0.010309	133	0.969925	1.027586	770	0.351948	0.401000	0.370705	
514	0.256809	228	0.385965	103	0.048544	155	0.987097	1.027586	742	0.296496	0.378000	0.371079	
480	0.297917	183	0.322404	120	0.000000	217	0.976959	1.027586	663	0.304676	0.414000	0.371744	
444	0.261261	191	0.277487	102	0.019608	263	0.961977	1.027586	635	0.266142	0.424000	0.372674	
529	0.306238	213	0.399061	110	0.036364	148	0.986486	1.027586	742	0.332884	0.397000	0.373293	
486	0.240741	203	0.384236	112	0.026786	199	0.959799	1.027586	689	0.283019	0.389000	0.373860	
527	0.271347	234	0.354701	90	0.033333	149	1.000000	1.027586	761	0.296978	0.378000	0.374239	
553	0.292948	197	0.365482	87	0.045977	163	0.975460	1.027586	750	0.312000	0.397000	0.374723	
486	0.263374	197	0.375635	109	0.027523	208	0.841346	1.027586	683	0.295754	0.380000	0.374949	
528	0.287879	210	0.400000	102	0.029412	160	0.925000	1.027586	738	0.319783	0.387000	0.375213	
593	0.290051	199	0.396985	88	0.056818	120	0.983333	1.027586	792	0.316919	0.374000	0.375623	
539	0.291280	209	0.468900	91	0.010989	161	0.962733	1.027586	748	0.340909	0.411000	0.375983	
531	0.276836	212	0.377358	91	0.054945	166	0.993976	1.027586	743	0.305518	0.397000	0.376641	
544	0.286765	192	0.390625	102	0.019608	162	0.925926	1.027586	736	0.313859	0.383000	0.376828	
488	0.286885	210	0.414286	77	0.000000	225	0.942222	1.027586	698	0.325215	0.439000	0.377435	
521	0.307102	222	0.396396	94	0.031915	163	0.981595	1.027586	743	0.333782	0.411000	0.377766	
530	0.218868	219	0.383562	83	0.024096	168	0.994048	1.027586	749	0.267023	0.369000	0.378079	
566	0.272085	210	0.423810	106	0.103774	118	0.983051	1.027586	776	0.313144	0.370000	0.378389	
561	0.336898	209	0.440191	102	0.019608	128	0.929688	1.027586	770	0.364935	0.402000	0.378662	
556	0.307554	209	0.421053	78	0.064103	157	0.993631	1.027586	765	0.338562	0.420000	0.378891	
483	0.250518	205	0.326829	113	0.017699	199	0.989950	1.027586	688	0.273256	0.387000	0.379409	
538	0.306691	208	0.437500	92	0.000000	162	1.000000	1.027586	746	0.343164	0.418000	0.379738	
495	0.317172	179	0.541899	116	0.034483	210	1.000000	1.027586	674	0.376855	0.468000	0.380336	
520	0.280769	204	0.372549	82	0.024390	194	0.984536	1.027586	724	0.306630	0.415000	0.380659	
519	0.289017	219	0.415525	91	0.043956	171	0.988304	1.027586	738	0.326558	0.414000	0.381138	
511	0.303327	202	0.386139	107	0.028037	180	0.994444	1.027586	713	0.326788	0.415000	0.381424	
537	0.303538	181	0.430939	120	0.050000	162	0.981481	1.027586	718	0.335655	0.406000	0.381852	
506	0.318182	213	0.403756	93	0.021505	188	0.978723	1.027586	719	0.343533	0.433000	0.382344	
474	0.263713	184	0.429348	122	0.008197	220	0.986364	1.027586	658	0.310030	0.422000	0.382849	
558	0.290323	234	0.414530	82	0.036585	126	0.992063	1.027586	792	0.327020	0.387000	0.383079	
500	0.304000	213	0.413146	87	0.022989	200	0.995000	1.027586	713	0.336606	0.441000	0.383344	
553	0.274864	231	0.419913	89	0.056180	127	0.992126	1.027586	784	0.317602	0.380000	0.383576	
523	0.349904	182	0.406593	94	0.085106	201	0.985075	1.027586	705	0.364539	0.463000	0.384003	
536	0.315299	210	0.423810	74	0.000000	180	0.961111	1.027586	746	0.345845	0.431000	0.384492	
494	0.299595	219	0.401826	103	0.000000	184	0.994565	1.027586	713	0.330996	0.419000	0.384701	
548	0.273723	220	0.386364	78	0.025641	154	0.980519	1.027586	768	0.305990	0.388000	0.384856	
555	0.297297	202	0.435644	95	0.010526	148	0.952703	1.027586	757	0.334214	0.395000	0.385089	
548	0.312044	246	0.463415	88	0.022727	118	1.000000	1.027586	794	0.358942	0.405000	0.385207	
508	0.311024	211	0.473934	105	0.009524	176	0.954545	1.027586	719	0.358832	0.427000	0.385515	
538	0.302974	213	0.441315	78	0.000000	171	0.964912	1.027586	751	0.342210	0.422000	0.385667	
531	0.303202	219	0.429224	85	0.058824	165	0.987879	1.027586	750	0.340000	0.423000	0.385795	
502	0.254980	197	0.375635	112	0.026786	189	0.984127	1.027586	699	0.288984	0.391000	0.386106	
493	0.283976	241	0.406639	100	0.060000	166	0.963855	1.027586	734	0.324251	0.404000	0.386252	
471	0.297240	198	0.429293	120	0.041667	211	0.919431	1.027586	669	0.336323	0.424000	0.386590	
413	0.283293	174	0.367816	94	0.000000	319	0.943574	1.027586	587	0.308348	0.482000	0.387005	
499	0.278557	238	0.407563	96	0.010417	167	0.982036	1.027586	737	0.320217	0.401000	0.387339	
480	0.264583	193	0.388601	114	0.043860	213	0.971831	1.027586	673	0.300149	0.414000	0.387554	
481	0.291060	213	0.417840	99	0.030303	207	0.975845	1.027586	694	0.329971	0.434000	0.388088	
505	0.300990	202	0.336634	109	0.036697	184	0.994565	1.027586	707	0.311174	0.407000	0.388269	
556	0.284173	177	0.406780	106	0.009434	161	1.000000	1.027586	733	0.313779	0.392000	0.388419	
531	0.267420	220	0.359091	99	0.030303	150	0.980000	1.027586	751	0.294274	0.371000	0.388354	
518	0.297297	215	0.427907	96	0.010417	171	0.982456	1.027586	733	0.335607	0.415000	0.388545	
550	0.287273	242	0.438017	97	0.000000	111	0.963964	1.027586	792	0.333333	0.371000	0.388461	
541	0.295749	204	0.411765	90	0.077778	165	0.963636	1.027586	745	0.327517	0.410000	0.388531	
537	0.322160	223	0.426009	113	0.017699	127	0.968504	1.027586	760	0.352632	0.393000	0.388715	
508	0.285433	200	0.405000	115	0.043478	177	0.988701	1.027586	708	0.319209	0.406000	0.388791	
521	0.301344	187	0.417112	95	0.042105	197	0.979695	1.027586	708	0.331921	0.432000	0.389043	
512	0.298828	205	0.424390	97	0.030928	186	0.989247	1.027586	717	0.334728	0.427000	0.389356	
448	0.299107	220	0.350000	108	0.027778	224	0.995536	1.027586	668	0.315868	0.437000	0.389604	
517	0.284333	219	0.424658	79	0.000000	185	0.994595	1.027586	736	0.326087	0.424000	0.389801	
539	0.282004	206	0.407767	90	0.033333	165	0.993939	1.027586	745	0.316779	0.403000	0.389941	
518	0.326255	200	0.460000	112	0.000000	170	0.958824	1.027586	718	0.363510	0.424000	0.390127	
508	0.338583	218	0.366972	101	0.039604	173	0.895954	1.027586	726	0.347107	0.411000	0.390357	
572	0.333916	205	0.390244	109	0.018349	114	0.938596	1.027586	777	0.348777	0.380000	0.390332	
506	0.272727	192	0.354167	94	0.042553	208	0.975962	1.027586	698	0.295129	0.413000	0.390468	
523	0.315488	194	0.427835	102	0.019608	181	0.983425	1.027586	717	0.345886	0.428000	0.390634	
509	0.298625	220	0.368182	73	0.027397	198	0.984848	1.027586	729	0.319616	0.430000	0.390932	
502	0.270916	221	0.380090	101	0.069307	176	0.988636	1.027586	723	0.304288	0.401000	0.391189	
534	0.288390	224	0.401786	108	0.027778	134	0.977612	1.027586	758	0.321900	0.378000	0.391184	
485	0.313402	221	0.447964	125	0.064000	169	0.994083	1.027586	706	0.355524	0.427000	0.391341	
506	0.310277	196	0.433673	117	0.051282	181	0.988950	1.027586	702	0.344729	0.427000	0.391698	
