Options:
Model:                           MultiState
Tree File Name:                  _tree_anura_bt.nex
Data File Name:                  _dat_anura.txt
Log File Name:                   anura_rjhp_cov_r2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4024934384
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   anura_rjhp_cov_r2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,S,T,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAS                          RJ MCMC
    qAT                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDS                          RJ MCMC
    qDT                          RJ MCMC
    qDV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qST                          RJ MCMC
    qSV                          RJ MCMC
    qTA                          RJ MCMC
    qTD                          RJ MCMC
    qTS                          RJ MCMC
    qTV                          RJ MCMC
    qVA                          qAV
    qVD                          qDV
    qVS                          qSV
    qVT                          qTV
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       3416
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAS	qAT	qAV	qDA	qDS	qDT	qDV	qSA	qSD	qST	qSV	qTA	qTD	qTS	qTV	qVA	qVD	qVS	qVT	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(S)	Root P(T)	Root P(V)	RJRates - Mean	
15000	-709.275474	1	3	8	'0 0 Z 0 Z Z Z Z 2 Z 1 Z Z 2 2 0 	0.246707	0.246707	0.000000	0.246707	0.000000	0.000000	0.000000	0.000000	19.691445	0.000000	5.643285	0.000000	0.000000	19.691445	19.691445	0.246707	0.246707	0.000000	0.000000	0.246707	6.970899	6.970899	0.000054	0.000000	0.899780	0.100165	0.000001	14.201830	
20000	-710.463637	1	3	7	'Z 0 0 0 Z Z Z Z 2 Z 1 0 Z 2 2 0 	0.000000	0.196802	0.196802	0.196802	0.000000	0.000000	0.000000	0.000000	26.406297	0.000000	6.599577	0.196802	0.000000	26.406297	26.406297	0.196802	0.196802	0.000000	0.196802	0.196802	8.164375	8.164375	0.000031	0.000000	0.965664	0.034302	0.000003	26.288273	
25000	-710.671446	1	3	6	'Z 0 0 0 Z Z Z Z 2 0 1 0 0 2 2 Z 	0.000000	0.259970	0.259970	0.259970	0.000000	0.000000	0.000000	0.000000	25.928988	0.259970	7.628775	0.259970	0.259970	25.928988	25.928988	0.000000	0.259970	0.000000	0.259970	0.000000	6.308207	6.308207	0.000150	0.000000	0.942543	0.057304	0.000003	51.723753	
30000	-711.399146	1	3	7	'Z 0 0 0 Z Z Z 0 2 Z 1 0 Z 2 2 Z 	0.000000	0.158350	0.158350	0.158350	0.000000	0.000000	0.000000	0.158350	24.348101	0.000000	4.971874	0.158350	0.000000	24.348101	24.348101	0.000000	0.158350	0.158350	0.158350	0.000000	7.927566	7.927566	0.000034	0.000000	0.937581	0.062384	0.000001	7.505491	
35000	-714.862456	1	3	8	'1 1 1 Z Z Z Z Z 2 Z 0 Z Z 2 2 1 	0.519950	0.519950	0.519950	0.000000	0.000000	0.000000	0.000000	0.000000	20.308675	0.000000	6.447793	0.000000	0.000000	20.308675	20.308675	0.519950	0.000000	0.000000	0.000000	0.519950	5.795704	5.795704	0.004530	0.000000	0.873362	0.122102	0.000006	8.192968	
40000	-713.878335	1	3	10	'Z 1 Z Z Z Z Z Z 2 Z 0 Z Z 2 2 1 	0.000000	0.913564	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	23.295096	0.000000	5.632253	0.000000	0.000000	23.295096	23.295096	0.913564	0.000000	0.000000	0.000000	0.913564	9.998662	9.998662	0.000570	0.000000	0.953583	0.045840	0.000006	17.735440	
45000	-699.958439	1	4	4	'1 2 1 1 Z Z Z Z 0 2 3 1 1 0 0 2 	0.047612	0.868795	0.047612	0.047612	0.000000	0.000000	0.000000	0.000000	19.710780	0.868795	5.213612	0.047612	0.047612	19.710780	19.710780	0.868795	0.047612	0.000000	0.047612	0.868795	6.006439	6.006439	0.004566	0.000000	0.864700	0.130704	0.000030	9.206849	
50000	-718.835047	1	3	3	'0 0 0 0 0 Z 0 Z 2 0 1 0 0 2 2 Z 	0.187611	0.187611	0.187611	0.187611	0.187611	0.000000	0.187611	0.000000	15.504607	0.187611	5.762327	0.187611	0.187611	15.504607	15.504607	0.000000	0.187611	0.000000	0.187611	0.000000	6.799423	6.799423	0.000236	0.000001	0.902434	0.097323	0.000006	39.399994	
55000	-711.003595	1	3	5	'0 0 0 0 0 Z 0 Z 2 Z 1 Z Z 2 2 0 	0.103197	0.103197	0.103197	0.103197	0.103197	0.000000	0.103197	0.000000	23.783779	0.000000	4.126107	0.000000	0.000000	23.783779	23.783779	0.103197	0.103197	0.000000	0.000000	0.103197	5.740617	5.740617	0.000038	0.000000	0.828886	0.171075	0.000000	7.612288	
60000	-708.758996	1	3	7	'0 0 0 0 Z Z Z Z 2 Z 1 Z Z 2 2 0 	0.234497	0.234497	0.234497	0.234497	0.000000	0.000000	0.000000	0.000000	19.944570	0.000000	3.288437	0.000000	0.000000	19.944570	19.944570	0.234497	0.234497	0.000000	0.000000	0.234497	5.254246	5.254246	0.000547	0.000000	0.805708	0.193743	0.000003	42.109487	
65000	-709.356981	1	3	6	'Z 0 0 Z Z Z Z Z 2 0 1 0 0 2 2 0 	0.000000	0.386536	0.386536	0.000000	0.000000	0.000000	0.000000	0.000000	22.453895	0.386536	6.252443	0.386536	0.386536	22.453895	22.453895	0.386536	0.000000	0.000000	0.386536	0.386536	4.694222	4.694222	0.002782	0.000000	0.832611	0.164538	0.000068	15.184898	
70000	-711.213499	1	3	6	'Z 0 0 0 Z Z Z 0 2 Z 1 Z 0 2 2 0 	0.000000	0.215291	0.215291	0.215291	0.000000	0.000000	0.000000	0.215291	23.337276	0.000000	6.895980	0.000000	0.215291	23.337276	23.337276	0.215291	0.215291	0.215291	0.000000	0.215291	8.331940	8.331940	0.000063	0.000000	0.955603	0.044334	0.000000	53.316801	
75000	-709.880978	1	3	8	'Z 0 0 0 Z Z Z Z 2 Z 1 Z Z 2 2 0 	0.000000	0.473719	0.473719	0.473719	0.000000	0.000000	0.000000	0.000000	23.584407	0.000000	5.840737	0.000000	0.000000	23.584407	23.584407	0.473719	0.473719	0.000000	0.000000	0.473719	6.550754	6.550754	0.001841	0.000000	0.890697	0.107455	0.000007	71.794227	
80000	-710.100409	1	4	8	'Z 3 0 Z Z Z Z Z 2 Z 1 Z 0 2 2 0 	0.000000	1.348985	0.846897	0.000000	0.000000	0.000000	0.000000	0.000000	26.467943	0.000000	5.104617	0.000000	0.846897	26.467943	26.467943	0.846897	0.000000	0.000000	0.000000	0.846897	7.175429	7.175429	0.024516	0.000000	0.865482	0.109989	0.000013	47.997264	
85000	-709.068959	1	3	9	'Z 2 2 Z Z Z Z Z 1 Z 0 Z Z 1 1 2 	0.000000	0.345374	0.345374	0.000000	0.000000	0.000000	0.000000	0.000000	18.105258	0.000000	3.973009	0.000000	0.000000	18.105258	18.105258	0.345374	0.000000	0.000000	0.000000	0.345374	6.400387	6.400387	0.001410	0.000000	0.867508	0.131080	0.000003	7.370985	
90000	-703.534393	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.382353	2.382353	0.000000	0.000000	0.000000	0.000000	0.000000	2.382353	0.000000	2.382353	0.000000	0.000000	61.975588	61.975588	2.382353	0.000000	0.000000	0.000000	2.382353	11.945889	11.945889	0.997671	0.000000	0.002134	0.000195	0.000000	54.174678	
95000	-702.876682	1	2	9	'Z 1 1 Z Z Z Z Z 1 Z 1 Z Z 0 0 1 	0.000000	2.437480	2.437480	0.000000	0.000000	0.000000	0.000000	0.000000	2.437480	0.000000	2.437480	0.000000	0.000000	56.231775	56.231775	2.437480	0.000000	0.000000	0.000000	2.437480	7.596473	7.596473	0.996954	0.000000	0.002799	0.000246	0.000000	21.842663	
100000	-705.458390	1	2	8	'Z 0 0 Z Z Z Z Z 0 Z 0 Z 0 1 1 0 	0.000000	2.705434	2.705434	0.000000	0.000000	0.000000	0.000000	0.000000	2.705434	0.000000	2.705434	0.000000	2.705434	69.894112	69.894112	2.705434	0.000000	0.000000	0.000000	2.705434	9.464563	9.464563	0.995469	0.000000	0.002796	0.001734	0.000001	19.638176	
105000	-701.760447	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.327680	2.327680	0.000000	0.000000	0.000000	0.000000	0.000000	2.327680	0.000000	2.327680	0.000000	0.000000	37.991829	37.991829	2.327680	0.000000	0.000000	0.000000	2.327680	9.412665	9.412665	0.997508	0.000000	0.002355	0.000137	0.000000	22.901749	
110000	-703.483797	1	2	8	'Z 1 1 Z Z Z Z Z 1 Z 1 Z 1 0 0 1 	0.000000	1.890573	1.890573	0.000000	0.000000	0.000000	0.000000	0.000000	1.890573	0.000000	1.890573	0.000000	1.890573	38.706603	38.706603	1.890573	0.000000	0.000000	0.000000	1.890573	10.591231	10.591231	0.996852	0.000000	0.001822	0.001325	0.000000	9.623582	
115000	-703.457753	1	2	9	'Z 1 1 Z Z Z Z Z 1 Z 1 Z Z 0 0 1 	0.000000	3.096897	3.096897	0.000000	0.000000	0.000000	0.000000	0.000000	3.096897	0.000000	3.096897	0.000000	0.000000	48.199230	48.199230	3.096897	0.000000	0.000000	0.000000	3.096897	9.071284	9.071284	0.996862	0.000000	0.002920	0.000218	0.000000	17.135918	
120000	-702.726238	1	2	8	'Z 1 1 Z Z Z Z Z 1 Z 1 Z 1 0 0 1 	0.000000	2.014068	2.014068	0.000000	0.000000	0.000000	0.000000	0.000000	2.014068	0.000000	2.014068	0.000000	2.014068	43.078789	43.078789	2.014068	0.000000	0.000000	0.000000	2.014068	7.127147	7.127147	0.995703	0.000000	0.002567	0.001729	0.000001	13.089039	
125000	-693.740540	1	3	9	'Z 1 2 Z Z Z Z Z 2 Z 2 Z Z 0 0 2 	0.000000	4.436835	1.505425	0.000000	0.000000	0.000000	0.000000	0.000000	1.505425	0.000000	1.505425	0.000000	0.000000	50.668147	50.668147	1.505425	0.000000	0.000000	0.000000	1.505425	9.454360	9.454360	0.999298	0.000000	0.000652	0.000050	0.000000	34.791740	
130000	-701.560268	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.545214	2.545214	0.000000	0.000000	0.000000	0.000000	0.000000	2.545214	0.000000	2.545214	0.000000	0.000000	44.560162	44.560162	2.545214	0.000000	0.000000	0.000000	2.545214	9.567511	9.567511	0.997306	0.000000	0.002520	0.000173	0.000000	14.041471	
135000	-695.464354	1	3	9	'Z 1 2 Z Z Z Z Z 2 Z 2 Z Z 0 0 2 	0.000000	7.066750	2.323346	0.000000	0.000000	0.000000	0.000000	0.000000	2.323346	0.000000	2.323346	0.000000	0.000000	44.334528	44.334528	2.323346	0.000000	0.000000	0.000000	2.323346	6.636426	6.636426	0.999506	0.000000	0.000466	0.000028	0.000000	35.622673	
140000	-704.118366	1	2	8	'Z 1 1 Z Z Z Z Z 1 Z 1 Z 1 0 0 1 	0.000000	2.254393	2.254393	0.000000	0.000000	0.000000	0.000000	0.000000	2.254393	0.000000	2.254393	0.000000	2.254393	33.246687	33.246687	2.254393	0.000000	0.000000	0.000000	2.254393	7.265860	7.265860	0.995224	0.000000	0.002908	0.001867	0.000001	68.052171	
145000	-703.068779	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.763108	2.763108	0.000000	0.000000	0.000000	0.000000	0.000000	2.763108	0.000000	2.763108	0.000000	0.000000	56.495416	56.495416	2.763108	0.000000	0.000000	0.000000	2.763108	8.464742	8.464742	0.996896	0.000000	0.002853	0.000251	0.000000	69.509480	
