Options:
Model:                           MultiState
Tree File Name:                  _tree_anura_bt.nex
Data File Name:                  _dat_anura.txt
Log File Name:                   anura_rjhp_cov_r2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4024934384
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   anura_rjhp_cov_r2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,S,T,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAS                          RJ MCMC
    qAT                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDS                          RJ MCMC
    qDT                          RJ MCMC
    qDV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qST                          RJ MCMC
    qSV                          RJ MCMC
    qTA                          RJ MCMC
    qTD                          RJ MCMC
    qTS                          RJ MCMC
    qTV                          RJ MCMC
    qVA                          qAV
    qVD                          qDV
    qVS                          qSV
    qVT                          qTV
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       3416
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAS	qAT	qAV	qDA	qDS	qDT	qDV	qSA	qSD	qST	qSV	qTA	qTD	qTS	qTV	qVA	qVD	qVS	qVT	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(S)	Root P(T)	Root P(V)	RJRates - Mean	
150000	-705.408056	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.621440	2.621440	0.000000	0.000000	0.000000	0.000000	0.000000	2.621440	0.000000	2.621440	0.000000	0.000000	37.988618	37.988618	2.621440	0.000000	0.000000	0.000000	2.621440	5.983801	5.983801	0.996353	0.000000	0.003448	0.000198	0.000000	88.179268	
155000	-703.327249	1	2	8	'Z 0 0 Z Z Z Z Z 0 Z 0 Z 0 1 1 0 	0.000000	2.599799	2.599799	0.000000	0.000000	0.000000	0.000000	0.000000	2.599799	0.000000	2.599799	0.000000	2.599799	52.307473	52.307473	2.599799	0.000000	0.000000	0.000000	2.599799	12.175468	12.175468	0.996022	0.000000	0.002452	0.001525	0.000001	26.286333	
160000	-703.635399	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.014031	2.014031	0.000000	0.000000	0.000000	0.000000	0.000000	2.014031	0.000000	2.014031	0.000000	0.000000	57.107129	57.107129	2.014031	0.000000	0.000000	0.000000	2.014031	11.635553	11.635553	0.998075	0.000000	0.001772	0.000153	0.000000	14.819805	
165000	-703.692134	1	2	8	'Z 0 0 Z Z Z Z Z 0 Z 0 Z 0 1 1 0 	0.000000	2.140975	2.140975	0.000000	0.000000	0.000000	0.000000	0.000000	2.140975	0.000000	2.140975	0.000000	2.140975	34.658988	34.658988	2.140975	0.000000	0.000000	0.000000	2.140975	7.082344	7.082344	0.995375	0.000000	0.002800	0.001824	0.000001	33.013502	
170000	-703.936462	1	2	9	'Z 1 1 Z Z Z Z Z 1 Z 1 Z Z 0 0 1 	0.000000	2.047614	2.047614	0.000000	0.000000	0.000000	0.000000	0.000000	2.047614	0.000000	2.047614	0.000000	0.000000	51.158136	51.158136	2.047614	0.000000	0.000000	0.000000	2.047614	13.642858	13.642858	0.998189	0.000000	0.001686	0.000125	0.000000	26.901454	
175000	-704.009374	1	2	8	'Z 0 0 Z Z Z Z Z 0 Z 0 Z 0 1 1 0 	0.000000	1.915107	1.915107	0.000000	0.000000	0.000000	0.000000	0.000000	1.915107	0.000000	1.915107	0.000000	1.915107	42.025960	42.025960	1.915107	0.000000	0.000000	0.000000	1.915107	5.666658	5.666658	0.995323	0.000000	0.002853	0.001823	0.000001	37.416239	
180000	-703.139942	1	2	8	'Z 1 1 Z Z Z Z Z 1 Z 1 Z 1 0 0 1 	0.000000	1.939494	1.939494	0.000000	0.000000	0.000000	0.000000	0.000000	1.939494	0.000000	1.939494	0.000000	1.939494	52.880860	52.880860	1.939494	0.000000	0.000000	0.000000	1.939494	8.311785	8.311785	0.996278	0.000000	0.002181	0.001540	0.000001	14.772018	
185000	-703.061061	1	2	9	'Z 1 1 Z Z Z Z Z 1 Z 1 Z Z 0 0 1 	0.000000	2.516185	2.516185	0.000000	0.000000	0.000000	0.000000	0.000000	2.516185	0.000000	2.516185	0.000000	0.000000	41.773806	41.773806	2.516185	0.000000	0.000000	0.000000	2.516185	6.965883	6.965883	0.996770	0.000000	0.003034	0.000196	0.000000	4.958985	
190000	-704.127357	1	2	8	'Z 1 1 Z Z Z Z Z 1 Z 1 Z 1 0 0 1 	0.000000	2.187751	2.187751	0.000000	0.000000	0.000000	0.000000	0.000000	2.187751	0.000000	2.187751	0.000000	2.187751	31.618216	31.618216	2.187751	0.000000	0.000000	0.000000	2.187751	10.757099	10.757099	0.996285	0.000000	0.002204	0.001510	0.000001	15.733505	
195000	-702.179408	1	2	8	'Z 0 0 Z Z Z Z Z 0 Z 0 Z 0 1 1 0 	0.000000	2.084211	2.084211	0.000000	0.000000	0.000000	0.000000	0.000000	2.084211	0.000000	2.084211	0.000000	2.084211	44.172837	44.172837	2.084211	0.000000	0.000000	0.000000	2.084211	8.690390	8.690390	0.996084	0.000000	0.002318	0.001598	0.000001	26.188191	
200000	-702.302384	1	2	8	'Z 0 0 Z Z Z Z Z 0 Z 0 Z 0 1 1 0 	0.000000	2.204718	2.204718	0.000000	0.000000	0.000000	0.000000	0.000000	2.204718	0.000000	2.204718	0.000000	2.204718	39.800367	39.800367	2.204718	0.000000	0.000000	0.000000	2.204718	8.729369	8.729369	0.995857	0.000000	0.002475	0.001667	0.000001	15.214605	
205000	-702.226924	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.528108	2.528108	0.000000	0.000000	0.000000	0.000000	0.000000	2.528108	0.000000	2.528108	0.000000	0.000000	38.095767	38.095767	2.528108	0.000000	0.000000	0.000000	2.528108	11.105266	11.105266	0.997522	0.000000	0.002344	0.000134	0.000000	28.144861	
210000	-701.776278	1	2	9	'Z 1 1 Z Z Z Z Z 1 Z 1 Z Z 0 0 1 	0.000000	2.419445	2.419445	0.000000	0.000000	0.000000	0.000000	0.000000	2.419445	0.000000	2.419445	0.000000	0.000000	48.291719	48.291719	2.419445	0.000000	0.000000	0.000000	2.419445	11.431906	11.431906	0.997632	0.000000	0.002208	0.000160	0.000000	26.110101	
215000	-702.518861	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.456562	2.456562	0.000000	0.000000	0.000000	0.000000	0.000000	2.456562	0.000000	2.456562	0.000000	0.000000	40.179724	40.179724	2.456562	0.000000	0.000000	0.000000	2.456562	12.683455	12.683455	0.997705	0.000000	0.002168	0.000127	0.000000	69.906088	
220000	-702.485016	1	2	8	'Z 1 1 Z Z Z Z Z 1 Z 1 Z 1 0 0 1 	0.000000	2.451560	2.451560	0.000000	0.000000	0.000000	0.000000	0.000000	2.451560	0.000000	2.451560	0.000000	2.451560	46.597647	46.597647	2.451560	0.000000	0.000000	0.000000	2.451560	8.383855	8.383855	0.995408	0.000000	0.002793	0.001798	0.000001	67.451239	
225000	-702.527472	1	2	8	'Z 1 1 Z Z Z Z Z 1 Z 1 Z 1 0 0 1 	0.000000	2.147071	2.147071	0.000000	0.000000	0.000000	0.000000	0.000000	2.147071	0.000000	2.147071	0.000000	2.147071	50.218614	50.218614	2.147071	0.000000	0.000000	0.000000	2.147071	10.406330	10.406330	0.996417	0.000000	0.002127	0.001455	0.000001	55.519920	
230000	-704.374873	1	2	8	'Z 1 1 Z Z Z Z Z 1 Z 1 Z 1 0 0 1 	0.000000	2.054324	2.054324	0.000000	0.000000	0.000000	0.000000	0.000000	2.054324	0.000000	2.054324	0.000000	2.054324	50.169419	50.169419	2.054324	0.000000	0.000000	0.000000	2.054324	5.712672	5.712672	0.995025	0.000000	0.003054	0.001920	0.000001	87.166631	
235000	-702.928289	1	2	8	'Z 0 0 Z Z Z Z Z 0 Z 0 Z 0 1 1 0 	0.000000	2.592825	2.592825	0.000000	0.000000	0.000000	0.000000	0.000000	2.592825	0.000000	2.592825	0.000000	2.592825	42.831945	42.831945	2.592825	0.000000	0.000000	0.000000	2.592825	11.700001	11.700001	0.995911	0.000000	0.002505	0.001583	0.000001	89.382986	
240000	-703.372706	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.684662	2.684662	0.000000	0.000000	0.000000	0.000000	0.000000	2.684662	0.000000	2.684662	0.000000	0.000000	61.562209	61.562209	2.684662	0.000000	0.000000	0.000000	2.684662	11.196417	11.196417	0.997309	0.000000	0.002464	0.000226	0.000000	90.519122	
245000	-703.533173	1	2	8	'Z 1 1 Z Z Z Z Z 1 Z 1 Z 1 0 0 1 	0.000000	2.626985	2.626985	0.000000	0.000000	0.000000	0.000000	0.000000	2.626985	0.000000	2.626985	0.000000	2.626985	51.573831	51.573831	2.626985	0.000000	0.000000	0.000000	2.626985	12.604074	12.604074	0.996029	0.000000	0.002457	0.001514	0.000001	95.928270	
250000	-701.808224	1	2	9	'Z 0 0 Z Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.000000	2.030289	2.030289	0.000000	0.000000	0.000000	0.000000	0.000000	2.030289	0.000000	2.030289	0.000000	0.000000	39.169676	39.169676	2.030289	0.000000	0.000000	0.000000	2.030289	9.087085	9.087085	0.997786	0.000000	0.002087	0.000127	0.000000	78.829865	
255000	-704.256960	1	2	8	'Z 0 0 Z Z Z Z Z 0 Z 0 Z 0 1 1 0 	0.000000	2.003990	2.003990	0.000000	0.000000	0.000000	0.000000	0.000000	2.003990	0.000000	2.003990	0.000000	2.003990	41.956395	41.956395	2.003990	0.000000	0.000000	0.000000	2.003990	13.314357	13.314357	0.997063	0.000000	0.001738	0.001198	0.000000	55.074369	
260000	-703.057931	1	2	8	'Z 0 0 Z Z Z Z Z 0 Z 0 Z 0 1 1 0 	0.000000	2.331006	2.331006	0.000000	0.000000	0.000000	0.000000	0.000000	2.331006	0.000000	2.331006	0.000000	2.331006	51.115029	51.115029	2.331006	0.000000	0.000000	0.000000	2.331006	12.199248	12.199248	0.996426	0.000000	0.002165	0.001408	0.000001	48.136070	
265000	-700.568886	1	2	7	'0 1 0 0 Z Z Z Z 0 Z 0 Z Z 1 1 0 	0.947371	24.927183	0.947371	0.947371	0.000000	0.000000	0.000000	0.000000	0.947371	0.000000	0.947371	0.000000	0.000000	24.927183	24.927183	0.947371	0.947371	0.000000	0.000000	0.947371	4.790952	4.790952	0.999993	0.000000	0.000005	0.000000	0.000002	4.763603	
270000	-699.296577	1	2	7	'0 1 0 0 Z Z Z Z 0 Z 0 Z Z 1 1 0 	1.380412	22.914284	1.380412	1.380412	0.000000	0.000000	0.000000	0.000000	1.380412	0.000000	1.380412	0.000000	0.000000	22.914284	22.914284	1.380412	1.380412	0.000000	0.000000	1.380412	5.430984	5.430984	0.999982	0.000000	0.000012	0.000000	0.000006	30.502538	
275000	-698.815471	1	2	8	'1 0 1 1 Z Z Z Z 1 Z 1 Z Z 0 0 Z 	0.997104	23.105294	0.997104	0.997104	0.000000	0.000000	0.000000	0.000000	0.997104	0.000000	0.997104	0.000000	0.000000	23.105294	23.105294	0.000000	0.997104	0.000000	0.000000	0.000000	4.274563	4.274563	0.999994	0.000000	0.000005	0.000000	0.000001	45.043802	
280000	-699.783712	1	2	6	'1 0 1 1 Z Z Z Z 1 Z 1 Z 1 0 0 1 	1.044058	23.587463	1.044058	1.044058	0.000000	0.000000	0.000000	0.000000	1.044058	0.000000	1.044058	0.000000	1.044058	23.587463	23.587463	1.044058	1.044058	0.000000	0.000000	1.044058	4.445872	4.445872	0.999988	0.000000	0.000005	0.000004	0.000003	43.529985	
285000	-689.031828	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	1.037129	22.713914	1.037129	1.037129	0.000000	1.037129	0.000000	0.000000	1.037129	1.037129	1.037129	0.000000	0.000000	1.037129	1.037129	1.037129	1.037129	0.000000	0.000000	1.037129	4.423481	4.423481	0.999994	0.000000	0.000004	0.000000	0.000002	6.087353	
290000	-688.849815	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	1.160644	19.954336	1.160644	1.160644	0.000000	1.160644	0.000000	0.000000	1.160644	1.160644	1.160644	0.000000	1.160644	0.000000	1.160644	0.000000	1.160644	0.000000	0.000000	0.000000	4.787117	4.787117	0.999975	0.000000	0.000008	0.000015	0.000002	28.398833	
295000	-687.910679	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	0.988978	18.366733	0.988978	0.988978	0.000000	0.988978	0.000000	0.000000	0.988978	0.988978	0.988978	0.000000	0.988978	0.988978	0.988978	0.000000	0.988978	0.000000	0.000000	0.000000	4.991824	4.991824	0.999981	0.000000	0.000007	0.000011	0.000002	10.552827	
300000	-686.907347	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.869330	16.406633	0.869330	0.869330	0.000000	0.869330	0.000000	0.000000	0.869330	0.869330	0.869330	0.000000	0.000000	0.000000	0.869330	0.000000	0.869330	0.000000	0.000000	0.000000	5.558589	5.558589	0.999992	0.000000	0.000006	0.000000	0.000002	74.733413	
305000	-686.775620	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.942003	18.087988	0.942003	0.942003	0.000000	0.942003	0.000000	0.000000	0.942003	0.942003	0.942003	0.000000	0.000000	0.942003	0.942003	0.000000	0.942003	0.000000	0.000000	0.000000	4.668179	4.668179	0.999994	0.000000	0.000005	0.000000	0.000001	73.959071	
310000	-690.839322	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	0.986077	21.748263	0.986077	0.986077	0.000000	0.986077	0.000000	0.000000	0.986077	0.986077	0.986077	0.000000	0.986077	0.000000	0.986077	0.986077	0.986077	0.000000	0.000000	0.986077	3.602300	3.602300	0.999988	0.000000	0.000004	0.000007	0.000002	68.563571	
315000	-692.346050	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 Z 1 1 	1.392431	22.019605	1.392431	1.392431	0.000000	1.392431	0.000000	0.000000	1.392431	0.000000	1.392431	0.000000	1.392431	0.000000	1.392431	1.392431	1.392431	0.000000	0.000000	1.392431	3.386846	3.386846	0.999978	0.000000	0.000008	0.000010	0.000004	72.132376	
320000	-691.391354	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	1.276506	14.503769	1.276506	1.276506	0.000000	1.276506	0.000000	0.000000	1.276506	1.276506	1.276506	0.000000	0.000000	0.000000	1.276506	1.276506	1.276506	0.000000	0.000000	1.276506	5.349761	5.349761	0.999981	0.000000	0.000013	0.000000	0.000006	69.747942	
