Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
558	0.155914	242	0.404959	111	0.036036	89	0.910112	1.064338	800	0.231250	0.270000	0.265049	
585	0.169231	233	0.506438	98	0.061224	84	0.964286	1.064338	818	0.265281	0.304000	0.278736	
541	0.155268	227	0.458150	106	0.037736	126	1.000000	1.064338	768	0.244792	0.318000	0.287708	
559	0.264758	210	0.600000	98	0.071429	133	0.932331	0.734260	769	0.356307	0.405000	0.300690	
523	0.279159	181	0.640884	114	0.052632	182	0.945055	0.734260	704	0.372159	0.440000	0.317505	
507	0.282051	210	0.500000	107	0.009346	176	0.977273	0.734260	717	0.345886	0.421000	0.329742	
547	0.292505	229	0.528384	123	0.081301	101	0.940594	0.882493	776	0.362113	0.386000	0.340459	
520	0.236538	207	0.507246	108	0.111111	165	0.981818	0.882493	727	0.313618	0.402000	0.345153	
542	0.191882	191	0.518325	141	0.035461	126	0.880952	0.882493	733	0.276944	0.319000	0.346376	
571	0.241681	199	0.547739	116	0.034483	114	0.973684	0.882493	770	0.320779	0.362000	0.346944	
557	0.208259	218	0.481651	90	0.033333	135	0.970370	0.882493	775	0.285161	0.355000	0.348410	
514	0.217899	227	0.533040	132	0.075758	127	0.952756	0.882493	741	0.314440	0.364000	0.349124	
604	0.200331	189	0.465608	80	0.012500	127	0.984252	0.882493	793	0.263556	0.335000	0.349235	
539	0.226345	214	0.514019	110	0.009091	137	0.970803	0.882493	753	0.308101	0.366000	0.349508	
504	0.216270	205	0.536585	91	0.010989	200	0.955000	0.882493	709	0.308886	0.411000	0.350914	
549	0.327869	194	0.556701	123	0.016260	134	0.992537	0.882493	743	0.387618	0.423000	0.354541	
522	0.118774	249	0.369478	120	0.016667	109	0.990826	1.534932	771	0.199741	0.264000	0.351986	
556	0.196043	257	0.431907	97	0.010309	90	1.000000	1.294029	813	0.270603	0.311000	0.350206	
535	0.134579	219	0.520548	121	0.041322	125	0.944000	1.294029	754	0.246684	0.309000	0.347959	
587	0.136286	226	0.482301	91	0.010989	96	0.947917	1.294029	813	0.232472	0.281000	0.346351	
514	0.151751	233	0.446352	99	0.030303	154	0.954545	1.294029	747	0.243641	0.332000	0.344997	
562	0.183274	224	0.424107	110	0.036364	104	0.980769	1.294029	786	0.251908	0.304000	0.343714	
560	0.164286	225	0.440000	101	0.039604	114	0.964912	1.294029	785	0.243312	0.305000	0.341661	
551	0.170599	239	0.472803	98	0.010204	112	0.946429	1.294029	790	0.262025	0.314000	0.340759	
565	0.145133	202	0.405941	101	0.049505	132	0.969697	1.294029	767	0.213820	0.297000	0.339901	
535	0.304673	236	0.601695	109	0.045872	120	0.991667	0.930117	771	0.395590	0.429000	0.341148	
504	0.283730	228	0.565789	126	0.000000	142	1.000000	0.930117	732	0.371585	0.414000	0.343660	
547	0.215722	214	0.570093	111	0.000000	128	0.984375	1.323966	761	0.315375	0.366000	0.344771	
561	0.254902	216	0.592593	101	0.029703	122	0.983607	0.987525	777	0.348777	0.394000	0.344166	
534	0.280899	233	0.545064	99	0.020202	134	0.970149	0.987525	767	0.361147	0.409000	0.345942	
573	0.242583	219	0.575342	107	0.037383	101	1.000000	0.987525	792	0.334596	0.370000	0.346949	
526	0.254753	221	0.533937	120	0.008333	133	1.000000	0.987525	747	0.337349	0.386000	0.347957	
537	0.301676	243	0.600823	96	0.020833	124	1.000000	0.987525	780	0.394872	0.434000	0.349204	
583	0.281304	232	0.594828	80	0.025000	105	0.895238	0.987525	815	0.370552	0.398000	0.350537	
548	0.222628	218	0.541284	100	0.010000	134	0.940299	0.987525	766	0.313316	0.367000	0.351517	
521	0.266795	213	0.492958	123	0.024390	143	0.986014	0.987525	734	0.332425	0.388000	0.352535	
565	0.237168	199	0.587940	103	0.058252	133	1.000000	0.987525	764	0.328534	0.390000	0.353249	
547	0.290676	218	0.628440	116	0.000000	119	0.983193	0.987525	765	0.386928	0.413000	0.354053	
554	0.238267	215	0.479070	100	0.020000	131	0.992366	0.987525	769	0.305592	0.367000	0.354759	
541	0.282810	205	0.570732	131	0.000000	123	0.983740	0.987525	746	0.361930	0.391000	0.355613	
510	0.258824	234	0.576923	130	0.023077	126	1.000000	0.987525	744	0.358871	0.396000	0.356510	
566	0.259717	203	0.546798	114	0.000000	117	0.991453	0.987525	769	0.335501	0.374000	0.357239	
551	0.268603	207	0.618357	143	0.027972	99	0.979798	0.987525	758	0.364116	0.377000	0.357723	
546	0.291209	245	0.579592	108	0.009259	101	1.000000	0.987525	791	0.380531	0.403000	0.358272	
517	0.232108	238	0.508403	130	0.076923	115	0.991304	0.987525	755	0.319205	0.365000	0.358722	
533	0.249531	230	0.565217	115	0.017391	122	1.000000	0.987525	763	0.344692	0.387000	0.359319	
544	0.238971	232	0.525862	112	0.008929	112	1.000000	0.987525	776	0.324742	0.365000	0.359611	
571	0.250438	181	0.574586	127	0.031496	121	0.983471	0.987525	752	0.328457	0.370000	0.359951	
541	0.306839	237	0.510549	113	0.017699	109	0.990826	0.987525	778	0.368895	0.397000	0.360646	
542	0.273063	241	0.580913	123	0.024390	94	1.000000	0.987525	783	0.367816	0.385000	0.361283	
563	0.253996	208	0.341346	79	0.037975	150	0.946667	0.987525	771	0.277562	0.359000	0.361312	
555	0.293694	227	0.352423	114	0.017544	104	0.990385	0.987525	782	0.310742	0.348000	0.361284	
532	0.295113	213	0.394366	102	0.000000	153	0.986928	0.987525	745	0.323490	0.392000	0.361206	
527	0.248577	243	0.423868	113	0.008850	117	0.991453	0.987525	770	0.303896	0.351000	0.361227	
488	0.309426	227	0.449339	113	0.008850	172	0.970930	0.987525	715	0.353846	0.421000	0.362062	
