Options:
Model:                           MultiState
Tree File Name:                  _tree_anura_bt.nex
Data File Name:                  _dat_anura.txt
Log File Name:                   anura_rjhp_cov_r3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1038589941
Precision:                       64 bits
Cores:                           15
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   anura_rjhp_cov_r3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,S,T,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAS                          RJ MCMC
    qAT                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDS                          RJ MCMC
    qDT                          RJ MCMC
    qDV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qST                          RJ MCMC
    qSV                          RJ MCMC
    qTA                          RJ MCMC
    qTD                          RJ MCMC
    qTS                          RJ MCMC
    qTV                          RJ MCMC
    qVA                          qAV
    qVD                          qDV
    qVS                          qSV
    qVT                          qTV
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       3416
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAS	qAT	qAV	qDA	qDS	qDT	qDV	qSA	qSD	qST	qSV	qTA	qTD	qTS	qTV	qVA	qVD	qVS	qVT	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(S)	Root P(T)	Root P(V)	RJRates - Mean	
15000	-712.800140	1	2	3	'1 0 1 1 Z 0 1 1 0 0 0 Z 1 1 1 Z 	0.171206	4.005931	0.171206	0.171206	0.000000	4.005931	0.171206	0.171206	4.005931	4.005931	4.005931	0.000000	0.171206	0.171206	0.171206	0.000000	0.171206	0.171206	0.000000	0.000000	8.461034	8.461034	0.993149	0.000017	0.006821	0.000010	0.000003	9.450225	
20000	-688.571056	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	0.891754	10.841510	0.891754	0.891754	0.000000	0.891754	0.000000	0.000000	0.891754	0.891754	0.891754	0.000000	0.000000	0.000000	0.891754	0.000000	0.891754	0.000000	0.000000	0.000000	6.346729	6.346729	0.999982	0.000000	0.000015	0.000000	0.000004	19.603861	
25000	-687.777303	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	0.750613	17.742319	0.750613	0.750613	0.000000	0.750613	0.000000	0.000000	0.750613	0.750613	0.750613	0.000000	0.000000	0.000000	0.750613	0.000000	0.750613	0.000000	0.000000	0.000000	5.406278	5.406278	0.999995	0.000000	0.000004	0.000000	0.000001	91.747392	
30000	-690.139659	1	2	6	'0 1 0 0 Z 0 Z Z 0 Z 0 Z 0 0 0 Z 	1.584712	27.311609	1.584712	1.584712	0.000000	1.584712	0.000000	0.000000	1.584712	0.000000	1.584712	0.000000	1.584712	1.584712	1.584712	0.000000	1.584712	0.000000	0.000000	0.000000	4.125729	4.125729	0.999977	0.000000	0.000010	0.000011	0.000002	47.835873	
35000	-687.103733	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	0.948969	17.925873	0.948969	0.948969	0.000000	0.948969	0.000000	0.000000	0.948969	0.948969	0.948969	0.000000	0.000000	0.000000	0.948969	0.000000	0.948969	0.000000	0.000000	0.000000	5.637044	5.637044	0.999991	0.000000	0.000007	0.000000	0.000002	30.980039	
40000	-692.722094	1	2	4	'0 1 0 0 0 0 Z Z 0 0 0 Z 0 0 0 Z 	0.934632	17.565921	0.934632	0.934632	0.934632	0.934632	0.000000	0.000000	0.934632	0.934632	0.934632	0.000000	0.934632	0.934632	0.934632	0.000000	0.934632	0.000000	0.000000	0.000000	5.147215	5.147215	0.999977	0.000002	0.000007	0.000012	0.000002	29.055723	
45000	-689.865793	1	2	5	'0 1 0 0 Z 0 Z Z 0 0 0 Z 0 0 0 Z 	0.776627	10.889914	0.776627	0.776627	0.000000	0.776627	0.000000	0.000000	0.776627	0.776627	0.776627	0.000000	0.776627	0.776627	0.776627	0.000000	0.776627	0.000000	0.000000	0.000000	7.067149	7.067149	0.999957	0.000000	0.000016	0.000024	0.000003	12.021509	
50000	-689.640399	1	2	5	'0 1 0 0 Z 0 Z Z 0 0 0 Z 0 Z 0 0 	0.726415	14.040001	0.726415	0.726415	0.000000	0.726415	0.000000	0.000000	0.726415	0.726415	0.726415	0.000000	0.726415	0.000000	0.726415	0.726415	0.726415	0.000000	0.000000	0.726415	5.516484	5.516484	0.999980	0.000000	0.000007	0.000011	0.000002	3.085783	
55000	-687.610832	1	2	7	'0 1 0 0 Z 0 Z Z 0 Z 0 Z Z 0 0 Z 	1.326889	24.779091	1.326889	1.326889	0.000000	1.326889	0.000000	0.000000	1.326889	0.000000	1.326889	0.000000	0.000000	1.326889	1.326889	0.000000	1.326889	0.000000	0.000000	0.000000	3.790776	3.790776	0.999992	0.000000	0.000006	0.000000	0.000002	42.830698	
60000	-689.828170	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	1.125227	12.248917	1.125227	1.125227	0.000000	1.125227	0.000000	0.000000	1.125227	1.125227	1.125227	0.000000	0.000000	0.000000	1.125227	0.000000	1.125227	0.000000	0.000000	0.000000	6.713837	6.713837	0.999976	0.000000	0.000019	0.000000	0.000005	3.202743	
65000	-686.609214	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	0.910030	18.922364	0.910030	0.910030	0.000000	0.910030	0.000000	0.000000	0.910030	0.910030	0.910030	0.000000	0.000000	0.000000	0.910030	0.000000	0.910030	0.000000	0.000000	0.000000	4.805276	4.805276	0.999994	0.000000	0.000005	0.000000	0.000001	30.007419	
70000	-689.803927	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	0.692619	9.956123	0.692619	0.692619	0.000000	0.692619	0.000000	0.000000	0.692619	0.692619	0.692619	0.000000	0.000000	0.000000	0.692619	0.000000	0.692619	0.000000	0.000000	0.000000	5.835707	5.835707	0.999987	0.000000	0.000010	0.000000	0.000002	6.608582	
75000	-688.240777	1	2	7	'0 1 0 0 Z 0 Z Z 0 0 0 Z Z Z 0 Z 	0.898330	12.438773	0.898330	0.898330	0.000000	0.898330	0.000000	0.000000	0.898330	0.898330	0.898330	0.000000	0.000000	0.000000	0.898330	0.000000	0.898330	0.000000	0.000000	0.000000	6.660017	6.660017	0.999984	0.000000	0.000013	0.000000	0.000003	7.463403	
80000	-690.114479	1	2	5	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 1 	1.148170	20.801770	1.148170	1.148170	0.000000	1.148170	0.000000	0.000000	1.148170	0.000000	1.148170	0.000000	1.148170	1.148170	1.148170	1.148170	1.148170	0.000000	0.000000	1.148170	5.039022	5.039022	0.999977	0.000000	0.000009	0.000010	0.000004	26.557105	
85000	-688.709903	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.979926	16.704304	0.979926	0.979926	0.000000	0.979926	0.000000	0.000000	0.979926	0.979926	0.979926	0.000000	0.000000	0.000000	0.979926	0.000000	0.979926	0.000000	0.000000	0.000000	6.627521	6.627521	0.999987	0.000000	0.000010	0.000000	0.000003	30.118392	
90000	-689.962148	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 Z 	1.293831	16.995128	1.293831	1.293831	0.000000	1.293831	0.000000	0.000000	1.293831	0.000000	1.293831	0.000000	1.293831	1.293831	1.293831	0.000000	1.293831	0.000000	0.000000	0.000000	5.710165	5.710165	0.999959	0.000000	0.000017	0.000020	0.000004	45.960232	
95000	-688.185543	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.722367	17.757464	0.722367	0.722367	0.000000	0.722367	0.000000	0.000000	0.722367	0.722367	0.722367	0.000000	0.000000	0.722367	0.722367	0.000000	0.722367	0.000000	0.000000	0.000000	5.566964	5.566964	0.999995	0.000000	0.000004	0.000000	0.000001	80.154000	
100000	-688.654411	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.940147	10.867836	0.940147	0.940147	0.000000	0.940147	0.000000	0.000000	0.940147	0.940147	0.940147	0.000000	0.000000	0.000000	0.940147	0.000000	0.940147	0.000000	0.000000	0.000000	5.699801	5.699801	0.999983	0.000000	0.000014	0.000000	0.000003	10.339918	
105000	-686.635293	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.930436	19.246792	0.930436	0.930436	0.000000	0.930436	0.000000	0.000000	0.930436	0.930436	0.930436	0.000000	0.000000	0.000000	0.930436	0.000000	0.930436	0.000000	0.000000	0.000000	4.868154	4.868154	0.999994	0.000000	0.000005	0.000000	0.000001	26.847562	
110000	-693.216094	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	1.073825	11.454162	1.073825	1.073825	0.000000	1.073825	0.000000	0.000000	1.073825	1.073825	1.073825	0.000000	1.073825	0.000000	1.073825	0.000000	1.073825	0.000000	0.000000	0.000000	8.358235	8.358235	0.999902	0.000000	0.000033	0.000057	0.000007	13.208969	
115000	-687.704583	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.998704	18.534778	0.998704	0.998704	0.000000	0.998704	0.000000	0.000000	0.998704	0.998704	0.998704	0.000000	0.000000	0.998704	0.998704	0.000000	0.998704	0.000000	0.000000	0.000000	5.756412	5.756412	0.999991	0.000000	0.000007	0.000000	0.000002	17.404980	
120000	-687.704401	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	1.068359	15.578301	1.068359	1.068359	0.000000	1.068359	0.000000	0.000000	1.068359	1.068359	1.068359	0.000000	0.000000	1.068359	1.068359	0.000000	1.068359	0.000000	0.000000	0.000000	5.573679	5.573679	0.999988	0.000000	0.000010	0.000000	0.000003	6.010686	
125000	-688.756906	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	1.056812	20.067189	1.056812	1.056812	0.000000	1.056812	0.000000	0.000000	1.056812	1.056812	1.056812	0.000000	0.000000	0.000000	1.056812	1.056812	1.056812	0.000000	0.000000	1.056812	5.303714	5.303714	0.999991	0.000000	0.000006	0.000000	0.000003	28.264233	
130000	-688.011995	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	0.844870	14.729480	0.844870	0.844870	0.000000	0.844870	0.000000	0.000000	0.844870	0.844870	0.844870	0.000000	0.000000	0.000000	0.844870	0.844870	0.844870	0.000000	0.000000	0.844870	5.308354	5.308354	0.999991	0.000000	0.000007	0.000000	0.000002	31.315067	
135000	-690.193896	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	0.976854	11.140882	0.976854	0.976854	0.000000	0.976854	0.000000	0.000000	0.976854	0.976854	0.976854	0.000000	0.000000	0.976854	0.976854	0.976854	0.976854	0.000000	0.000000	0.976854	5.423381	5.423381	0.999982	0.000000	0.000013	0.000000	0.000005	19.586790	
140000	-688.719259	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.890810	11.286355	0.890810	0.890810	0.000000	0.890810	0.000000	0.000000	0.890810	0.890810	0.890810	0.000000	0.000000	0.890810	0.890810	0.000000	0.890810	0.000000	0.000000	0.000000	6.835827	6.835827	0.999981	0.000000	0.000016	0.000000	0.000004	9.628915	
145000	-688.417465	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	1.015141	13.824805	1.015141	1.015141	0.000000	1.015141	0.000000	0.000000	1.015141	1.015141	1.015141	0.000000	0.000000	1.015141	1.015141	0.000000	1.015141	0.000000	0.000000	0.000000	6.475243	6.475243	0.999984	0.000000	0.000013	0.000000	0.000003	16.593041	
150000	-689.346838	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	0.719527	21.093489	0.719527	0.719527	0.000000	0.719527	0.000000	0.000000	0.719527	0.719527	0.719527	0.000000	0.719527	0.719527	0.719527	0.000000	0.719527	0.000000	0.000000	0.000000	5.088693	5.088693	0.999990	0.000000	0.000003	0.000006	0.000001	54.130268	
155000	-688.027284	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	0.817122	15.823065	0.817122	0.817122	0.000000	0.817122	0.000000	0.000000	0.817122	0.817122	0.817122	0.000000	0.000000	0.817122	0.817122	0.817122	0.817122	0.000000	0.000000	0.817122	4.812818	4.812818	0.999993	0.000000	0.000005	0.000000	0.000002	16.865207	
160000	-688.362025	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	0.884988	14.215664	0.884988	0.884988	0.000000	0.884988	0.000000	0.000000	0.884988	0.884988	0.884988	0.000000	0.000000	0.000000	0.884988	0.884988	0.884988	0.000000	0.000000	0.884988	5.913593	5.913593	0.999988	0.000000	0.000009	0.000000	0.000003	5.019501	
165000	-693.497616	1	2	3	'1 0 1 1 1 1 Z Z 1 1 1 Z 1 1 1 1 	0.758433	15.530407	0.758433	0.758433	0.758433	0.758433	0.000000	0.000000	0.758433	0.758433	0.758433	0.000000	0.758433	0.758433	0.758433	0.758433	0.758433	0.000000	0.000000	0.758433	4.762771	4.762771	0.999983	0.000002	0.000005	0.000008	0.000002	6.271172	
170000	-689.314260	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	0.809167	12.596882	0.809167	0.809167	0.000000	0.809167	0.000000	0.000000	0.809167	0.809167	0.809167	0.000000	0.809167	0.809167	0.809167	0.000000	0.809167	0.000000	0.000000	0.000000	6.848705	6.848705	0.999965	0.000000	0.000013	0.000019	0.000003	4.974716	
175000	-687.801805	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	0.988623	16.181859	0.988623	0.988623	0.000000	0.988623	0.000000	0.000000	0.988623	0.988623	0.988623	0.000000	0.988623	0.000000	0.988623	0.000000	0.988623	0.000000	0.000000	0.000000	4.898000	4.898000	0.999976	0.000000	0.000008	0.000015	0.000002	7.112472	
180000	-688.848427	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.973900	11.837912	0.973900	0.973900	0.000000	0.973900	0.000000	0.000000	0.973900	0.973900	0.973900	0.000000	0.000000	0.000000	0.973900	0.000000	0.973900	0.000000	0.000000	0.000000	6.833780	6.833780	0.999979	0.000000	0.000017	0.000000	0.000004	10.755626	
185000	-687.977542	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.993532	12.745135	0.993532	0.993532	0.000000	0.993532	0.000000	0.000000	0.993532	0.993532	0.993532	0.000000	0.000000	0.993532	0.993532	0.000000	0.993532	0.000000	0.000000	0.000000	5.790983	5.790983	0.999985	0.000000	0.000012	0.000000	0.000003	11.415241	
190000	-688.791166	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	0.951408	18.191556	0.951408	0.951408	0.000000	0.951408	0.000000	0.000000	0.951408	0.951408	0.951408	0.000000	0.951408	0.951408	0.951408	0.000000	0.951408	0.000000	0.000000	0.000000	3.966451	3.966451	0.999986	0.000000	0.000005	0.000008	0.000001	67.047288	
195000	-688.639564	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	0.741411	19.109434	0.741411	0.741411	0.000000	0.741411	0.000000	0.000000	0.741411	0.741411	0.741411	0.000000	0.000000	0.741411	0.741411	0.741411	0.741411	0.000000	0.000000	0.741411	4.656945	4.656945	0.999996	0.000000	0.000003	0.000000	0.000001	44.894120	
200000	-693.215332	1	2	4	'1 0 1 1 Z 1 1 Z 1 1 1 Z 1 Z 1 1 	0.711374	15.347478	0.711374	0.711374	0.000000	0.711374	0.711374	0.000000	0.711374	0.711374	0.711374	0.000000	0.711374	0.000000	0.711374	0.711374	0.711374	0.000000	0.000000	0.711374	5.455245	5.455245	0.999984	0.000000	0.000006	0.000009	0.000002	74.110408	
205000	-688.257623	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	0.787022	17.345907	0.787022	0.787022	0.000000	0.787022	0.000000	0.000000	0.787022	0.787022	0.787022	0.000000	0.787022	0.000000	0.787022	0.000000	0.787022	0.000000	0.000000	0.000000	4.363538	4.363538	0.999987	0.000000	0.000004	0.000008	0.000001	33.981494	
210000	-690.553500	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	1.143997	21.582831	1.143997	1.143997	0.000000	1.143997	0.000000	0.000000	1.143997	1.143997	1.143997	0.000000	1.143997	0.000000	1.143997	1.143997	1.143997	0.000000	0.000000	1.143997	5.071821	5.071821	0.999977	0.000000	0.000007	0.000012	0.000004	17.181275	
215000	-690.728340	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 Z 1 1 	1.105603	17.041670	1.105603	1.105603	0.000000	1.105603	0.000000	0.000000	1.105603	0.000000	1.105603	0.000000	1.105603	0.000000	1.105603	1.105603	1.105603	0.000000	0.000000	1.105603	5.039967	5.039967	0.999970	0.000000	0.000011	0.000014	0.000004	6.202286	
220000	-687.810965	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	0.900621	17.371931	0.900621	0.900621	0.000000	0.900621	0.000000	0.000000	0.900621	0.900621	0.900621	0.000000	0.000000	0.000000	0.900621	0.900621	0.900621	0.000000	0.000000	0.900621	5.143873	5.143873	0.999992	0.000000	0.000006	0.000000	0.000002	9.272375	
225000	-689.517992	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.906354	20.164765	0.906354	0.906354	0.000000	0.906354	0.000000	0.000000	0.906354	0.906354	0.906354	0.000000	0.906354	0.906354	0.906354	0.906354	0.906354	0.000000	0.000000	0.906354	4.097810	4.097810	0.999988	0.000000	0.000004	0.000006	0.000002	8.734435	
230000	-688.669656	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	1.031406	13.523325	1.031406	1.031406	0.000000	1.031406	0.000000	0.000000	1.031406	1.031406	1.031406	0.000000	0.000000	0.000000	1.031406	0.000000	1.031406	0.000000	0.000000	0.000000	6.685506	6.685506	0.999982	0.000000	0.000015	0.000000	0.000004	7.280793	
235000	-689.001199	1	2	7	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 Z 1 Z 	1.438230	23.302911	1.438230	1.438230	0.000000	1.438230	0.000000	0.000000	1.438230	0.000000	1.438230	0.000000	1.438230	0.000000	1.438230	0.000000	1.438230	0.000000	0.000000	0.000000	4.062352	4.062352	0.999974	0.000000	0.000010	0.000014	0.000002	39.048169	
240000	-690.424992	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 Z 	1.261039	32.454393	1.261039	1.261039	0.000000	1.261039	0.000000	0.000000	1.261039	0.000000	1.261039	0.000000	1.261039	1.261039	1.261039	0.000000	1.261039	0.000000	0.000000	0.000000	4.378804	4.378804	0.999986	0.000000	0.000006	0.000007	0.000001	22.583473	
245000	-693.157003	1	2	5	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 1 	1.272393	32.786908	1.272393	1.272393	0.000000	1.272393	0.000000	0.000000	1.272393	0.000000	1.272393	0.000000	1.272393	1.272393	1.272393	1.272393	1.272393	0.000000	0.000000	1.272393	3.258672	3.258672	0.999990	0.000000	0.000004	0.000004	0.000002	29.793124	
250000	-688.476096	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	0.980047	21.713120	0.980047	0.980047	0.000000	0.980047	0.000000	0.000000	0.980047	0.980047	0.980047	0.000000	0.000000	0.000000	0.980047	0.980047	0.980047	0.000000	0.000000	0.980047	4.973333	4.973333	0.999993	0.000000	0.000005	0.000000	0.000002	51.720286	
