Options:
Model:                           MultiState
Tree File Name:                  _tree_anura_bt.nex
Data File Name:                  _dat_anura.txt
Log File Name:                   anura_rjhp_cov_r3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1038589941
Precision:                       64 bits
Cores:                           15
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   anura_rjhp_cov_r3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,S,T,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAS                          RJ MCMC
    qAT                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDS                          RJ MCMC
    qDT                          RJ MCMC
    qDV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qST                          RJ MCMC
    qSV                          RJ MCMC
    qTA                          RJ MCMC
    qTD                          RJ MCMC
    qTS                          RJ MCMC
    qTV                          RJ MCMC
    qVA                          qAV
    qVD                          qDV
    qVS                          qSV
    qVT                          qTV
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       3416
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAS	qAT	qAV	qDA	qDS	qDT	qDV	qSA	qSD	qST	qSV	qTA	qTD	qTS	qTV	qVA	qVD	qVS	qVT	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(S)	Root P(T)	Root P(V)	RJRates - Mean	
255000	-693.054996	1	2	5	'1 0 1 1 Z 1 1 Z 1 1 1 Z Z Z 1 1 	0.969727	18.397849	0.969727	0.969727	0.000000	0.969727	0.969727	0.000000	0.969727	0.969727	0.969727	0.000000	0.000000	0.000000	0.969727	0.969727	0.969727	0.000000	0.000000	0.969727	4.103991	4.103991	0.999994	0.000000	0.000005	0.000000	0.000002	18.693648	
260000	-694.640206	1	2	5	'1 0 1 1 Z 1 1 Z 1 1 1 Z Z Z 1 1 	0.843717	10.951689	0.843717	0.843717	0.000000	0.843717	0.843717	0.000000	0.843717	0.843717	0.843717	0.000000	0.000000	0.000000	0.843717	0.843717	0.843717	0.000000	0.000000	0.843717	7.280880	7.280880	0.999978	0.000000	0.000017	0.000000	0.000005	4.789876	
265000	-689.937192	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 Z Z 	0.919221	22.727960	0.919221	0.919221	0.000000	0.919221	0.000000	0.000000	0.919221	0.919221	0.919221	0.000000	0.919221	0.919221	0.000000	0.000000	0.919221	0.000000	0.000000	0.000000	4.654140	4.654140	0.999992	0.000000	0.000004	0.000003	0.000001	30.191065	
270000	-694.959919	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	1.083622	29.363032	1.083622	1.083622	0.000000	1.083622	0.000000	0.000000	1.083622	1.083622	1.083622	0.000000	1.083622	1.083622	1.083622	0.000000	1.083622	0.000000	0.000000	0.000000	2.852111	2.852111	0.999992	0.000000	0.000003	0.000004	0.000001	14.507680	
275000	-688.660300	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.747793	11.840424	0.747793	0.747793	0.000000	0.747793	0.000000	0.000000	0.747793	0.747793	0.747793	0.000000	0.000000	0.000000	0.747793	0.000000	0.747793	0.000000	0.000000	0.000000	4.942281	4.942281	0.999992	0.000000	0.000007	0.000000	0.000002	33.304394	
280000	-699.309114	1	2	4	'1 0 1 1 1 1 1 Z 1 1 1 Z 1 1 Z Z 	0.612089	19.981829	0.612089	0.612089	0.612089	0.612089	0.612089	0.000000	0.612089	0.612089	0.612089	0.000000	0.612089	0.612089	0.000000	0.000000	0.612089	0.000000	0.000000	0.000000	4.966785	4.966785	0.999994	0.000001	0.000003	0.000002	0.000000	17.268455	
285000	-687.090218	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.880752	18.349266	0.880752	0.880752	0.000000	0.880752	0.000000	0.000000	0.880752	0.880752	0.880752	0.000000	0.000000	0.000000	0.880752	0.000000	0.880752	0.000000	0.000000	0.000000	5.505685	5.505685	0.999993	0.000000	0.000006	0.000000	0.000001	26.623824	
290000	-687.691922	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.827150	12.141910	0.827150	0.827150	0.000000	0.827150	0.000000	0.000000	0.827150	0.827150	0.827150	0.000000	0.000000	0.827150	0.827150	0.000000	0.827150	0.000000	0.000000	0.000000	5.716288	5.716288	0.999988	0.000000	0.000010	0.000000	0.000002	93.976936	
295000	-688.880912	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	0.892629	20.247627	0.892629	0.892629	0.000000	0.892629	0.000000	0.000000	0.892629	0.892629	0.892629	0.000000	0.000000	0.000000	0.892629	0.892629	0.892629	0.000000	0.000000	0.892629	3.860882	3.860882	0.999995	0.000000	0.000003	0.000000	0.000001	25.349855	
300000	-692.028043	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.720562	16.103694	0.720562	0.720562	0.000000	0.720562	0.000000	0.000000	0.720562	0.720562	0.720562	0.000000	0.720562	0.720562	0.720562	0.720562	0.720562	0.000000	0.000000	0.720562	3.553398	3.553398	0.999991	0.000000	0.000003	0.000005	0.000001	15.464531	
305000	-695.099360	1	2	5	'1 0 1 1 Z 1 1 Z 1 Z 1 Z 1 1 1 Z 	1.212807	18.589789	1.212807	1.212807	0.000000	1.212807	1.212807	0.000000	1.212807	0.000000	1.212807	0.000000	1.212807	1.212807	1.212807	0.000000	1.212807	0.000000	0.000000	0.000000	4.179848	4.179848	0.999977	0.000000	0.000009	0.000011	0.000002	8.360580	
310000	-688.449303	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	0.832649	13.089098	0.832649	0.832649	0.000000	0.832649	0.000000	0.000000	0.832649	0.832649	0.832649	0.000000	0.000000	0.832649	0.832649	0.832649	0.832649	0.000000	0.000000	0.832649	5.266500	5.266500	0.999990	0.000000	0.000008	0.000000	0.000003	19.379157	
315000	-686.934906	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.970477	15.750777	0.970477	0.970477	0.000000	0.970477	0.000000	0.000000	0.970477	0.970477	0.970477	0.000000	0.000000	0.000000	0.970477	0.000000	0.970477	0.000000	0.000000	0.000000	5.597118	5.597118	0.999990	0.000000	0.000008	0.000000	0.000002	58.915569	
320000	-687.552243	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	1.038173	23.794844	1.038173	1.038173	0.000000	1.038173	0.000000	0.000000	1.038173	1.038173	1.038173	0.000000	0.000000	0.000000	1.038173	0.000000	1.038173	0.000000	0.000000	0.000000	4.329524	4.329524	0.999995	0.000000	0.000004	0.000000	0.000001	25.593179	
