Options:
Model:                           MultiState
Tree File Name:                  _tree_anura_bt.nex
Data File Name:                  _dat_anura.txt
Log File Name:                   anura_rjhp_cov_r1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1952948202
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   anura_rjhp_cov_r1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,S,T,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAS                          RJ MCMC
    qAT                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDS                          RJ MCMC
    qDT                          RJ MCMC
    qDV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qST                          RJ MCMC
    qSV                          RJ MCMC
    qTA                          RJ MCMC
    qTD                          RJ MCMC
    qTS                          RJ MCMC
    qTV                          RJ MCMC
    qVA                          qAV
    qVD                          qDV
    qVS                          qSV
    qVT                          qTV
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       3416
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAS	qAT	qAV	qDA	qDS	qDT	qDV	qSA	qSD	qST	qSV	qTA	qTD	qTS	qTV	qVA	qVD	qVS	qVT	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(S)	Root P(T)	Root P(V)	RJRates - Mean	
70000	-686.997475	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.896151	15.956031	0.896151	0.896151	0.000000	0.896151	0.000000	0.000000	0.896151	0.896151	0.896151	0.000000	0.000000	0.896151	0.896151	0.000000	0.896151	0.000000	0.000000	0.000000	4.571970	4.571970	0.999993	0.000000	0.000006	0.000000	0.000001	91.137923	
75000	-695.145785	1	2	5	'1 0 1 Z Z 1 Z 1 1 1 1 Z Z 1 1 1 	0.837953	14.934373	0.837953	0.000000	0.000000	0.837953	0.000000	0.837953	0.837953	0.837953	0.837953	0.000000	0.000000	0.837953	0.837953	0.837953	0.000000	0.837953	0.000000	0.837953	4.936576	4.936576	0.999994	0.000000	0.000006	0.000000	0.000000	71.269377	
80000	-690.137728	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.709802	21.409335	0.709802	0.709802	0.000000	0.709802	0.000000	0.000000	0.709802	0.709802	0.709802	0.000000	0.000000	0.709802	0.709802	0.000000	0.709802	0.000000	0.000000	0.000000	3.505853	3.505853	0.999998	0.000000	0.000002	0.000000	0.000000	85.590802	
85000	-693.176080	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	1.103475	14.693369	1.103475	1.103475	0.000000	1.103475	0.000000	0.000000	1.103475	1.103475	1.103475	0.000000	1.103475	0.000000	1.103475	1.103475	1.103475	0.000000	0.000000	1.103475	7.439868	7.439868	0.999940	0.000000	0.000020	0.000032	0.000009	11.415130	
90000	-694.528810	1	2	4	'1 0 1 1 1 1 Z Z 1 1 1 Z 1 Z 1 1 	0.904762	13.798010	0.904762	0.904762	0.904762	0.904762	0.000000	0.000000	0.904762	0.904762	0.904762	0.000000	0.904762	0.000000	0.904762	0.904762	0.904762	0.000000	0.000000	0.904762	5.923823	5.923823	0.999963	0.000003	0.000012	0.000017	0.000004	26.352888	
95000	-691.255748	1	2	6	'1 0 1 1 Z 1 1 Z 1 1 1 Z Z Z 1 Z 	0.827459	17.189391	0.827459	0.827459	0.000000	0.827459	0.827459	0.000000	0.827459	0.827459	0.827459	0.000000	0.000000	0.000000	0.827459	0.000000	0.827459	0.000000	0.000000	0.000000	5.586592	5.586592	0.999993	0.000000	0.000006	0.000000	0.000001	37.843090	
100000	-688.960309	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	0.944335	19.636238	0.944335	0.944335	0.000000	0.944335	0.000000	0.000000	0.944335	0.944335	0.944335	0.000000	0.944335	0.000000	0.944335	0.000000	0.944335	0.000000	0.000000	0.000000	5.897008	5.897008	0.999977	0.000000	0.000007	0.000014	0.000002	14.420122	
105000	-688.052562	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	0.914462	19.045064	0.914462	0.914462	0.000000	0.914462	0.000000	0.000000	0.914462	0.914462	0.914462	0.000000	0.000000	0.914462	0.914462	0.914462	0.914462	0.000000	0.000000	0.914462	5.086489	5.086489	0.999993	0.000000	0.000005	0.000000	0.000002	17.892163	
110000	-689.413398	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	1.091147	17.151715	1.091147	1.091147	0.000000	1.091147	0.000000	0.000000	1.091147	1.091147	1.091147	0.000000	1.091147	1.091147	1.091147	0.000000	1.091147	0.000000	0.000000	0.000000	5.963053	5.963053	0.999969	0.000000	0.000011	0.000017	0.000003	39.693936	
115000	-693.525225	1	2	4	'1 0 1 1 1 1 Z Z 1 1 1 Z 1 Z 1 1 	0.862113	20.646868	0.862113	0.862113	0.862113	0.862113	0.000000	0.000000	0.862113	0.862113	0.862113	0.000000	0.862113	0.000000	0.862113	0.862113	0.862113	0.000000	0.000000	0.862113	4.767321	4.767321	0.999984	0.000001	0.000005	0.000008	0.000002	13.529343	
