Options:
Model:                           MultiState
Tree File Name:                  _tree_anura_bt.nex
Data File Name:                  _dat_anura.txt
Log File Name:                   anura_rjhp_cov_r1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1952948202
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   5000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   anura_rjhp_cov_r1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,S,T,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAS                          RJ MCMC
    qAT                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDS                          RJ MCMC
    qDT                          RJ MCMC
    qDV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qST                          RJ MCMC
    qSV                          RJ MCMC
    qTA                          RJ MCMC
    qTD                          RJ MCMC
    qTS                          RJ MCMC
    qTV                          RJ MCMC
    qVA                          qAV
    qVD                          qDV
    qVS                          qSV
    qVT                          qTV
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       3416
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAS	qAT	qAV	qDA	qDS	qDT	qDV	qSA	qSD	qST	qSV	qTA	qTD	qTS	qTV	qVA	qVD	qVS	qVT	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(S)	Root P(T)	Root P(V)	RJRates - Mean	
2240000	-687.219001	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.883202	15.904327	0.883202	0.883202	0.000000	0.883202	0.000000	0.000000	0.883202	0.883202	0.883202	0.000000	0.000000	0.000000	0.883202	0.000000	0.883202	0.000000	0.000000	0.000000	5.905243	5.905243	0.999991	0.000000	0.000008	0.000000	0.000002	8.096429	
2245000	-687.226551	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.780927	15.130406	0.780927	0.780927	0.000000	0.780927	0.000000	0.000000	0.780927	0.780927	0.780927	0.000000	0.000000	0.000000	0.780927	0.000000	0.780927	0.000000	0.000000	0.000000	4.978033	4.978033	0.999994	0.000000	0.000005	0.000000	0.000001	46.036833	
2250000	-687.753555	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.976091	12.799962	0.976091	0.976091	0.000000	0.976091	0.000000	0.000000	0.976091	0.976091	0.976091	0.000000	0.000000	0.000000	0.976091	0.000000	0.976091	0.000000	0.000000	0.000000	5.142267	5.142267	0.999988	0.000000	0.000010	0.000000	0.000002	22.965223	
2255000	-688.435814	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	1.194724	22.312395	1.194724	1.194724	0.000000	1.194724	0.000000	0.000000	1.194724	1.194724	1.194724	0.000000	0.000000	0.000000	1.194724	0.000000	1.194724	0.000000	0.000000	0.000000	4.158988	4.158988	0.999993	0.000000	0.000005	0.000000	0.000001	29.224996	
2260000	-688.312824	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	0.785649	15.005257	0.785649	0.785649	0.000000	0.785649	0.000000	0.000000	0.785649	0.785649	0.785649	0.000000	0.785649	0.785649	0.785649	0.000000	0.785649	0.000000	0.000000	0.000000	5.896816	5.896816	0.999979	0.000000	0.000008	0.000012	0.000002	15.360288	
2265000	-689.688873	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	0.935412	12.733477	0.935412	0.935412	0.000000	0.935412	0.000000	0.000000	0.935412	0.935412	0.935412	0.000000	0.935412	0.000000	0.935412	0.935412	0.935412	0.000000	0.000000	0.935412	5.502573	5.502573	0.999966	0.000000	0.000012	0.000018	0.000005	20.271274	
2270000	-690.161725	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	0.654018	17.476048	0.654018	0.654018	0.000000	0.654018	0.000000	0.000000	0.654018	0.654018	0.654018	0.000000	0.654018	0.000000	0.654018	0.000000	0.654018	0.000000	0.000000	0.000000	5.582403	5.582403	0.999987	0.000000	0.000004	0.000008	0.000001	16.741225	
2275000	-688.481686	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	0.774309	17.992040	0.774309	0.774309	0.000000	0.774309	0.000000	0.000000	0.774309	0.774309	0.774309	0.000000	0.000000	0.774309	0.774309	0.774309	0.774309	0.000000	0.000000	0.774309	5.379079	5.379079	0.999994	0.000000	0.000005	0.000000	0.000001	20.501612	
2280000	-689.491871	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	0.729186	13.022586	0.729186	0.729186	0.000000	0.729186	0.000000	0.000000	0.729186	0.729186	0.729186	0.000000	0.729186	0.729186	0.729186	0.000000	0.729186	0.000000	0.000000	0.000000	4.495221	4.495221	0.999984	0.000000	0.000006	0.000009	0.000001	8.367412	
2285000	-689.244100	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	0.684497	14.501977	0.684497	0.684497	0.000000	0.684497	0.000000	0.000000	0.684497	0.684497	0.684497	0.000000	0.000000	0.684497	0.684497	0.684497	0.684497	0.000000	0.000000	0.684497	5.666651	5.666651	0.999993	0.000000	0.000005	0.000000	0.000002	18.294632	
2290000	-689.620048	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.808160	12.909356	0.808160	0.808160	0.000000	0.808160	0.000000	0.000000	0.808160	0.808160	0.808160	0.000000	0.000000	0.808160	0.808160	0.000000	0.808160	0.000000	0.000000	0.000000	7.503106	7.503106	0.999984	0.000000	0.000013	0.000000	0.000003	7.864413	
2295000	-688.771857	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	1.209010	16.968637	1.209010	1.209010	0.000000	1.209010	0.000000	0.000000	1.209010	1.209010	1.209010	0.000000	0.000000	1.209010	1.209010	0.000000	1.209010	0.000000	0.000000	0.000000	5.194628	5.194628	0.999988	0.000000	0.000010	0.000000	0.000003	12.782506	
2300000	-690.775512	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	1.050458	19.139121	1.050458	1.050458	0.000000	1.050458	0.000000	0.000000	1.050458	1.050458	1.050458	0.000000	1.050458	1.050458	1.050458	1.050458	1.050458	0.000000	0.000000	1.050458	5.935629	5.935629	0.999974	0.000000	0.000009	0.000013	0.000004	29.796587	
2305000	-689.023897	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.892355	19.577576	0.892355	0.892355	0.000000	0.892355	0.000000	0.000000	0.892355	0.892355	0.892355	0.000000	0.892355	0.892355	0.892355	0.892355	0.892355	0.000000	0.000000	0.892355	5.077050	5.077050	0.999985	0.000000	0.000005	0.000008	0.000002	50.049981	
2310000	-687.861505	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	0.960398	19.442451	0.960398	0.960398	0.000000	0.960398	0.000000	0.000000	0.960398	0.960398	0.960398	0.000000	0.960398	0.000000	0.960398	0.000000	0.960398	0.000000	0.000000	0.000000	4.360643	4.360643	0.999984	0.000000	0.000005	0.000010	0.000001	44.356382	
2315000	-688.499865	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	1.022435	18.043725	1.022435	1.022435	0.000000	1.022435	0.000000	0.000000	1.022435	1.022435	1.022435	0.000000	0.000000	0.000000	1.022435	0.000000	1.022435	0.000000	0.000000	0.000000	6.295898	6.295898	0.999989	0.000000	0.000009	0.000000	0.000002	19.330062	
2320000	-690.399542	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 Z 	1.349785	18.485226	1.349785	1.349785	0.000000	1.349785	0.000000	0.000000	1.349785	0.000000	1.349785	0.000000	1.349785	1.349785	1.349785	0.000000	1.349785	0.000000	0.000000	0.000000	5.884130	5.884130	0.999958	0.000000	0.000017	0.000021	0.000004	13.263040	
2325000	-689.344675	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	0.861138	24.877849	0.861138	0.861138	0.000000	0.861138	0.000000	0.000000	0.861138	0.861138	0.861138	0.000000	0.861138	0.000000	0.861138	0.000000	0.861138	0.000000	0.000000	0.000000	3.813776	3.813776	0.999991	0.000000	0.000003	0.000006	0.000001	43.891827	
2330000	-687.868577	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.820309	11.952752	0.820309	0.820309	0.000000	0.820309	0.000000	0.000000	0.820309	0.820309	0.820309	0.000000	0.000000	0.000000	0.820309	0.000000	0.820309	0.000000	0.000000	0.000000	5.875549	5.875549	0.999988	0.000000	0.000010	0.000000	0.000002	68.245025	
2335000	-694.393224	1	2	5	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 1 	0.996234	16.616477	0.996234	0.996234	0.000000	0.996234	0.000000	0.000000	0.996234	0.000000	0.996234	0.000000	0.996234	0.996234	0.996234	0.996234	0.996234	0.000000	0.000000	0.996234	3.209252	3.209252	0.999985	0.000000	0.000006	0.000007	0.000002	94.594975	
2340000	-690.676721	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.829668	8.373999	0.829668	0.829668	0.000000	0.829668	0.000000	0.000000	0.829668	0.829668	0.829668	0.000000	0.000000	0.000000	0.829668	0.000000	0.829668	0.000000	0.000000	0.000000	7.298020	7.298020	0.999965	0.000000	0.000029	0.000000	0.000006	95.726168	
2345000	-689.756731	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.770307	23.486290	0.770307	0.770307	0.000000	0.770307	0.000000	0.000000	0.770307	0.770307	0.770307	0.000000	0.000000	0.000000	0.770307	0.000000	0.770307	0.000000	0.000000	0.000000	3.475103	3.475103	0.999998	0.000000	0.000002	0.000000	0.000000	83.218407	
2350000	-690.548324	1	2	5	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 1 	1.387105	24.031582	1.387105	1.387105	0.000000	1.387105	0.000000	0.000000	1.387105	0.000000	1.387105	0.000000	1.387105	1.387105	1.387105	1.387105	1.387105	0.000000	0.000000	1.387105	4.612048	4.612048	0.999976	0.000000	0.000010	0.000010	0.000004	92.328504	
2355000	-688.238034	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 Z 	1.219458	21.683443	1.219458	1.219458	0.000000	1.219458	0.000000	0.000000	1.219458	0.000000	1.219458	0.000000	1.219458	1.219458	1.219458	0.000000	1.219458	0.000000	0.000000	0.000000	4.289377	4.289377	0.999980	0.000000	0.000008	0.000010	0.000002	52.885749	
2360000	-700.558340	1	2	5	'1 0 1 Z Z 1 1 1 1 1 1 Z Z Z 1 1 	0.631420	9.630524	0.631420	0.000000	0.000000	0.631420	0.631420	0.631420	0.631420	0.631420	0.631420	0.000000	0.000000	0.000000	0.631420	0.631420	0.000000	0.631420	0.000000	0.631420	5.322787	5.322787	0.999989	0.000000	0.000011	0.000000	0.000000	51.719325	
2365000	-690.788663	1	2	8	'1 0 1 1 Z 1 Z Z 1 Z 1 Z Z Z 1 Z 	1.488660	37.098862	1.488660	1.488660	0.000000	1.488660	0.000000	0.000000	1.488660	0.000000	1.488660	0.000000	0.000000	0.000000	1.488660	0.000000	1.488660	0.000000	0.000000	0.000000	4.374380	4.374380	0.999993	0.000000	0.000005	0.000000	0.000001	76.010307	
2370000	-690.341319	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.972932	24.923562	0.972932	0.972932	0.000000	0.972932	0.000000	0.000000	0.972932	0.972932	0.972932	0.000000	0.972932	0.972932	0.972932	0.972932	0.972932	0.000000	0.000000	0.972932	4.685837	4.685837	0.999988	0.000000	0.000004	0.000006	0.000002	72.751708	
2375000	-688.275778	1	2	8	'1 0 1 1 Z 1 Z Z 1 Z 1 Z Z Z 1 Z 	1.120023	18.392373	1.120023	1.120023	0.000000	1.120023	0.000000	0.000000	1.120023	0.000000	1.120023	0.000000	0.000000	0.000000	1.120023	0.000000	1.120023	0.000000	0.000000	0.000000	5.334462	5.334462	0.999988	0.000000	0.000009	0.000000	0.000002	74.038736	
2380000	-691.408355	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z Z 1 1 1 	1.280097	14.422279	1.280097	1.280097	0.000000	1.280097	0.000000	0.000000	1.280097	0.000000	1.280097	0.000000	0.000000	1.280097	1.280097	1.280097	1.280097	0.000000	0.000000	1.280097	4.284912	4.284912	0.999983	0.000000	0.000012	0.000000	0.000004	29.170968	
2385000	-688.734741	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	1.041219	18.649561	1.041219	1.041219	0.000000	1.041219	0.000000	0.000000	1.041219	1.041219	1.041219	0.000000	0.000000	0.000000	1.041219	1.041219	1.041219	0.000000	0.000000	1.041219	5.560478	5.560478	0.999990	0.000000	0.000007	0.000000	0.000003	18.550551	
2390000	-688.820905	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	0.855150	22.805684	0.855150	0.855150	0.000000	0.855150	0.000000	0.000000	0.855150	0.855150	0.855150	0.000000	0.855150	0.000000	0.855150	0.000000	0.855150	0.000000	0.000000	0.000000	5.105686	5.105686	0.999987	0.000000	0.000004	0.000008	0.000001	38.563522	
2395000	-689.526607	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	1.074796	19.158094	1.074796	1.074796	0.000000	1.074796	0.000000	0.000000	1.074796	1.074796	1.074796	0.000000	1.074796	1.074796	1.074796	0.000000	1.074796	0.000000	0.000000	0.000000	5.873302	5.873302	0.999974	0.000000	0.000009	0.000015	0.000002	75.271442	
2400000	-691.372478	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	1.272885	13.756505	1.272885	1.272885	0.000000	1.272885	0.000000	0.000000	1.272885	1.272885	1.272885	0.000000	1.272885	0.000000	1.272885	0.000000	1.272885	0.000000	0.000000	0.000000	5.291136	5.291136	0.999950	0.000000	0.000017	0.000029	0.000004	44.328257	
2405000	-689.003257	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	1.062586	15.965796	1.062586	1.062586	0.000000	1.062586	0.000000	0.000000	1.062586	1.062586	1.062586	0.000000	0.000000	0.000000	1.062586	1.062586	1.062586	0.000000	0.000000	1.062586	5.875353	5.875353	0.999986	0.000000	0.000010	0.000000	0.000004	27.245835	
2410000	-694.152981	1	2	3	'1 0 1 1 1 1 Z Z 1 1 1 Z 1 1 1 1 	0.770547	15.094733	0.770547	0.770547	0.770547	0.770547	0.000000	0.000000	0.770547	0.770547	0.770547	0.000000	0.770547	0.770547	0.770547	0.770547	0.770547	0.000000	0.000000	0.770547	4.288369	4.288369	0.999984	0.000001	0.000005	0.000007	0.000002	46.152954	
2415000	-694.612779	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.946467	45.646281	0.946467	0.946467	0.000000	0.946467	0.000000	0.000000	0.946467	0.946467	0.946467	0.000000	0.000000	0.000000	0.946467	0.000000	0.946467	0.000000	0.000000	0.000000	3.422246	3.422246	0.999999	0.000000	0.000001	0.000000	0.000000	44.985943	
2420000	-688.786151	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.829512	17.941327	0.829512	0.829512	0.000000	0.829512	0.000000	0.000000	0.829512	0.829512	0.829512	0.000000	0.829512	0.829512	0.829512	0.829512	0.829512	0.000000	0.000000	0.829512	4.987192	4.987192	0.999985	0.000000	0.000005	0.000007	0.000002	23.051323	
2425000	-693.997385	1	2	4	'1 0 1 1 Z 1 Z 1 1 1 1 Z 1 1 1 Z 	0.871906	23.062380	0.871906	0.871906	0.000000	0.871906	0.000000	0.871906	0.871906	0.871906	0.871906	0.000000	0.871906	0.871906	0.871906	0.000000	0.871906	0.871906	0.000000	0.000000	4.270903	4.270903	0.999990	0.000000	0.000004	0.000006	0.000001	38.762439	
2430000	-693.195569	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 Z 1 1 	1.388168	35.563745	1.388168	1.388168	0.000000	1.388168	0.000000	0.000000	1.388168	0.000000	1.388168	0.000000	1.388168	0.000000	1.388168	1.388168	1.388168	0.000000	0.000000	1.388168	3.931813	3.931813	0.999985	0.000000	0.000005	0.000007	0.000003	32.953943	
2435000	-689.396403	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	0.808275	13.165359	0.808275	0.808275	0.000000	0.808275	0.000000	0.000000	0.808275	0.808275	0.808275	0.000000	0.808275	0.000000	0.808275	0.808275	0.808275	0.000000	0.000000	0.808275	5.155741	5.155741	0.999976	0.000000	0.000008	0.000013	0.000003	4.950103	
2440000	-688.874037	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z Z 1 1 1 	1.255960	24.902514	1.255960	1.255960	0.000000	1.255960	0.000000	0.000000	1.255960	0.000000	1.255960	0.000000	0.000000	1.255960	1.255960	1.255960	1.255960	0.000000	0.000000	1.255960	4.226826	4.226826	0.999992	0.000000	0.000006	0.000000	0.000002	14.972724	
2445000	-691.200128	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	1.052101	30.661419	1.052101	1.052101	0.000000	1.052101	0.000000	0.000000	1.052101	1.052101	1.052101	0.000000	1.052101	1.052101	1.052101	0.000000	1.052101	0.000000	0.000000	0.000000	3.867630	3.867630	0.999991	0.000000	0.000003	0.000005	0.000001	28.725439	
2450000	-692.939749	1	2	5	'1 0 1 1 Z 1 1 Z 1 1 1 Z Z 1 1 Z 	0.900997	15.529177	0.900997	0.900997	0.000000	0.900997	0.900997	0.000000	0.900997	0.900997	0.900997	0.000000	0.000000	0.900997	0.900997	0.000000	0.900997	0.000000	0.000000	0.000000	6.316623	6.316623	0.999989	0.000000	0.000009	0.000000	0.000002	61.225106	
2455000	-689.132582	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	0.825048	21.397625	0.825048	0.825048	0.000000	0.825048	0.000000	0.000000	0.825048	0.825048	0.825048	0.000000	0.000000	0.825048	0.825048	0.825048	0.825048	0.000000	0.000000	0.825048	3.898348	3.898348	0.999996	0.000000	0.000003	0.000000	0.000001	47.622381	
2460000	-688.222612	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 Z 	0.804123	13.433687	0.804123	0.804123	0.000000	0.804123	0.000000	0.000000	0.804123	0.804123	0.804123	0.000000	0.804123	0.000000	0.804123	0.000000	0.804123	0.000000	0.000000	0.000000	5.486023	5.486023	0.999975	0.000000	0.000008	0.000015	0.000002	33.097631	
2465000	-691.235638	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.929356	11.174863	0.929356	0.929356	0.000000	0.929356	0.000000	0.000000	0.929356	0.929356	0.929356	0.000000	0.929356	0.929356	0.929356	0.929356	0.929356	0.000000	0.000000	0.929356	7.090945	7.090945	0.999945	0.000000	0.000020	0.000027	0.000008	49.517989	
2470000	-687.511084	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.775438	13.940719	0.775438	0.775438	0.000000	0.775438	0.000000	0.000000	0.775438	0.775438	0.775438	0.000000	0.000000	0.000000	0.775438	0.000000	0.775438	0.000000	0.000000	0.000000	4.990621	4.990621	0.999993	0.000000	0.000006	0.000000	0.000001	10.590405	
2475000	-688.263167	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	1.028589	19.993842	1.028589	1.028589	0.000000	1.028589	0.000000	0.000000	1.028589	1.028589	1.028589	0.000000	0.000000	0.000000	1.028589	1.028589	1.028589	0.000000	0.000000	1.028589	4.895527	4.895527	0.999992	0.000000	0.000006	0.000000	0.000002	25.005265	
2480000	-690.065916	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	0.814251	11.732495	0.814251	0.814251	0.000000	0.814251	0.000000	0.000000	0.814251	0.814251	0.814251	0.000000	0.814251	0.000000	0.814251	0.814251	0.814251	0.000000	0.000000	0.814251	6.336755	6.336755	0.999963	0.000000	0.000013	0.000020	0.000005	16.176035	
2485000	-689.172537	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	0.917013	14.001456	0.917013	0.917013	0.000000	0.917013	0.000000	0.000000	0.917013	0.917013	0.917013	0.000000	0.917013	0.000000	0.917013	0.917013	0.917013	0.000000	0.000000	0.917013	5.553431	5.553431	0.999970	0.000000	0.000010	0.000016	0.000004	55.367125	
2490000	-689.605161	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	0.797522	15.906571	0.797522	0.797522	0.000000	0.797522	0.000000	0.000000	0.797522	0.797522	0.797522	0.000000	0.797522	0.000000	0.797522	0.797522	0.797522	0.000000	0.000000	0.797522	6.019855	6.019855	0.999978	0.000000	0.000007	0.000012	0.000003	22.874841	
2495000	-689.517628	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	0.850849	12.451263	0.850849	0.850849	0.000000	0.850849	0.000000	0.000000	0.850849	0.850849	0.850849	0.000000	0.850849	0.850849	0.850849	0.850849	0.850849	0.000000	0.000000	0.850849	5.736771	5.736771	0.999971	0.000000	0.000011	0.000015	0.000004	59.105096	
2500000	-691.705996	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z Z Z 	0.747741	24.001387	0.747741	0.747741	0.000000	0.747741	0.000000	0.000000	0.747741	0.747741	0.747741	0.000000	0.747741	0.000000	0.000000	0.000000	0.747741	0.000000	0.000000	0.000000	4.969538	4.969538	0.999994	0.000000	0.000003	0.000002	0.000001	27.672889	
2505000	-691.954189	1	2	6	'1 0 1 1 Z 1 Z Z 1 Z 1 Z Z 1 1 1 	1.212982	19.513447	1.212982	1.212982	0.000000	1.212982	0.000000	0.000000	1.212982	0.000000	1.212982	0.000000	0.000000	1.212982	1.212982	1.212982	1.212982	0.000000	0.000000	1.212982	6.419013	6.419013	0.999982	0.000000	0.000013	0.000000	0.000005	51.501514	
2510000	-690.290882	1	2	5	'1 0 1 1 Z 1 Z Z 1 Z 1 Z 1 1 1 1 	1.047497	17.751143	1.047497	1.047497	0.000000	1.047497	0.000000	0.000000	1.047497	0.000000	1.047497	0.000000	1.047497	1.047497	1.047497	1.047497	1.047497	0.000000	0.000000	1.047497	4.800002	4.800002	0.999978	0.000000	0.000009	0.000010	0.000003	60.152630	
2515000	-690.947114	1	2	4	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 1 	1.127884	14.780001	1.127884	1.127884	0.000000	1.127884	0.000000	0.000000	1.127884	1.127884	1.127884	0.000000	1.127884	1.127884	1.127884	1.127884	1.127884	0.000000	0.000000	1.127884	5.093538	5.093538	0.999968	0.000000	0.000011	0.000015	0.000005	62.600239	
2520000	-689.110458	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 1 	1.054189	15.489712	1.054189	1.054189	0.000000	1.054189	0.000000	0.000000	1.054189	1.054189	1.054189	0.000000	0.000000	1.054189	1.054189	1.054189	1.054189	0.000000	0.000000	1.054189	5.787987	5.787987	0.999986	0.000000	0.000010	0.000000	0.000004	23.584824	
2525000	-689.101364	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	0.995775	17.737972	0.995775	0.995775	0.000000	0.995775	0.000000	0.000000	0.995775	0.995775	0.995775	0.000000	0.995775	0.000000	0.995775	0.995775	0.995775	0.000000	0.000000	0.995775	4.617047	4.617047	0.999979	0.000000	0.000007	0.000011	0.000003	14.183082	
2530000	-689.750410	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	0.842672	11.700439	0.842672	0.842672	0.000000	0.842672	0.000000	0.000000	0.842672	0.842672	0.842672	0.000000	0.000000	0.000000	0.842672	0.842672	0.842672	0.000000	0.000000	0.842672	6.912277	6.912277	0.999982	0.000000	0.000014	0.000000	0.000005	9.569830	
2535000	-688.660842	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 1 	1.007626	14.702725	1.007626	1.007626	0.000000	1.007626	0.000000	0.000000	1.007626	1.007626	1.007626	0.000000	0.000000	0.000000	1.007626	1.007626	1.007626	0.000000	0.000000	1.007626	5.828380	5.828380	0.999986	0.000000	0.000010	0.000000	0.000004	6.226041	
2540000	-688.055352	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	0.923190	18.976041	0.923190	0.923190	0.000000	0.923190	0.000000	0.000000	0.923190	0.923190	0.923190	0.000000	0.923190	0.923190	0.923190	0.000000	0.923190	0.000000	0.000000	0.000000	5.385518	5.385518	0.999982	0.000000	0.000007	0.000010	0.000001	4.799911	
2545000	-688.755008	1	2	6	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z 1 1 Z 	0.742553	12.854774	0.742553	0.742553	0.000000	0.742553	0.000000	0.000000	0.742553	0.742553	0.742553	0.000000	0.000000	0.742553	0.742553	0.000000	0.742553	0.000000	0.000000	0.000000	6.742426	6.742426	0.999989	0.000000	0.000009	0.000000	0.000002	50.868637	
2550000	-689.183603	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 Z 1 1 	0.865735	13.536968	0.865735	0.865735	0.000000	0.865735	0.000000	0.000000	0.865735	0.865735	0.865735	0.000000	0.865735	0.000000	0.865735	0.865735	0.865735	0.000000	0.000000	0.865735	5.582984	5.582984	0.999972	0.000000	0.000009	0.000015	0.000004	23.789734	
2555000	-688.739700	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.741526	11.127847	0.741526	0.741526	0.000000	0.741526	0.000000	0.000000	0.741526	0.741526	0.741526	0.000000	0.000000	0.000000	0.741526	0.000000	0.741526	0.000000	0.000000	0.000000	6.184124	6.184124	0.999987	0.000000	0.000010	0.000000	0.000002	67.058281	
2560000	-688.150295	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.813274	15.190483	0.813274	0.813274	0.000000	0.813274	0.000000	0.000000	0.813274	0.813274	0.813274	0.000000	0.000000	0.000000	0.813274	0.000000	0.813274	0.000000	0.000000	0.000000	6.413227	6.413227	0.999990	0.000000	0.000008	0.000000	0.000002	82.680207	
2565000	-687.370470	1	2	7	'1 0 1 1 Z 1 Z Z 1 1 1 Z Z Z 1 Z 	0.863529	19.822161	0.863529	0.863529	0.000000	0.863529	0.000000	0.000000	0.863529	0.863529	0.863529	0.000000	0.000000	0.000000	0.863529	0.000000	0.863529	0.000000	0.000000	0.000000	4.044376	4.044376	0.999996	0.000000	0.000003	0.000000	0.000001	79.894259	
2570000	-689.120075	1	2	5	'1 0 1 1 Z 1 Z Z 1 1 1 Z 1 1 1 Z 	0.942631	11.828471	0.942631	0.942631	0.000000	0.942631	0.000000	0.000000	0.942631	0.942631	0.942631	0.000000	0.942631	0.942631	0.942631	0.000000	0.942631	0.000000	0.000000	0.000000	6.009399	6.009399	0.999960	0.000000	0.000015	0.000022	0.000003	52.307565	
