"","transition","mean","median","perc_non_zero","ESS","HPD"
"1","qSD",7.57044603065,5.528294,95.28,13508.2205972705,"0,18.653"
"2","qDV",2.8864859867,2.3756695,57.97,14402.5773378101,"0,7.887"
"3","qDS",2.92025260005,2.356528,57.815,14860.4822161941,"0,8.093"
"4","qSV",4.7168114437,0,44.585,12816.3590540389,"0,17.582"
"5","qVD",2.9885667288,0,41.82,17395.7366669183,"0,12.002"
"6","qVS",2.3962536194,0,27.225,17852.1398644785,"0,12.107"
