state,name,value,observed
1A,lambda,0.028499683092377406,S
1A,mu,2.6280123011398238e-15,S
1A,div,0.02849968309237478,S
2A,lambda,0.028499683092377406,D
2A,mu,2.6280123011398238e-15,D
2A,div,0.02849968309237478,D
3A,lambda,0.028499683092377406,V
3A,mu,2.6280123011398238e-15,V
3A,div,0.02849968309237478,V
