model	model_type	model_name	lnL	AIC	AICc	dAIC	AW
1	CD	CD	-319.401409049489	646.802818098978	647.492473271392	0	0.809070455408364
2	LhD	LhD_1	-319.326924951467	650.653849902934	652.153849902934	3.85103180395618	0.117962892042464
6	LhID	LhID_2	-319.00219791478	652.004395829559	654.040759465923	5.20157773058122	0.0600451715107837
7	LhID	LhID_3	-318.934381806953	655.868763613906	659.264990029	9.06594551492742	0.00869643564126966
3	LhD	LhD_2	-315.992145026964	657.984290053928	665.412861482499	11.1814719549494	0.00301967746282837
8	LhID	LhID_4	-318.921432517626	659.842865035251	665.019335623486	13.0400469362729	0.00119227415098198
4	LhD	LhD_3	-315.43607722153	668.87215444306	686.546573047711	22.0693363440815	1.30524141593251e-05
5	LhD	LhD_4	-315.19027019065	680.3805403813	715.515675516435	33.5777222823214	4.13691494043212e-08
