model_name,model_type,model_itr,ml,AIC,dAIC,Aw
secsse_2_cid_try3,secsse_2_cid,3,-14598.182664568469,29218.365329136937,0,0.8519289558670785
secsse_2_full_try1,secsse_2_full,1,-14577.932475520176,29221.864951040352,3.4996219034146634,0.14807104413292158
secsse_1_fixed_try3,secsse_1_fixed,3,-14802.134712379917,29620.269424759834,401.9040956228964,4.5502775507429845e-88
secsse_1_full_try2,secsse_1_full,2,-14796.596625679955,29625.19325135991,406.8279222229721,3.88009649907651e-89
