model_name,model_type,model_itr,ml,AIC,dAIC,Aw
secsse_2_full_try2,secsse_2_full,2,-2092.489393505113,4254.978787010226,0,0.9999247398665463
secsse_2_cid_try2,secsse_2_cid,2,-2124.983878641239,4273.967757282478,18.98897027225121,7.526010338531545e-5
secsse_1_full_try1,secsse_1_full,1,-2134.7168620971966,4303.433724194393,48.45493718416674,3.006847440354635e-11
secsse_1_fixed_try2,secsse_1_fixed,2,-2180.131121066453,4378.262242132906,123.2834551226797,1.6955288304426603e-27
