Options:
Model:                           MultiState
Tree File Name:                  _tree_caudata_bt.nex
Data File Name:                  _dat_caudata.txt
Log File Name:                   caudata_rjhp_cov_r1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            255762996
Precision:                       64 bits
Cores:                           20
Analysis Type:                   MCMC
Sample Period:                   2500
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   caudata_rjhp_cov_r1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,P,S,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAP                          RJ MCMC
    qAS                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDP                          RJ MCMC
    qDS                          RJ MCMC
    qDV                          RJ MCMC
    qPA                          RJ MCMC
    qPD                          RJ MCMC
    qPS                          RJ MCMC
    qPV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qSP                          RJ MCMC
    qSV                          RJ MCMC
    qVA                          RJ MCMC
    qVD                          RJ MCMC
    qVP                          RJ MCMC
    qVS                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       546
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAP	qAS	qAV	qDA	qDP	qDS	qDV	qPA	qPD	qPS	qPV	qSA	qSD	qSP	qSV	qVA	qVD	qVP	qVS	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(P)	Root P(S)	Root P(V)	RJRates - Mean	
12500	-113.012927	1	1	11	'Z 0 0 Z 0 Z 0 Z Z Z Z 0 0 0 Z Z Z 0 0 Z 	0.000000	5.094352	5.094352	0.000000	5.094352	0.000000	5.094352	0.000000	0.000000	0.000000	0.000000	5.094352	5.094352	5.094352	0.000000	0.000000	0.000000	5.094352	5.094352	0.000000	8.801382	8.801382	0.967714	0.016199	0.000073	0.015080	0.000934	56.899605	
15000	-116.221587	1	1	11	'Z 0 0 Z Z Z 0 Z Z Z Z 0 0 0 Z 0 Z 0 0 Z 	0.000000	5.040454	5.040454	0.000000	0.000000	0.000000	5.040454	0.000000	0.000000	0.000000	0.000000	5.040454	5.040454	5.040454	0.000000	5.040454	0.000000	5.040454	5.040454	0.000000	18.052082	18.052082	0.992664	0.000040	0.000000	0.007295	0.000001	46.494394	
17500	-114.320392	1	1	13	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 Z Z 0 Z Z Z 0 	0.000000	9.685932	9.685932	0.000000	9.685932	0.000000	9.685932	0.000000	0.000000	0.000000	0.000000	0.000000	9.685932	0.000000	0.000000	9.685932	0.000000	0.000000	0.000000	9.685932	5.591221	5.591221	0.000009	0.999991	0.000000	0.000000	0.000000	30.503965	
20000	-116.673650	1	1	9	'Z 0 0 Z 0 0 0 Z Z Z 0 Z 0 0 Z 0 Z Z 0 0 	0.000000	3.997872	3.997872	0.000000	3.997872	3.997872	3.997872	0.000000	0.000000	0.000000	3.997872	0.000000	3.997872	3.997872	0.000000	3.997872	0.000000	0.000000	3.997872	3.997872	10.172221	10.172221	0.833527	0.136094	0.005243	0.024213	0.000922	20.306030	
22500	-113.787845	1	1	11	'Z 0 0 Z 0 0 0 Z Z Z Z Z 0 0 Z 0 Z 0 Z Z 	0.000000	8.934130	8.934130	0.000000	8.934130	8.934130	8.934130	0.000000	0.000000	0.000000	0.000000	0.000000	8.934130	8.934130	0.000000	8.934130	0.000000	8.934130	0.000000	0.000000	2.394079	2.394079	0.615655	0.222231	0.000000	0.138118	0.023996	4.173650	
25000	-115.940146	1	1	8	'Z 0 0 Z 0 0 0 0 0 0 Z 0 0 0 Z 0 Z Z Z Z 	0.000000	4.688325	4.688325	0.000000	4.688325	4.688325	4.688325	4.688325	4.688325	4.688325	0.000000	4.688325	4.688325	4.688325	0.000000	4.688325	0.000000	0.000000	0.000000	0.000000	3.814778	3.814778	0.471146	0.049098	0.467130	0.012626	0.000000	15.810866	
27500	-115.378057	1	1	12	'Z 0 0 Z 0 0 0 Z Z Z Z Z 0 Z Z Z 0 0 Z Z 	0.000000	5.712238	5.712238	0.000000	5.712238	5.712238	5.712238	0.000000	0.000000	0.000000	0.000000	0.000000	5.712238	0.000000	0.000000	0.000000	5.712238	5.712238	0.000000	0.000000	1.329081	1.329081	0.000000	0.000001	0.000000	0.000000	0.999999	3.315281	
30000	-116.030139	1	1	11	'Z 0 0 0 0 Z 0 Z 0 Z Z Z 0 0 Z Z Z 0 Z Z 	0.000000	4.580427	4.580427	4.580427	4.580427	0.000000	4.580427	0.000000	4.580427	0.000000	0.000000	0.000000	4.580427	4.580427	0.000000	0.000000	0.000000	4.580427	0.000000	0.000000	10.564164	10.564164	0.631459	0.005444	0.357859	0.005212	0.000026	15.040531	
32500	-112.693949	1	1	11	'Z 0 0 Z 0 Z 0 Z 0 0 Z 0 0 0 Z Z Z Z Z Z 	0.000000	5.302867	5.302867	0.000000	5.302867	0.000000	5.302867	0.000000	5.302867	5.302867	0.000000	5.302867	5.302867	5.302867	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.516061	8.516061	0.504057	0.009009	0.478040	0.008893	0.000000	16.055599	
35000	-112.623608	1	1	12	'Z 0 0 Z 0 0 0 Z Z Z Z Z Z 0 0 0 Z Z Z Z 	0.000000	7.055005	7.055005	0.000000	7.055005	7.055005	7.055005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.055005	7.055005	7.055005	0.000000	0.000000	0.000000	0.000000	4.349201	4.349201	0.872971	0.121031	0.000000	0.005998	0.000000	3.121347	
