Options:
Model:                           MultiState
Tree File Name:                  _tree_caudata_bt.nex
Data File Name:                  _dat_caudata.txt
Log File Name:                   caudata_rjhp_cov_r2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            842965589
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   2500
Iterations:                      30010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   caudata_rjhp_cov_r2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,P,S,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAP                          RJ MCMC
    qAS                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDP                          RJ MCMC
    qDS                          RJ MCMC
    qDV                          RJ MCMC
    qPA                          RJ MCMC
    qPD                          RJ MCMC
    qPS                          RJ MCMC
    qPV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qSP                          RJ MCMC
    qSV                          RJ MCMC
    qVA                          RJ MCMC
    qVD                          RJ MCMC
    qVP                          RJ MCMC
    qVS                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       546
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAP	qAS	qAV	qDA	qDP	qDS	qDV	qPA	qPD	qPS	qPV	qSA	qSD	qSP	qSV	qVA	qVD	qVP	qVS	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(P)	Root P(S)	Root P(V)	RJRates - Mean	
12500	-114.379174	1	1	10	'Z 0 0 Z Z Z 0 Z 0 0 Z Z 0 0 Z 0 0 0 Z Z 	0.000000	5.194890	5.194890	0.000000	0.000000	0.000000	5.194890	0.000000	5.194890	5.194890	0.000000	0.000000	5.194890	5.194890	0.000000	5.194890	5.194890	5.194890	0.000000	0.000000	8.539671	8.539671	0.500405	0.000038	0.487635	0.005954	0.005968	58.238725	
15000	-113.447287	1	1	9	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 0 0 0 0 Z 0 	0.000000	4.275487	4.275487	0.000000	4.275487	0.000000	4.275487	0.000000	0.000000	0.000000	0.000000	0.000000	4.275487	4.275487	4.275487	4.275487	4.275487	4.275487	0.000000	4.275487	5.516120	5.516120	0.894974	0.029608	0.000000	0.048936	0.026482	77.298856	
17500	-115.976419	1	1	9	'Z 0 0 Z 0 Z Z Z Z Z Z Z 0 0 0 0 0 0 0 0 	0.000000	4.465465	4.465465	0.000000	4.465465	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.465465	4.465465	4.465465	4.465465	4.465465	4.465465	4.465465	4.465465	9.053760	9.053760	0.917937	0.010733	0.000000	0.035362	0.035968	94.478192	
20000	-114.432783	1	1	9	'Z 0 0 Z 0 Z 0 0 Z 0 Z Z 0 0 Z 0 Z Z 0 0 	0.000000	5.028176	5.028176	0.000000	5.028176	0.000000	5.028176	5.028176	0.000000	5.028176	0.000000	0.000000	5.028176	5.028176	0.000000	5.028176	0.000000	0.000000	5.028176	5.028176	6.691281	6.691281	0.944998	0.022732	0.008930	0.021870	0.001471	98.594491	
22500	-113.512542	1	1	12	'Z 0 0 Z 0 0 0 Z Z 0 Z Z Z Z Z 0 Z Z Z 0 	0.000000	6.700693	6.700693	0.000000	6.700693	6.700693	6.700693	0.000000	0.000000	6.700693	0.000000	0.000000	0.000000	0.000000	0.000000	6.700693	0.000000	0.000000	0.000000	6.700693	3.814298	3.814298	0.872761	0.091037	0.036202	0.000000	0.000000	92.806034	
25000	-116.387137	1	1	10	'Z 0 0 Z 0 Z Z Z 0 Z Z Z 0 0 0 0 Z Z 0 0 	0.000000	8.031382	8.031382	0.000000	8.031382	0.000000	0.000000	0.000000	8.031382	0.000000	0.000000	0.000000	8.031382	8.031382	8.031382	8.031382	0.000000	0.000000	8.031382	8.031382	9.572152	9.572152	0.655357	0.026842	0.234732	0.061939	0.021130	93.652942	
27500	-112.917183	1	1	13	'Z 0 0 Z 0 Z Z Z Z Z Z Z 0 0 Z 0 Z Z 0 Z 	0.000000	7.959880	7.959880	0.000000	7.959880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.959880	7.959880	0.000000	7.959880	0.000000	0.000000	7.959880	0.000000	5.989606	5.989606	0.903849	0.053713	0.000000	0.042438	0.000000	93.829645	
30000	-117.311158	1	1	9	'Z 0 0 Z Z Z 0 Z 0 Z Z 0 0 0 0 0 Z Z 0 0 	0.000000	6.563140	6.563140	0.000000	0.000000	0.000000	6.563140	0.000000	6.563140	0.000000	0.000000	6.563140	6.563140	6.563140	6.563140	6.563140	0.000000	0.000000	6.563140	6.563140	12.270771	12.270771	0.774490	0.000629	0.180552	0.035417	0.008911	96.639645	
32500	-117.385619	1	1	9	'Z 0 0 Z Z Z 0 Z 0 Z 0 0 0 0 0 0 Z Z Z 0 	0.000000	4.269129	4.269129	0.000000	0.000000	0.000000	4.269129	0.000000	4.269129	0.000000	4.269129	4.269129	4.269129	4.269129	4.269129	4.269129	0.000000	0.000000	0.000000	4.269129	10.015914	10.015914	0.700467	0.000148	0.277564	0.021672	0.000148	94.980975	
35000	-118.853833	1	1	10	'0 0 0 Z 0 Z 0 0 0 Z Z Z Z 0 Z 0 Z 0 Z Z 	5.627565	5.627565	5.627565	0.000000	5.627565	0.000000	5.627565	5.627565	5.627565	0.000000	0.000000	0.000000	0.000000	5.627565	0.000000	5.627565	0.000000	5.627565	0.000000	0.000000	4.068470	4.068470	0.479412	0.004891	0.515603	0.000047	0.000047	43.341729	
37500	-115.011792	1	1	13	'0 0 0 Z 0 Z 0 0 Z Z Z Z Z Z 0 Z Z Z Z Z 	5.054626	5.054626	5.054626	0.000000	5.054626	0.000000	5.054626	5.054626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.054626	0.000000	0.000000	0.000000	0.000000	0.000000	5.820292	5.820292	0.989909	0.010091	0.000000	0.000000	0.000000	3.230863	
40000	-119.691437	1	1	8	'Z 0 0 Z 0 0 0 0 0 Z Z Z 0 0 Z 0 0 Z Z 0 	0.000000	14.520725	14.520725	0.000000	14.520725	14.520725	14.520725	14.520725	14.520725	0.000000	0.000000	0.000000	14.520725	14.520725	0.000000	14.520725	14.520725	0.000000	0.000000	14.520725	2.642439	2.642439	0.324597	0.160001	0.265283	0.133560	0.116559	21.519539	
42500	-116.333325	1	1	8	'Z 0 0 Z 0 0 0 Z Z Z 0 Z 0 0 0 0 0 0 Z Z 	0.000000	8.276661	8.276661	0.000000	8.276661	8.276661	8.276661	0.000000	0.000000	0.000000	8.276661	0.000000	8.276661	8.276661	8.276661	8.276661	8.276661	8.276661	0.000000	0.000000	5.014490	5.014490	0.625315	0.131862	0.028002	0.108743	0.106077	4.782072	
45000	-114.830749	1	1	10	'Z 0 0 Z 0 Z 0 0 Z Z Z Z 0 0 0 0 Z Z 0 Z 	0.000000	6.552471	6.552471	0.000000	6.552471	0.000000	6.552471	6.552471	0.000000	0.000000	0.000000	0.000000	6.552471	6.552471	6.552471	6.552471	0.000000	0.000000	6.552471	0.000000	9.444194	9.444194	0.926745	0.037039	0.000000	0.036216	0.000000	35.241207	
47500	-113.610653	1	1	12	'Z 0 0 Z Z Z 0 Z Z Z Z Z 0 0 0 0 Z Z 0 Z 	0.000000	4.710528	4.710528	0.000000	0.000000	0.000000	4.710528	0.000000	0.000000	0.000000	0.000000	0.000000	4.710528	4.710528	4.710528	4.710528	0.000000	0.000000	4.710528	0.000000	6.113076	6.113076	0.973047	0.000328	0.000000	0.026625	0.000000	63.024470	
50000	-112.774738	1	1	11	'Z 0 0 Z 0 Z 0 Z 0 Z Z Z 0 0 0 0 Z Z Z Z 	0.000000	9.616659	9.616659	0.000000	9.616659	0.000000	9.616659	0.000000	9.616659	0.000000	0.000000	0.000000	9.616659	9.616659	9.616659	9.616659	0.000000	0.000000	0.000000	0.000000	5.543492	5.543492	0.584793	0.080298	0.266295	0.068614	0.000000	58.870892	
52500	-116.411682	1	1	11	'Z 0 0 Z Z 0 0 Z Z Z Z Z 0 0 Z 0 Z 0 Z 0 	0.000000	6.103909	6.103909	0.000000	0.000000	6.103909	6.103909	0.000000	0.000000	0.000000	0.000000	0.000000	6.103909	6.103909	0.000000	6.103909	0.000000	6.103909	0.000000	6.103909	9.578247	9.578247	0.980661	0.001238	0.000000	0.017568	0.000533	94.417694	
55000	-111.321293	1	1	13	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	8.428736	8.428736	0.000000	8.428736	0.000000	8.428736	0.000000	0.000000	0.000000	0.000000	0.000000	8.428736	8.428736	0.000000	8.428736	0.000000	0.000000	0.000000	0.000000	9.491068	9.491068	0.949077	0.032345	0.000000	0.018577	0.000000	88.103049	
57500	-116.514199	1	1	12	'Z 0 0 Z 0 Z Z Z Z Z 0 Z 0 0 Z 0 Z Z 0 Z 	0.000000	6.340744	6.340744	0.000000	6.340744	0.000000	0.000000	0.000000	0.000000	0.000000	6.340744	0.000000	6.340744	6.340744	0.000000	6.340744	0.000000	0.000000	6.340744	0.000000	14.301042	14.301042	0.959186	0.016893	0.005861	0.017948	0.000111	54.219980	
60000	-113.900050	1	1	10	'Z 0 0 Z 0 Z 0 Z Z Z Z Z Z 0 0 0 0 Z 0 0 	0.000000	9.451932	9.451932	0.000000	9.451932	0.000000	9.451932	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.451932	9.451932	9.451932	9.451932	0.000000	9.451932	9.451932	5.400448	5.400448	0.895053	0.055796	0.000000	0.012142	0.037009	60.637617	
62500	-110.152671	1	1	13	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	7.059226	7.059226	0.000000	7.059226	0.000000	7.059226	0.000000	0.000000	0.000000	0.000000	0.000000	7.059226	7.059226	0.000000	7.059226	0.000000	0.000000	0.000000	0.000000	3.959347	3.959347	0.897660	0.067891	0.000000	0.034449	0.000000	20.699980	
65000	-113.101997	1	1	11	'Z 0 0 Z 0 Z 0 Z 0 Z 0 Z 0 0 Z 0 Z Z Z Z 	0.000000	5.940098	5.940098	0.000000	5.940098	0.000000	5.940098	0.000000	5.940098	0.000000	5.940098	0.000000	5.940098	5.940098	0.000000	5.940098	0.000000	0.000000	0.000000	0.000000	6.335025	6.335025	0.495363	0.014316	0.480985	0.009336	0.000000	46.918801	
67500	-114.368646	1	1	13	'Z 0 0 Z Z Z 0 Z Z Z Z Z 0 0 Z 0 0 Z Z Z 	0.000000	11.435506	11.435506	0.000000	0.000000	0.000000	11.435506	0.000000	0.000000	0.000000	0.000000	0.000000	11.435506	11.435506	0.000000	11.435506	11.435506	0.000000	0.000000	0.000000	11.126680	11.126680	0.939607	0.000975	0.000000	0.022815	0.036603	69.476218	
70000	-121.564057	1	1	8	'0 0 0 Z 0 0 0 Z 0 Z Z Z Z 0 0 0 Z 0 Z 0 	3.892853	3.892853	3.892853	0.000000	3.892853	3.892853	3.892853	0.000000	3.892853	0.000000	0.000000	0.000000	0.000000	3.892853	3.892853	3.892853	0.000000	3.892853	0.000000	3.892853	13.514981	13.514981	0.750491	0.030591	0.215821	0.002822	0.000275	33.731222	
72500	-114.847848	1	1	11	'0 0 0 Z 0 0 0 0 Z Z Z Z 0 Z Z Z Z Z Z 0 	6.450833	6.450833	6.450833	0.000000	6.450833	6.450833	6.450833	6.450833	0.000000	0.000000	0.000000	0.000000	6.450833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.450833	3.885723	3.885723	0.941255	0.033252	0.000000	0.025126	0.000367	71.816584	
75000	-115.096690	1	1	12	'Z 0 0 Z 0 0 0 0 Z Z Z Z Z 0 Z Z Z 0 Z Z 	0.000000	8.835267	8.835267	0.000000	8.835267	8.835267	8.835267	8.835267	0.000000	0.000000	0.000000	0.000000	0.000000	8.835267	0.000000	0.000000	0.000000	8.835267	0.000000	0.000000	3.519498	3.519498	0.955320	0.037721	0.000000	0.003476	0.003483	75.341943	
77500	-114.812064	1	1	12	'0 0 0 Z 0 Z 0 0 Z Z Z Z 0 Z Z Z Z Z 0 Z 	4.449489	4.449489	4.449489	0.000000	4.449489	0.000000	4.449489	4.449489	0.000000	0.000000	0.000000	0.000000	4.449489	0.000000	0.000000	0.000000	0.000000	0.000000	4.449489	0.000000	5.910772	5.910772	0.973420	0.015077	0.000000	0.011503	0.000000	89.006434	
80000	-115.915475	1	1	11	'0 0 0 Z 0 Z 0 0 Z Z Z Z 0 Z 0 Z Z Z Z 0 	3.969082	3.969082	3.969082	0.000000	3.969082	0.000000	3.969082	3.969082	0.000000	0.000000	0.000000	0.000000	3.969082	0.000000	3.969082	0.000000	0.000000	0.000000	0.000000	3.969082	6.870236	6.870236	0.957139	0.011588	0.000000	0.031056	0.000218	90.411813	
82500	-115.621462	1	1	11	'Z 0 0 Z 0 Z 0 0 0 Z Z Z 0 0 Z Z Z 0 Z Z 	0.000000	11.875179	11.875179	0.000000	11.875179	0.000000	11.875179	11.875179	11.875179	0.000000	0.000000	0.000000	11.875179	11.875179	0.000000	0.000000	0.000000	11.875179	0.000000	0.000000	3.505640	3.505640	0.461915	0.045365	0.418890	0.070279	0.003550	70.406596	
85000	-115.066430	1	1	9	'Z 0 0 Z 0 0 0 0 Z Z Z Z 0 0 0 Z 0 Z Z 0 	0.000000	6.954632	6.954632	0.000000	6.954632	6.954632	6.954632	6.954632	0.000000	0.000000	0.000000	0.000000	6.954632	6.954632	6.954632	0.000000	6.954632	0.000000	0.000000	6.954632	4.787628	4.787628	0.537713	0.205280	0.000000	0.138878	0.118130	10.730483	
87500	-112.924860	1	1	9	'Z 0 0 Z 0 0 0 Z 0 0 Z Z 0 Z Z 0 0 Z Z 0 	0.000000	5.168563	5.168563	0.000000	5.168563	5.168563	5.168563	0.000000	5.168563	5.168563	0.000000	0.000000	5.168563	0.000000	0.000000	5.168563	5.168563	0.000000	0.000000	5.168563	3.881623	3.881623	0.308104	0.085123	0.591217	0.007750	0.007806	5.196955	
90000	-115.701081	1	1	11	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 0 0 0 Z Z Z 	0.000000	7.205529	7.205529	0.000000	7.205529	0.000000	7.205529	0.000000	0.000000	0.000000	0.000000	0.000000	7.205529	7.205529	7.205529	7.205529	7.205529	0.000000	0.000000	0.000000	15.389060	15.389060	0.904547	0.037184	0.000000	0.040228	0.018040	7.578488	
92500	-113.846661	1	1	11	'Z 0 0 Z Z Z 0 Z Z Z Z Z 0 0 0 0 0 Z 0 Z 	0.000000	7.318227	7.318227	0.000000	0.000000	0.000000	7.318227	0.000000	0.000000	0.000000	0.000000	0.000000	7.318227	7.318227	7.318227	7.318227	7.318227	0.000000	7.318227	0.000000	5.881174	5.881174	0.900540	0.001475	0.000000	0.040690	0.057295	4.340388	
95000	-114.196391	1	1	10	'Z 0 0 Z 0 Z 0 Z Z Z Z Z Z 0 0 0 0 Z 0 0 	0.000000	8.048799	8.048799	0.000000	8.048799	0.000000	8.048799	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.048799	8.048799	8.048799	8.048799	0.000000	8.048799	8.048799	3.719765	3.719765	0.830482	0.091706	0.000000	0.019546	0.058265	11.688887	
97500	-117.405025	1	1	10	'Z 0 0 Z Z Z 0 Z 0 0 Z 0 0 0 Z Z Z Z 0 0 	0.000000	8.135402	8.135402	0.000000	0.000000	0.000000	8.135402	0.000000	8.135402	8.135402	0.000000	8.135402	8.135402	8.135402	0.000000	0.000000	0.000000	0.000000	8.135402	8.135402	4.735707	4.735707	0.498336	0.000391	0.463005	0.016995	0.021273	8.223530	
100000	-115.035700	1	1	12	'Z 0 Z Z 0 Z 0 Z 0 0 0 0 0 Z Z Z Z Z Z Z 	0.000000	13.952707	0.000000	0.000000	13.952707	0.000000	13.952707	0.000000	13.952707	13.952707	13.952707	13.952707	13.952707	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.187558	5.187558	0.163991	0.035504	0.767698	0.032807	0.000000	29.585542	
102500	-117.417204	1	1	13	'Z 0 0 Z 0 Z Z Z 0 0 Z 0 Z Z Z Z 0 Z Z Z 	0.000000	3.704049	3.704049	0.000000	3.704049	0.000000	0.000000	0.000000	3.704049	3.704049	0.000000	3.704049	0.000000	0.000000	0.000000	0.000000	3.704049	0.000000	0.000000	0.000000	5.768418	5.768418	0.369853	0.003718	0.622724	0.000000	0.003704	14.850256	
105000	-117.251088	1	1	8	'Z 0 0 Z 0 0 0 Z 0 0 0 0 0 Z Z 0 Z Z 0 Z 	0.000000	4.471967	4.471967	0.000000	4.471967	4.471967	4.471967	0.000000	4.471967	4.471967	4.471967	4.471967	4.471967	0.000000	0.000000	4.471967	0.000000	0.000000	4.471967	0.000000	2.511117	2.511117	0.406077	0.104083	0.467984	0.012329	0.009527	27.693231	
107500	-113.952434	1	1	10	'Z 0 0 Z 0 Z 0 Z Z Z Z 0 0 0 Z Z Z 0 0 0 	0.000000	7.009666	7.009666	0.000000	7.009666	0.000000	7.009666	0.000000	0.000000	0.000000	0.000000	7.009666	7.009666	7.009666	0.000000	0.000000	0.000000	7.009666	7.009666	7.009666	9.744343	9.744343	0.941148	0.027143	0.000881	0.025288	0.005540	15.406070	
110000	-114.670356	1	1	8	'Z 0 0 Z 0 Z 0 Z Z Z Z 0 0 0 Z 0 0 0 0 0 	0.000000	7.608848	7.608848	0.000000	7.608848	0.000000	7.608848	0.000000	0.000000	0.000000	0.000000	7.608848	7.608848	7.608848	0.000000	7.608848	7.608848	7.608848	7.608848	7.608848	8.427348	8.427348	0.835201	0.037947	0.020815	0.045069	0.060968	46.343771	
112500	-110.886979	1	1	13	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	12.467432	12.467432	0.000000	12.467432	0.000000	12.467432	0.000000	0.000000	0.000000	0.000000	0.000000	12.467432	12.467432	0.000000	12.467432	0.000000	0.000000	0.000000	0.000000	5.104528	5.104528	0.929704	0.046359	0.000000	0.023937	0.000000	59.124514	
115000	-114.095266	1	1	13	'Z 0 0 Z 0 Z Z Z Z Z Z Z 0 0 Z 0 Z Z 0 Z 	0.000000	11.846160	11.846160	0.000000	11.846160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.846160	11.846160	0.000000	11.846160	0.000000	0.000000	11.846160	0.000000	8.184229	8.184229	0.903497	0.057382	0.000000	0.039121	0.000000	66.746574	
117500	-118.973058	1	1	9	'Z 0 0 Z Z 0 0 0 0 0 Z Z 0 0 0 Z Z Z 0 Z 	0.000000	8.264049	8.264049	0.000000	0.000000	8.264049	8.264049	8.264049	8.264049	8.264049	0.000000	0.000000	8.264049	8.264049	8.264049	0.000000	0.000000	0.000000	8.264049	0.000000	5.285739	5.285739	0.531049	0.035651	0.312132	0.101556	0.019611	37.861686	
120000	-116.424460	1	1	9	'Z 0 0 Z 0 0 0 0 0 0 Z Z 0 Z Z 0 Z 0 Z Z 	0.000000	4.357690	4.357690	0.000000	4.357690	4.357690	4.357690	4.357690	4.357690	4.357690	0.000000	0.000000	4.357690	0.000000	0.000000	4.357690	0.000000	4.357690	0.000000	0.000000	11.853436	11.853436	0.377897	0.026409	0.592599	0.002912	0.000182	60.051606	
122500	-114.120551	1	1	10	'Z 0 0 Z 0 Z 0 Z 0 Z Z Z 0 0 0 0 0 Z Z Z 	0.000000	3.679463	3.679463	0.000000	3.679463	0.000000	3.679463	0.000000	3.679463	0.000000	0.000000	0.000000	3.679463	3.679463	3.679463	3.679463	3.679463	0.000000	0.000000	0.000000	4.935806	4.935806	0.689697	0.016114	0.241976	0.044814	0.007399	64.280635	
125000	-112.815580	1	1	11	'Z 0 0 Z 0 0 0 Z Z 0 Z Z 0 Z Z 0 Z 0 Z Z 	0.000000	5.887328	5.887328	0.000000	5.887328	5.887328	5.887328	0.000000	0.000000	5.887328	0.000000	0.000000	5.887328	0.000000	0.000000	5.887328	0.000000	5.887328	0.000000	0.000000	3.211997	3.211997	0.758538	0.160341	0.049731	0.026547	0.004844	70.545153	
127500	-110.778097	1	1	12	'Z 0 0 Z 0 0 0 Z Z Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	6.911883	6.911883	0.000000	6.911883	6.911883	6.911883	0.000000	0.000000	0.000000	0.000000	0.000000	6.911883	6.911883	0.000000	6.911883	0.000000	0.000000	0.000000	0.000000	4.465362	4.465362	0.720955	0.214204	0.000000	0.064841	0.000000	70.105669	
130000	-113.953845	1	1	10	'Z 0 0 Z 0 Z 0 Z 0 Z Z Z 0 0 Z 0 0 Z 0 Z 	0.000000	10.698309	10.698309	0.000000	10.698309	0.000000	10.698309	0.000000	10.698309	0.000000	0.000000	0.000000	10.698309	10.698309	0.000000	10.698309	10.698309	0.000000	10.698309	0.000000	4.845123	4.845123	0.431392	0.080122	0.262536	0.091460	0.134490	32.513528	
132500	-109.321252	1	2	7	'Z 1 1 0 Z 0 0 Z Z Z 0 Z 1 1 0 1 1 0 Z 0 	0.000000	8.520792	8.520792	0.057630	0.000000	0.057630	0.057630	0.000000	0.000000	0.000000	0.057630	0.000000	8.520792	8.520792	0.057630	8.520792	8.520792	0.057630	0.000000	0.057630	6.995085	6.995085	0.949935	0.000000	0.000001	0.018351	0.031714	41.311247	
135000	-112.364590	1	1	13	'Z 0 0 Z Z Z 0 Z Z Z Z Z 0 0 Z 0 Z Z Z 0 	0.000000	7.820845	7.820845	0.000000	0.000000	0.000000	7.820845	0.000000	0.000000	0.000000	0.000000	0.000000	7.820845	7.820845	0.000000	7.820845	0.000000	0.000000	0.000000	7.820845	5.827428	5.827428	0.986230	0.000270	0.000000	0.013230	0.000270	8.855979	
137500	-114.113665	1	1	13	'Z 0 0 Z Z 0 0 Z Z Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	7.451324	7.451324	0.000000	0.000000	7.451324	7.451324	0.000000	0.000000	0.000000	0.000000	0.000000	7.451324	7.451324	0.000000	7.451324	0.000000	0.000000	0.000000	0.000000	7.827600	7.827600	0.978882	0.001955	0.000000	0.019163	0.000000	8.462705	
140000	-118.142377	1	1	11	'Z 0 0 Z 0 Z 0 Z Z Z Z Z Z 0 0 0 0 Z Z 0 	0.000000	5.379068	5.379068	0.000000	5.379068	0.000000	5.379068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.379068	5.379068	5.379068	5.379068	0.000000	0.000000	5.379068	0.994377	0.994377	0.838732	0.089437	0.000000	0.013680	0.058152	14.705016	
142500	-113.241060	1	1	11	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 Z 0 Z Z 0 0 	0.000000	8.202672	8.202672	0.000000	8.202672	0.000000	8.202672	0.000000	0.000000	0.000000	0.000000	0.000000	8.202672	8.202672	0.000000	8.202672	0.000000	0.000000	8.202672	8.202672	10.229172	10.229172	0.927785	0.038013	0.000000	0.031861	0.002340	39.741429	
145000	-114.792492	1	1	9	'Z 0 0 0 0 Z 0 Z Z Z Z Z 0 0 Z Z 0 0 0 0 	0.000000	3.667838	3.667838	3.667838	3.667838	0.000000	3.667838	0.000000	0.000000	0.000000	0.000000	0.000000	3.667838	3.667838	0.000000	0.000000	3.667838	3.667838	3.667838	3.667838	8.606215	8.606215	0.964626	0.006447	0.000000	0.006268	0.022658	29.721425	
147500	-113.878158	1	1	13	'Z 0 0 0 0 Z 0 Z Z Z Z Z 0 Z Z Z Z 0 Z Z 	0.000000	7.940790	7.940790	7.940790	7.940790	0.000000	7.940790	0.000000	0.000000	0.000000	0.000000	0.000000	7.940790	0.000000	0.000000	0.000000	0.000000	7.940790	0.000000	0.000000	6.253432	6.253432	0.961929	0.021777	0.000000	0.015665	0.000629	10.200944	
