Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
269	0.338290	128	0.515625	33	0.060606	70	1.000000	2.759789	397	0.395466	0.458000	0.458603	
581	0.423408	220	0.404545	88	0.125000	111	1.000000	2.759789	801	0.418227	0.457000	0.452770	
296	0.222973	121	0.305785	25	0.360000	58	1.000000	4.682182	417	0.247002	0.340000	0.437175	
569	0.217926	237	0.219409	75	0.160000	119	0.991597	4.682182	806	0.218362	0.306000	0.422879	
274	0.222628	104	0.317308	51	0.098039	71	1.000000	4.682182	378	0.248677	0.340000	0.411582	
526	0.195817	260	0.269231	102	0.117647	112	1.000000	4.682182	786	0.220102	0.297000	0.401024	
273	0.278388	111	0.342342	47	0.085106	69	1.000000	4.682182	384	0.296875	0.374000	0.394931	
563	0.213144	234	0.363248	99	0.171717	104	1.000000	4.682182	797	0.257215	0.326000	0.389654	
267	0.232210	114	0.307018	54	0.148148	65	1.000000	4.682182	381	0.254593	0.340000	0.384265	
553	0.188065	228	0.320175	93	0.247312	126	1.000000	4.682182	781	0.226633	0.326000	0.381018	
245	0.171429	132	0.287879	39	0.076923	84	0.809524	4.682182	377	0.212202	0.302000	0.378310	
566	0.254417	222	0.351351	74	0.216216	138	0.963768	3.633434	788	0.281726	0.371000	0.374941	
278	0.205036	119	0.369748	34	0.294118	69	0.884058	3.633434	397	0.254408	0.344000	0.372697	
570	0.250877	202	0.381188	100	0.020000	128	0.976562	3.633434	772	0.284974	0.347000	0.371370	
260	0.226923	130	0.292308	52	0.038462	58	0.965517	3.633434	390	0.248718	0.310000	0.370645	
564	0.336879	234	0.320513	84	0.083333	118	1.000000	3.633434	798	0.332080	0.390000	0.370853	
283	0.314488	104	0.211538	51	0.117647	62	0.967742	3.633434	387	0.286822	0.354000	0.371326	
565	0.238938	243	0.345679	84	0.166667	108	1.000000	3.633434	808	0.271040	0.341000	0.370884	
283	0.250883	89	0.393258	68	0.147059	60	1.000000	3.633434	372	0.284946	0.352000	0.370202	
576	0.302083	222	0.382883	79	0.088608	123	0.991870	3.633434	798	0.324561	0.388000	0.370994	
256	0.242188	117	0.410256	52	0.096154	75	1.000000	3.633434	373	0.294906	0.380000	0.371034	
557	0.269300	238	0.399160	93	0.107527	112	1.000000	3.633434	795	0.308176	0.367000	0.370933	
257	0.264591	107	0.373832	57	0.017544	79	0.987342	3.633434	364	0.296703	0.374000	0.371535	
590	0.257627	218	0.334862	70	0.114286	122	0.991803	3.633434	808	0.278465	0.354000	0.371695	
300	0.266667	90	0.222222	39	0.076923	71	0.985915	3.633434	390	0.256410	0.346000	0.370629	
563	0.307282	237	0.299578	58	0.034483	142	1.000000	3.633434	800	0.305000	0.388000	0.370542	
301	0.252492	122	0.368852	37	0.027027	40	1.000000	3.633434	423	0.286052	0.324000	0.370602	
526	0.300380	231	0.346320	102	0.176471	141	1.000000	3.633434	757	0.314399	0.397000	0.370745	
279	0.311828	113	0.362832	42	0.261905	66	1.000000	3.633434	392	0.326531	0.410000	0.370856	
589	0.293718	207	0.342995	89	0.157303	115	0.956522	3.633434	796	0.306533	0.368000	0.370631	
274	0.259124	116	0.353448	47	0.319149	63	1.000000	3.633434	390	0.287179	0.380000	0.370167	
541	0.232902	217	0.382488	100	0.170000	142	0.978873	3.633434	758	0.275726	0.365000	0.369451	
285	0.245614	112	0.383929	47	0.148936	56	0.964286	3.633434	397	0.284635	0.348000	0.369131	
571	0.246935	227	0.418502	83	0.060241	119	0.882353	3.633434	798	0.295739	0.346000	0.368596	
302	0.188742	107	0.457944	31	0.129032	60	0.916667	3.633434	409	0.259169	0.330000	0.368386	
565	0.238938	234	0.384615	70	0.142857	131	0.992366	3.633434	799	0.281602	0.365000	0.368076	
285	0.294737	131	0.335878	33	0.090909	51	0.980392	3.633434	416	0.307692	0.362000	0.368192	
529	0.238185	247	0.315789	90	0.188889	134	0.977612	3.633434	776	0.262887	0.352000	0.367939	
294	0.272109	107	0.355140	35	0.200000	64	0.953125	3.633434	401	0.294264	0.372000	0.368118	
547	0.272395	268	0.309701	46	0.043478	139	1.000000	3.633434	815	0.284663	0.373000	0.368488	
284	0.313380	88	0.295455	40	0.225000	88	0.988636	3.633434	372	0.309140	0.422000	0.368832	
571	0.267951	253	0.312253	75	0.026667	101	1.000000	3.633434	824	0.281553	0.335000	0.368832	
303	0.283828	113	0.283186	33	0.000000	51	0.980392	3.633434	416	0.283654	0.336000	0.368627	
601	0.222962	207	0.280193	90	0.077778	102	1.000000	3.633434	808	0.237624	0.301000	0.367922	
260	0.276923	136	0.345588	42	0.142857	62	1.000000	3.633434	396	0.300505	0.374000	0.367515	
558	0.232975	241	0.381743	52	0.076923	149	0.993289	3.633434	799	0.277847	0.374000	0.367597	
243	0.320988	130	0.315385	49	0.122449	78	1.000000	3.633434	373	0.319035	0.406000	0.368083	
553	0.254973	231	0.346320	84	0.119048	132	0.984848	3.633434	784	0.281888	0.361000	0.367982	
287	0.219512	126	0.380952	23	0.347826	64	0.984375	3.633434	413	0.268765	0.364000	0.368110	
573	0.244328	237	0.375527	86	0.255814	104	1.000000	3.633434	810	0.282716	0.355000	0.367479	
240	0.245833	125	0.432000	56	0.196429	79	0.987342	3.633434	365	0.309589	0.404000	0.367743	
620	0.261290	193	0.321244	66	0.196970	121	0.991736	3.633434	813	0.275523	0.357000	0.367797	
276	0.300725	126	0.325397	37	0.189189	61	1.000000	3.633434	402	0.308458	0.384000	0.367955	
583	0.315609	200	0.280000	96	0.125000	121	1.000000	3.633434	783	0.306513	0.373000	0.368053	
272	0.338235	132	0.340909	35	0.057143	61	1.000000	3.633434	404	0.339109	0.400000	0.368255	
583	0.234991	232	0.327586	61	0.196721	124	0.991935	3.633434	815	0.261350	0.348000	0.368304	
278	0.154676	110	0.272727	57	0.087719	55	0.981818	3.633434	388	0.188144	0.264000	0.367407	
556	0.120504	226	0.429204	87	0.149425	131	0.961832	3.633434	782	0.209719	0.303000	0.366301	
277	0.158845	122	0.524590	44	0.181818	57	0.912281	3.633434	399	0.270677	0.336000	0.365299	
550	0.198182	258	0.364341	67	0.164179	125	0.952000	3.633434	808	0.251238	0.333000	0.364466	
294	0.153061	88	0.386364	50	0.120000	68	0.955882	3.633434	382	0.206806	0.300000	0.363844	
573	0.211169	212	0.391509	109	0.055046	106	0.990566	3.483102	785	0.259873	0.315000	0.362913	
261	0.141762	125	0.448000	60	0.083333	54	0.962963	3.483102	386	0.240933	0.300000	0.362219	
537	0.225326	248	0.415323	79	0.151899	136	0.970588	3.483102	785	0.285350	0.368000	0.361986	
297	0.279461	107	0.345794	37	0.135135	59	0.983051	3.483102	404	0.297030	0.366000	0.361934	
