Options:
Model:                           MultiState
Tree File Name:                  _tree_caudata_bt.nex
Data File Name:                  _dat_caudata.txt
Log File Name:                   caudata_rjhp_cov_r3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2822677083
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   2500
Iterations:                      30010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   caudata_rjhp_cov_r3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,P,S,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAP                          RJ MCMC
    qAS                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDP                          RJ MCMC
    qDS                          RJ MCMC
    qDV                          RJ MCMC
    qPA                          RJ MCMC
    qPD                          RJ MCMC
    qPS                          RJ MCMC
    qPV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qSP                          RJ MCMC
    qSV                          RJ MCMC
    qVA                          RJ MCMC
    qVD                          RJ MCMC
    qVP                          RJ MCMC
    qVS                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       546
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAP	qAS	qAV	qDA	qDP	qDS	qDV	qPA	qPD	qPS	qPV	qSA	qSD	qSP	qSV	qVA	qVD	qVP	qVS	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(P)	Root P(S)	Root P(V)	RJRates - Mean	
40000	-115.593820	1	2	6	'0 1 1 0 0 Z 0 0 1 Z Z Z 1 1 Z 1 0 0 Z 0 	0.958727	4.123154	4.123154	0.958727	0.958727	0.000000	0.958727	0.958727	4.123154	0.000000	0.000000	0.000000	4.123154	4.123154	0.000000	4.123154	0.958727	0.958727	0.000000	0.958727	1.873628	1.873628	0.515041	0.000372	0.477679	0.006535	0.000372	9.833760	
42500	-115.881944	1	2	5	'Z 0 0 1 0 1 1 1 0 1 1 1 1 Z 1 0 Z Z Z 1 	0.000000	4.084439	4.084439	0.088004	4.084439	0.088004	0.088004	0.088004	4.084439	0.088004	0.088004	0.088004	0.088004	0.000000	0.088004	4.084439	0.000000	0.000000	0.000000	0.088004	5.777348	5.777348	0.315307	0.007114	0.677573	0.000006	0.000000	3.177045	
45000	-107.620901	1	2	6	'Z 0 0 1 Z Z 1 1 1 Z 1 Z 0 0 1 Z 1 1 1 1 	0.000000	7.653639	7.653639	0.552416	0.000000	0.000000	0.552416	0.552416	0.552416	0.000000	0.552416	0.000000	7.653639	7.653639	0.552416	0.000000	0.552416	0.552416	0.552416	0.552416	6.622479	6.622479	0.979525	0.000002	0.002928	0.017398	0.000147	20.176853	
47500	-109.323092	1	2	5	'1 0 0 1 1 Z 1 Z 1 1 1 Z 0 0 1 1 1 Z 1 Z 	0.665798	6.506716	6.506716	0.665798	0.665798	0.000000	0.665798	0.000000	0.665798	0.665798	0.665798	0.000000	6.506716	6.506716	0.665798	0.665798	0.665798	0.000000	0.665798	0.000000	13.408449	13.408449	0.981712	0.000106	0.005957	0.012059	0.000165	32.629258	
50000	-110.336259	1	2	6	'1 0 0 1 1 Z 1 1 1 Z Z 0 0 0 1 1 Z Z Z 1 	0.200386	7.285609	7.285609	0.200386	0.200386	0.000000	0.200386	0.200386	0.200386	0.000000	0.000000	7.285609	7.285609	7.285609	0.200386	0.200386	0.000000	0.000000	0.000000	0.200386	3.727615	3.727615	0.973589	0.000015	0.000224	0.026171	0.000000	59.176004	
52500	-115.079097	1	2	8	'1 0 0 1 Z 1 1 1 1 1 1 Z 0 Z Z Z Z Z Z 1 	0.504547	11.529438	11.529438	0.504547	0.000000	0.504547	0.504547	0.504547	0.504547	0.504547	0.504547	0.000000	11.529438	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.504547	2.879984	2.879984	0.914486	0.000014	0.002461	0.083032	0.000007	68.149934	
55000	-111.497995	1	2	9	'Z 0 0 1 Z Z 1 Z 1 1 Z 1 0 1 Z Z Z 0 Z 1 	0.000000	10.144788	10.144788	0.793349	0.000000	0.000000	0.793349	0.000000	0.793349	0.793349	0.000000	0.793349	10.144788	0.793349	0.000000	0.000000	0.000000	10.144788	0.000000	0.793349	2.897978	2.897978	0.907377	0.000019	0.005313	0.087273	0.000019	97.451455	
57500	-113.720629	1	1	13	'Z 0 0 Z 0 Z Z Z Z Z Z Z 0 0 Z 0 Z Z 0 Z 	0.000000	5.850353	5.850353	0.000000	5.850353	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.850353	5.850353	0.000000	5.850353	0.000000	0.000000	5.850353	0.000000	4.001398	4.001398	0.908891	0.047395	0.000000	0.043714	0.000000	84.805177	
60000	-116.011438	1	1	11	'Z 0 0 Z 0 Z 0 0 0 Z Z Z 0 Z Z 0 Z 0 Z Z 	0.000000	9.445968	9.445968	0.000000	9.445968	0.000000	9.445968	9.445968	9.445968	0.000000	0.000000	0.000000	9.445968	0.000000	0.000000	9.445968	0.000000	9.445968	0.000000	0.000000	3.276715	3.276715	0.472536	0.046498	0.447175	0.030752	0.003039	80.798541	
62500	-118.505253	1	1	9	'Z 0 0 Z 0 Z Z Z 0 0 Z Z 0 0 0 0 Z Z 0 0 	0.000000	5.819515	5.819515	0.000000	5.819515	0.000000	0.000000	0.000000	5.819515	5.819515	0.000000	0.000000	5.819515	5.819515	5.819515	5.819515	0.000000	0.000000	5.819515	5.819515	20.241646	20.241646	0.527266	0.006410	0.422973	0.033221	0.010131	72.446871	
