Options:
Model:                           MultiState
Tree File Name:                  _tree_caudata_bt.nex
Data File Name:                  _dat_caudata.txt
Log File Name:                   caudata_rjhp_cov_r3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2822677083
Precision:                       64 bits
Cores:                           10
Analysis Type:                   MCMC
Sample Period:                   2500
Iterations:                      30010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   caudata_rjhp_cov_r3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               A,D,P,S,V
Using a covarion model:          True
Normalise Q Matrix:              False
Scale Tree:                      0.001000
Restrictions:
    qAD                          RJ MCMC
    qAP                          RJ MCMC
    qAS                          RJ MCMC
    qAV                          RJ MCMC
    qDA                          RJ MCMC
    qDP                          RJ MCMC
    qDS                          RJ MCMC
    qDV                          RJ MCMC
    qPA                          RJ MCMC
    qPD                          RJ MCMC
    qPS                          RJ MCMC
    qPV                          RJ MCMC
    qSA                          RJ MCMC
    qSD                          RJ MCMC
    qSP                          RJ MCMC
    qSV                          RJ MCMC
    qVA                          RJ MCMC
    qVD                          RJ MCMC
    qVP                          RJ MCMC
    qVS                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
        CVSwichRate - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       546
     Sites:                      1
     States:                     10
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	qAD	qAP	qAS	qAV	qDA	qDP	qDS	qDV	qPA	qPD	qPS	qPV	qSA	qSD	qSP	qSV	qVA	qVD	qVP	qVS	Covar On to Off	 Covar Off to On	Root P(A)	Root P(D)	Root P(P)	Root P(S)	Root P(V)	RJRates - Mean	
8380000	-114.475650	1	1	12	'Z 0 0 Z Z Z 0 Z Z Z Z Z 0 0 Z 0 Z Z 0 0 	0.000000	9.080509	9.080509	0.000000	0.000000	0.000000	9.080509	0.000000	0.000000	0.000000	0.000000	0.000000	9.080509	9.080509	0.000000	9.080509	0.000000	0.000000	9.080509	9.080509	12.237129	12.237129	0.980803	0.000500	0.000000	0.017393	0.001304	58.628989	
8382500	-114.374900	1	1	11	'Z 0 0 Z 0 Z 0 0 0 Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	7.626641	7.626641	0.000000	7.626641	0.000000	7.626641	7.626641	7.626641	0.000000	0.000000	0.000000	7.626641	7.626641	0.000000	7.626641	0.000000	0.000000	0.000000	0.000000	2.339364	2.339364	0.459411	0.022252	0.497012	0.021325	0.000000	41.016804	
8385000	-112.314646	1	1	11	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 Z 0 Z Z 0 0 	0.000000	5.683811	5.683811	0.000000	5.683811	0.000000	5.683811	0.000000	0.000000	0.000000	0.000000	0.000000	5.683811	5.683811	0.000000	5.683811	0.000000	0.000000	5.683811	5.683811	9.199423	9.199423	0.956515	0.022017	0.000000	0.020554	0.000914	44.256805	
8387500	-113.806569	1	1	10	'Z 0 0 Z 0 Z 0 0 Z 0 Z Z 0 Z Z 0 Z 0 Z 0 	0.000000	5.823176	5.823176	0.000000	5.823176	0.000000	5.823176	5.823176	0.000000	5.823176	0.000000	0.000000	5.823176	0.000000	0.000000	5.823176	0.000000	5.823176	0.000000	5.823176	6.827108	6.827108	0.953456	0.016807	0.012599	0.016480	0.000659	27.242943	
8390000	-119.532740	1	1	9	'Z 0 0 Z Z Z 0 Z 0 Z Z Z 0 0 Z 0 0 0 0 0 	0.000000	2.701519	2.701519	0.000000	0.000000	0.000000	2.701519	0.000000	2.701519	0.000000	0.000000	0.000000	2.701519	2.701519	0.000000	2.701519	2.701519	2.701519	2.701519	2.701519	15.468140	15.468140	0.725158	0.000003	0.258719	0.002284	0.013836	55.017448	
8392500	-119.104440	1	1	8	'Z 0 0 Z 0 Z Z 0 0 Z Z Z 0 0 0 0 0 0 Z 0 	0.000000	7.430352	7.430352	0.000000	7.430352	0.000000	0.000000	7.430352	7.430352	0.000000	0.000000	0.000000	7.430352	7.430352	7.430352	7.430352	7.430352	7.430352	0.000000	7.430352	2.815092	2.815092	0.453211	0.072276	0.257353	0.131269	0.085891	52.468580	
8395000	-114.832643	1	1	8	'Z 0 0 Z 0 Z 0 0 0 Z Z Z 0 0 Z 0 0 0 0 Z 	0.000000	8.338103	8.338103	0.000000	8.338103	0.000000	8.338103	8.338103	8.338103	0.000000	0.000000	0.000000	8.338103	8.338103	0.000000	8.338103	8.338103	8.338103	8.338103	0.000000	3.392861	3.392861	0.347034	0.122828	0.234069	0.112608	0.183461	75.793841	
8397500	-115.288620	1	1	10	'Z 0 0 Z 0 0 0 0 Z Z Z Z 0 Z Z 0 Z Z 0 0 	0.000000	5.919202	5.919202	0.000000	5.919202	5.919202	5.919202	5.919202	0.000000	0.000000	0.000000	0.000000	5.919202	0.000000	0.000000	5.919202	0.000000	0.000000	5.919202	5.919202	3.607140	3.607140	0.000002	0.999998	0.000000	0.000000	0.000000	83.435604	
8400000	-116.966518	1	1	8	'Z 0 0 Z 0 Z 0 0 0 Z Z Z 0 0 0 0 Z Z 0 0 	0.000000	6.534996	6.534996	0.000000	6.534996	0.000000	6.534996	6.534996	6.534996	0.000000	0.000000	0.000000	6.534996	6.534996	6.534996	6.534996	0.000000	0.000000	6.534996	6.534996	10.221779	10.221779	0.667475	0.037026	0.221902	0.059626	0.013972	97.882112	
8402500	-113.336825	1	1	12	'Z 0 0 Z 0 Z 0 Z 0 0 Z 0 Z Z Z Z Z Z 0 Z 	0.000000	5.687233	5.687233	0.000000	5.687233	0.000000	5.687233	0.000000	5.687233	5.687233	0.000000	5.687233	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.687233	0.000000	8.836636	8.836636	0.471314	0.006042	0.511815	0.000000	0.010830	79.764128	
8405000	-114.240974	1	1	12	'Z 0 0 Z 0 Z 0 Z 0 0 Z 0 Z Z Z Z Z Z 0 Z 	0.000000	7.473440	7.473440	0.000000	7.473440	0.000000	7.473440	0.000000	7.473440	7.473440	0.000000	7.473440	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.473440	0.000000	8.919605	8.919605	0.473978	0.008550	0.501186	0.000000	0.016286	83.486576	
8407500	-114.575715	1	1	10	'Z 0 0 Z 0 Z 0 Z 0 0 0 0 0 Z 0 Z Z Z Z Z 	0.000000	8.483985	8.483985	0.000000	8.483985	0.000000	8.483985	0.000000	8.483985	8.483985	8.483985	8.483985	8.483985	0.000000	8.483985	0.000000	0.000000	0.000000	0.000000	0.000000	5.019193	5.019193	0.377765	0.054678	0.470586	0.096971	0.000000	80.624207	
8410000	-113.785525	1	1	12	'Z 0 0 Z 0 Z 0 Z 0 0 Z 0 0 Z Z Z Z Z Z Z 	0.000000	5.954641	5.954641	0.000000	5.954641	0.000000	5.954641	0.000000	5.954641	5.954641	0.000000	5.954641	5.954641	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.063184	13.063184	0.517654	0.008851	0.464863	0.008632	0.000000	84.014633	
8412500	-116.380526	1	1	7	'Z 0 0 Z 0 0 0 0 Z Z Z 0 0 0 Z 0 0 0 Z 0 	0.000000	5.318813	5.318813	0.000000	5.318813	5.318813	5.318813	5.318813	0.000000	0.000000	0.000000	5.318813	5.318813	5.318813	0.000000	5.318813	5.318813	5.318813	0.000000	5.318813	6.496520	6.496520	0.759559	0.122510	0.016651	0.050271	0.051009	85.616671	
8415000	-113.148812	1	1	13	'Z 0 0 Z Z Z 0 Z 0 Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	6.507788	6.507788	0.000000	0.000000	0.000000	6.507788	0.000000	6.507788	0.000000	0.000000	0.000000	6.507788	6.507788	0.000000	6.507788	0.000000	0.000000	0.000000	0.000000	10.964594	10.964594	0.641272	0.000057	0.352959	0.005713	0.000000	81.526643	
8417500	-116.817663	1	1	12	'Z 0 0 0 0 Z 0 Z Z Z Z Z 0 0 Z Z Z Z Z 0 	0.000000	6.036180	6.036180	6.036180	6.036180	0.000000	6.036180	0.000000	0.000000	0.000000	0.000000	0.000000	6.036180	6.036180	0.000000	0.000000	0.000000	0.000000	0.000000	6.036180	12.445421	12.445421	0.974652	0.013159	0.000000	0.012077	0.000111	84.584398	
8420000	-114.917689	1	1	10	'Z 0 0 Z 0 Z 0 Z Z Z Z 0 0 0 Z 0 Z Z 0 0 	0.000000	7.172294	7.172294	0.000000	7.172294	0.000000	7.172294	0.000000	0.000000	0.000000	0.000000	7.172294	7.172294	7.172294	0.000000	7.172294	0.000000	0.000000	7.172294	7.172294	3.621339	3.621339	0.825974	0.095671	0.000495	0.071890	0.005971	79.206166	
8422500	-114.758348	1	1	9	'Z 0 0 Z 0 0 0 0 0 0 Z 0 0 Z Z Z Z Z 0 Z 	0.000000	6.994315	6.994315	0.000000	6.994315	6.994315	6.994315	6.994315	6.994315	6.994315	0.000000	6.994315	6.994315	0.000000	0.000000	0.000000	0.000000	0.000000	6.994315	0.000000	5.093165	5.093165	0.374856	0.078067	0.510090	0.016157	0.020829	62.703859	
8425000	-113.906457	1	1	12	'Z 0 0 Z Z Z 0 Z 0 Z Z Z 0 0 Z 0 Z Z Z 0 	0.000000	5.408802	5.408802	0.000000	0.000000	0.000000	5.408802	0.000000	5.408802	0.000000	0.000000	0.000000	5.408802	5.408802	0.000000	5.408802	0.000000	0.000000	0.000000	5.408802	10.014454	10.014454	0.646773	0.000033	0.348099	0.005061	0.000033	67.396081	
8427500	-117.558358	1	1	11	'Z 0 0 Z 0 Z Z Z 0 Z 0 Z Z 0 0 0 Z Z Z 0 	0.000000	4.256132	4.256132	0.000000	4.256132	0.000000	0.000000	0.000000	4.256132	0.000000	4.256132	0.000000	0.000000	4.256132	4.256132	4.256132	0.000000	0.000000	0.000000	4.256132	10.516015	10.516015	0.663037	0.006046	0.327558	0.003345	0.000014	35.689917	
8430000	-113.907552	1	1	9	'Z 0 0 Z 0 0 0 Z Z Z Z Z 0 0 0 0 0 Z Z 0 	0.000000	7.464991	7.464991	0.000000	7.464991	7.464991	7.464991	0.000000	0.000000	0.000000	0.000000	0.000000	7.464991	7.464991	7.464991	7.464991	7.464991	0.000000	0.000000	7.464991	3.642874	3.642874	0.589106	0.190060	0.000000	0.128578	0.092256	66.728288	
8432500	-115.859224	1	1	10	'Z 0 0 Z Z Z 0 Z Z Z Z Z 0 0 0 0 0 0 Z 0 	0.000000	10.485547	10.485547	0.000000	0.000000	0.000000	10.485547	0.000000	0.000000	0.000000	0.000000	0.000000	10.485547	10.485547	10.485547	10.485547	10.485547	10.485547	0.000000	10.485547	10.501025	10.501025	0.946567	0.001548	0.000000	0.025312	0.026572	57.007106	
8435000	-114.927978	1	1	12	'Z 0 0 Z 0 0 0 0 Z 0 Z Z Z 0 Z Z Z Z Z Z 	0.000000	6.440548	6.440548	0.000000	6.440548	6.440548	6.440548	6.440548	0.000000	6.440548	0.000000	0.000000	0.000000	6.440548	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.045459	5.045459	0.948924	0.035997	0.013978	0.001101	0.000000	54.928009	
8437500	-114.061137	1	1	12	'Z 0 0 Z 0 Z 0 0 Z Z Z Z 0 0 0 Z Z Z Z Z 	0.000000	10.570912	10.570912	0.000000	10.570912	0.000000	10.570912	10.570912	0.000000	0.000000	0.000000	0.000000	10.570912	10.570912	10.570912	0.000000	0.000000	0.000000	0.000000	0.000000	7.026303	7.026303	0.925518	0.029455	0.000000	0.045027	0.000000	68.561243	
8440000	-114.207963	1	1	12	'Z 0 0 Z Z Z 0 Z Z Z Z 0 0 0 0 Z Z Z 0 Z 	0.000000	6.292784	6.292784	0.000000	0.000000	0.000000	6.292784	0.000000	0.000000	0.000000	0.000000	6.292784	6.292784	6.292784	6.292784	0.000000	0.000000	0.000000	6.292784	0.000000	11.524691	11.524691	0.971766	0.000525	0.000000	0.027708	0.000000	82.524227	
8442500	-112.826243	1	1	12	'Z 0 0 Z 0 Z 0 Z Z Z Z Z Z 0 Z 0 Z Z 0 0 	0.000000	9.371917	9.371917	0.000000	9.371917	0.000000	9.371917	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.371917	0.000000	9.371917	0.000000	0.000000	9.371917	9.371917	4.601477	4.601477	0.964318	0.033172	0.000000	0.002357	0.000152	79.385690	
8445000	-110.592120	1	1	13	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	10.857076	10.857076	0.000000	10.857076	0.000000	10.857076	0.000000	0.000000	0.000000	0.000000	0.000000	10.857076	10.857076	0.000000	10.857076	0.000000	0.000000	0.000000	0.000000	6.252960	6.252960	0.931533	0.044811	0.000000	0.023656	0.000000	97.082170	
8447500	-114.048272	1	1	10	'Z 0 0 Z 0 0 0 0 0 Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	7.804008	7.804008	0.000000	7.804008	7.804008	7.804008	7.804008	7.804008	0.000000	0.000000	0.000000	7.804008	7.804008	0.000000	7.804008	0.000000	0.000000	0.000000	0.000000	4.520207	4.520207	0.518528	0.087788	0.359511	0.034173	0.000000	92.481672	
8450000	-113.468573	1	1	11	'Z 0 0 Z 0 0 0 0 Z Z Z Z 0 0 Z Z Z Z 0 Z 	0.000000	8.534176	8.534176	0.000000	8.534176	8.534176	8.534176	8.534176	0.000000	0.000000	0.000000	0.000000	8.534176	8.534176	0.000000	0.000000	0.000000	0.000000	8.534176	0.000000	3.997073	3.997073	0.753423	0.098143	0.000000	0.148435	0.000000	83.850140	
8452500	-113.703826	1	1	11	'Z 0 0 Z 0 Z 0 0 Z 0 Z Z 0 0 Z 0 Z Z Z Z 	0.000000	7.223168	7.223168	0.000000	7.223168	0.000000	7.223168	7.223168	0.000000	7.223168	0.000000	0.000000	7.223168	7.223168	0.000000	7.223168	0.000000	0.000000	0.000000	0.000000	4.456926	4.456926	0.930263	0.025080	0.019790	0.024868	0.000000	85.589702	
8455000	-115.511258	1	2	9	'Z 1 1 0 0 Z 0 0 Z Z Z 0 0 0 0 1 Z Z Z Z 	0.000000	4.728295	4.728295	0.838035	0.838035	0.000000	0.838035	0.838035	0.000000	0.000000	0.000000	0.838035	0.838035	0.838035	0.838035	4.728295	0.000000	0.000000	0.000000	0.000000	2.714786	2.714786	0.998914	0.000442	0.000000	0.000644	0.000000	83.957529	
8457500	-112.656763	1	1	9	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 0 0 0 0 Z 0 	0.000000	6.686378	6.686378	0.000000	6.686378	0.000000	6.686378	0.000000	0.000000	0.000000	0.000000	0.000000	6.686378	6.686378	6.686378	6.686378	6.686378	6.686378	0.000000	6.686378	5.218128	5.218128	0.769473	0.079311	0.000000	0.079822	0.071394	73.846655	
8460000	-117.433803	1	1	11	'Z 0 0 Z Z 0 0 Z Z Z Z 0 0 0 Z 0 Z Z 0 Z 	0.000000	5.659654	5.659654	0.000000	0.000000	5.659654	5.659654	0.000000	0.000000	0.000000	0.000000	5.659654	5.659654	5.659654	0.000000	5.659654	0.000000	0.000000	5.659654	0.000000	4.102262	4.102262	0.954213	0.002883	0.000000	0.042904	0.000000	99.541808	
8462500	-113.716527	1	1	11	'Z 0 0 Z 0 0 0 Z Z Z Z Z Z 0 Z 0 Z Z 0 0 	0.000000	5.669623	5.669623	0.000000	5.669623	5.669623	5.669623	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.669623	0.000000	5.669623	0.000000	0.000000	5.669623	5.669623	4.196776	4.196776	0.802645	0.190641	0.000000	0.006533	0.000181	94.737481	
8465000	-111.619042	1	1	12	'Z 0 0 Z 0 Z 0 Z Z Z Z Z 0 0 Z 0 0 Z Z Z 	0.000000	9.382667	9.382667	0.000000	9.382667	0.000000	9.382667	0.000000	0.000000	0.000000	0.000000	0.000000	9.382667	9.382667	0.000000	9.382667	9.382667	0.000000	0.000000	0.000000	3.453479	3.453479	0.704684	0.124832	0.000000	0.100719	0.069764	98.074791	
8467500	-112.362613	1	1	11	'Z 0 0 Z 0 0 0 Z 0 Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	5.271526	5.271526	0.000000	5.271526	5.271526	5.271526	0.000000	5.271526	0.000000	0.000000	0.000000	5.271526	5.271526	0.000000	5.271526	0.000000	0.000000	0.000000	0.000000	5.482353	5.482353	0.458175	0.270030	0.236727	0.035068	0.000000	88.775722	
8470000	-118.643560	1	1	10	'Z 0 0 Z Z Z 0 Z Z Z Z Z 0 0 0 0 0 0 0 Z 	0.000000	7.265920	7.265920	0.000000	0.000000	0.000000	7.265920	0.000000	0.000000	0.000000	0.000000	0.000000	7.265920	7.265920	7.265920	7.265920	7.265920	7.265920	7.265920	0.000000	23.950811	23.950811	0.935559	0.000529	0.000000	0.031728	0.032184	84.220358	
8472500	-112.237346	1	1	14	'Z 0 0 Z 0 Z Z Z Z Z Z Z 0 0 Z 0 Z Z Z Z 	0.000000	9.874214	9.874214	0.000000	9.874214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.874214	9.874214	0.000000	9.874214	0.000000	0.000000	0.000000	0.000000	7.853565	7.853565	0.922201	0.054239	0.000000	0.023560	0.000000	91.225192	
8475000	-115.028505	1	1	9	'Z 0 0 Z 0 Z 0 Z 0 Z Z Z 0 0 0 0 Z Z 0 0 	0.000000	7.461058	7.461058	0.000000	7.461058	0.000000	7.461058	0.000000	7.461058	0.000000	0.000000	0.000000	7.461058	7.461058	7.461058	7.461058	0.000000	0.000000	7.461058	7.461058	10.217251	10.217251	0.650897	0.044498	0.220956	0.065393	0.018255	80.091744	
8477500	-118.261601	1	1	13	'Z 0 0 Z Z Z 0 Z 0 Z Z Z 0 0 Z Z 0 Z Z Z 	0.000000	8.339457	8.339457	0.000000	0.000000	0.000000	8.339457	0.000000	8.339457	0.000000	0.000000	0.000000	8.339457	8.339457	0.000000	0.000000	8.339457	0.000000	0.000000	0.000000	7.525366	7.525366	0.000072	0.000000	0.000045	0.000002	0.999881	83.207559	
8480000	-112.609883	1	1	11	'Z 0 0 Z 0 Z 0 Z 0 Z Z Z 0 0 0 0 Z Z Z Z 	0.000000	7.534444	7.534444	0.000000	7.534444	0.000000	7.534444	0.000000	7.534444	0.000000	0.000000	0.000000	7.534444	7.534444	7.534444	7.534444	0.000000	0.000000	0.000000	0.000000	3.422446	3.422446	0.520900	0.094596	0.301986	0.082518	0.000000	79.676433	
8482500	-114.479049	1	1	8	'Z 0 0 Z 0 Z 0 0 0 Z Z Z 0 0 Z 0 0 0 0 Z 	0.000000	6.703595	6.703595	0.000000	6.703595	0.000000	6.703595	6.703595	6.703595	0.000000	0.000000	0.000000	6.703595	6.703595	0.000000	6.703595	6.703595	6.703595	6.703595	0.000000	5.989329	5.989329	0.474846	0.065450	0.264040	0.058137	0.137527	97.068332	
8485000	-113.518302	1	1	12	'Z 0 0 0 0 Z 0 Z Z Z Z Z 0 Z Z Z Z 0 0 Z 	0.000000	7.624032	7.624032	7.624032	7.624032	0.000000	7.624032	0.000000	0.000000	0.000000	0.000000	0.000000	7.624032	0.000000	0.000000	0.000000	0.000000	7.624032	7.624032	0.000000	3.913161	3.913161	0.941134	0.031429	0.000000	0.023672	0.003765	93.359946	
8487500	-120.532957	1	1	6	'0 0 0 Z 0 0 0 Z Z Z 0 0 0 0 0 0 Z Z 0 0 	3.060425	3.060425	3.060425	0.000000	3.060425	3.060425	3.060425	0.000000	0.000000	0.000000	3.060425	3.060425	3.060425	3.060425	3.060425	3.060425	0.000000	0.000000	3.060425	3.060425	4.336633	4.336633	0.926306	0.044751	0.001352	0.027216	0.000375	89.186920	
8490000	-113.846674	1	1	12	'Z 0 0 Z 0 Z 0 Z Z Z Z Z Z 0 Z 0 Z Z 0 0 	0.000000	9.238772	9.238772	0.000000	9.238772	0.000000	9.238772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.238772	0.000000	9.238772	0.000000	0.000000	9.238772	9.238772	8.929788	8.929788	0.976128	0.022619	0.000000	0.001182	0.000070	87.184659	
8492500	-113.338037	1	1	9	'Z 0 0 Z 0 0 0 Z 0 0 Z Z 0 Z Z 0 0 Z Z 0 	0.000000	5.726202	5.726202	0.000000	5.726202	5.726202	5.726202	0.000000	5.726202	5.726202	0.000000	0.000000	5.726202	0.000000	0.000000	5.726202	5.726202	0.000000	0.000000	5.726202	7.822505	7.822505	0.335105	0.068951	0.581356	0.007280	0.007309	78.455327	
8495000	-111.861386	1	1	12	'Z 0 0 Z 0 0 0 Z Z 0 Z Z 0 Z Z 0 Z Z Z Z 	0.000000	6.374540	6.374540	0.000000	6.374540	6.374540	6.374540	0.000000	0.000000	6.374540	0.000000	0.000000	6.374540	0.000000	0.000000	6.374540	0.000000	0.000000	0.000000	0.000000	7.072104	7.072104	0.856052	0.095605	0.033662	0.014681	0.000000	49.640539	
8497500	-112.990565	1	1	10	'Z 0 0 Z 0 0 0 Z 0 0 Z Z 0 0 Z 0 Z Z Z Z 	0.000000	7.463851	7.463851	0.000000	7.463851	7.463851	7.463851	0.000000	7.463851	7.463851	0.000000	0.000000	7.463851	7.463851	0.000000	7.463851	0.000000	0.000000	0.000000	0.000000	6.132962	6.132962	0.356119	0.093600	0.530677	0.019604	0.000000	49.964055	
8500000	-114.234198	1	1	10	'Z 0 0 Z 0 0 0 Z 0 0 Z Z 0 Z Z 0 Z 0 Z Z 	0.000000	4.895696	4.895696	0.000000	4.895696	4.895696	4.895696	0.000000	4.895696	4.895696	0.000000	0.000000	4.895696	0.000000	0.000000	4.895696	0.000000	4.895696	0.000000	0.000000	11.377791	11.377791	0.364350	0.047511	0.583935	0.003735	0.000470	35.823570	
8502500	-113.433283	1	1	9	'Z 0 0 Z 0 0 0 0 Z Z Z Z 0 0 Z 0 0 0 Z Z 	0.000000	6.143970	6.143970	0.000000	6.143970	6.143970	6.143970	6.143970	0.000000	0.000000	0.000000	0.000000	6.143970	6.143970	0.000000	6.143970	6.143970	6.143970	0.000000	0.000000	3.510629	3.510629	0.568978	0.194436	0.000000	0.114480	0.122107	9.470288	
8505000	-115.198936	1	2	12	'1 0 0 Z 0 0 Z 1 1 Z Z Z Z Z Z 1 Z Z Z Z 	1.267571	8.611883	8.611883	0.000000	8.611883	8.611883	0.000000	1.267571	1.267571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.267571	0.000000	0.000000	0.000000	0.000000	6.783097	6.783097	0.820686	0.171501	0.007813	0.000000	0.000000	7.553114	
8507500	-119.991008	1	1	10	'Z 0 0 0 0 0 0 Z 0 0 Z 0 Z Z Z 0 Z Z Z Z 	0.000000	4.409120	4.409120	4.409120	4.409120	4.409120	4.409120	0.000000	4.409120	4.409120	0.000000	4.409120	0.000000	0.000000	0.000000	4.409120	0.000000	0.000000	0.000000	0.000000	10.334989	10.334989	0.391899	0.041218	0.566884	0.000000	0.000000	9.365858	
8510000	-113.966340	1	1	10	'Z 0 0 Z 0 0 0 Z 0 0 Z 0 0 Z 0 Z Z Z Z Z 	0.000000	7.012696	7.012696	0.000000	7.012696	7.012696	7.012696	0.000000	7.012696	7.012696	0.000000	7.012696	7.012696	0.000000	7.012696	0.000000	0.000000	0.000000	0.000000	0.000000	6.602950	6.602950	0.459938	0.119003	0.335290	0.085769	0.000000	8.944387	
8512500	-111.283750	1	2	8	'0 1 1 0 1 0 1 0 0 Z 0 0 Z 0 Z Z Z Z Z Z 	0.909917	12.288054	12.288054	0.909917	12.288054	0.909917	12.288054	0.909917	0.909917	0.000000	0.909917	0.909917	0.000000	0.909917	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.440744	3.440744	0.985675	0.012903	0.001417	0.000005	0.000000	10.737862	
8515000	-111.495222	1	2	7	'0 1 1 0 1 Z 1 0 1 0 Z 0 0 Z Z 0 Z 0 Z Z 	0.573188	8.702154	8.702154	0.573188	8.702154	0.000000	8.702154	0.573188	8.702154	0.573188	0.000000	0.573188	0.573188	0.000000	0.000000	0.573188	0.000000	0.573188	0.000000	0.000000	7.707441	7.707441	0.485215	0.010085	0.504666	0.000033	0.000001	14.322376	
8517500	-110.675982	1	2	8	'1 0 0 Z Z Z 1 Z 1 Z 1 Z 0 0 Z 0 1 Z 1 1 	0.452177	5.616731	5.616731	0.000000	0.000000	0.000000	0.452177	0.000000	0.452177	0.000000	0.452177	0.000000	5.616731	5.616731	0.000000	5.616731	0.452177	0.000000	0.452177	0.452177	14.551909	14.551909	0.990629	0.000000	0.002992	0.006300	0.000079	56.146478	
8520000	-107.228421	1	2	7	'Z 0 0 1 Z Z 1 Z 1 Z 1 1 0 0 1 Z Z 1 1 1 	0.000000	15.543484	15.543484	0.567234	0.000000	0.000000	0.567234	0.000000	0.567234	0.000000	0.567234	0.567234	15.543484	15.543484	0.567234	0.000000	0.000000	0.567234	0.567234	0.567234	4.821453	4.821453	0.988926	0.000001	0.000521	0.010550	0.000002	54.234156	
8522500	-110.430301	1	2	7	'Z 1 1 0 0 0 0 Z 0 Z Z Z 1 1 Z 0 0 0 Z 0 	0.000000	4.435908	4.435908	0.217563	0.217563	0.217563	0.217563	0.000000	0.217563	0.000000	0.000000	0.000000	4.435908	4.435908	0.000000	0.217563	0.217563	0.217563	0.000000	0.217563	11.560730	11.560730	0.992672	0.000018	0.000859	0.006439	0.000012	49.431972	
8525000	-116.998343	1	2	4	'0 1 1 0 0 0 0 0 1 Z 0 Z 0 Z 0 Z 1 0 1 0 	1.484959	9.113623	9.113623	1.484959	1.484959	1.484959	1.484959	1.484959	9.113623	0.000000	1.484959	0.000000	1.484959	0.000000	1.484959	0.000000	9.113623	1.484959	9.113623	1.484959	5.355485	5.355485	0.624166	0.003864	0.271247	0.001993	0.098731	41.066708	
8527500	-113.424334	1	2	5	'0 1 1 0 0 Z 0 0 Z 0 0 Z Z 1 0 0 1 Z 1 0 	0.345714	10.997425	10.997425	0.345714	0.345714	0.000000	0.345714	0.345714	0.000000	0.345714	0.345714	0.000000	0.000000	10.997425	0.345714	0.345714	10.997425	0.000000	10.997425	0.345714	4.528036	4.528036	0.964095	0.000023	0.000000	0.000005	0.035877	13.982069	
8530000	-110.802756	1	2	6	'0 1 1 Z Z 0 0 Z Z Z 0 0 1 1 Z 0 1 0 0 0 	0.063150	10.665114	10.665114	0.000000	0.000000	0.063150	0.063150	0.000000	0.000000	0.000000	0.063150	0.063150	10.665114	10.665114	0.000000	0.063150	10.665114	0.063150	0.063150	0.063150	7.494250	7.494250	0.867341	0.000000	0.000013	0.013279	0.119367	5.484541	
8532500	-107.652163	1	2	7	'Z 1 1 0 Z Z 0 Z 0 0 Z Z 1 1 0 0 1 0 Z 0 	0.000000	7.804693	7.804693	0.365262	0.000000	0.000000	0.365262	0.000000	0.365262	0.365262	0.000000	0.000000	7.804693	7.804693	0.365262	0.365262	7.804693	0.365262	0.000000	0.365262	3.882845	3.882845	0.912714	0.000001	0.001184	0.025980	0.060120	3.243583	
8535000	-110.004164	1	2	6	'0 1 1 0 0 Z 0 Z 1 0 0 Z 1 1 0 Z Z 0 Z 0 	0.447641	9.751648	9.751648	0.447641	0.447641	0.000000	0.447641	0.000000	9.751648	0.447641	0.447641	0.000000	9.751648	9.751648	0.447641	0.000000	0.000000	0.447641	0.000000	0.447641	13.260883	13.260883	0.601504	0.000027	0.385697	0.012772	0.000001	5.569552	
