Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
568	0.278169	221	0.334842	93	0.193548	118	0.991525	3.343272	789	0.294043	0.367000	0.370966	
288	0.253472	113	0.318584	28	0.071429	71	1.000000	3.343272	401	0.271820	0.364000	0.370970	
569	0.247803	225	0.368889	88	0.147727	118	0.983051	3.343272	794	0.282116	0.353000	0.370980	
266	0.266917	114	0.342105	57	0.175439	63	1.000000	3.343272	380	0.289474	0.366000	0.371049	
621	0.283414	184	0.494565	72	0.194444	123	1.000000	3.343272	805	0.331677	0.404000	0.371551	
292	0.321918	110	0.345455	31	0.193548	67	1.000000	3.343272	402	0.328358	0.410000	0.372033	
538	0.314126	231	0.324675	106	0.113208	125	1.000000	3.343272	769	0.317295	0.381000	0.371866	
299	0.354515	111	0.387387	33	0.242424	57	1.000000	3.343272	410	0.363415	0.428000	0.371992	
569	0.281195	225	0.382222	82	0.134146	124	0.991935	3.343272	794	0.309824	0.380000	0.372270	
280	0.271429	116	0.362069	48	0.229167	56	0.982143	3.343272	396	0.297980	0.368000	0.372283	
527	0.273245	233	0.420601	83	0.120482	157	1.000000	3.343272	760	0.318421	0.409000	0.372684	
304	0.289474	108	0.361111	33	0.000000	55	1.000000	3.343272	412	0.308252	0.364000	0.372686	
581	0.313253	231	0.437229	84	0.154762	104	0.846154	3.343272	812	0.348522	0.384000	0.372856	
265	0.298113	123	0.357724	48	0.187500	64	0.921875	3.343272	388	0.317010	0.382000	0.372829	
546	0.208791	231	0.424242	86	0.104651	137	0.948905	3.343272	777	0.272844	0.351000	0.372183	
278	0.187050	117	0.512821	62	0.112903	43	1.000000	3.343272	395	0.283544	0.324000	0.371710	
569	0.217926	218	0.417431	85	0.211765	128	0.789062	3.343272	787	0.273189	0.334000	0.371408	
298	0.234899	96	0.270833	34	0.264706	72	0.902778	3.343272	394	0.243655	0.340000	0.371104	
516	0.218992	244	0.397541	105	0.057143	135	0.948148	3.343272	760	0.276316	0.344000	0.370706	
255	0.278431	117	0.418803	61	0.196721	67	0.880597	3.343272	372	0.322581	0.382000	0.370210	
542	0.158672	253	0.335968	86	0.302326	119	0.890756	3.343272	795	0.215094	0.303000	0.369665	
259	0.258687	117	0.410256	62	0.064516	62	0.758065	2.468769	376	0.305851	0.332000	0.368982	
610	0.372131	199	0.492462	79	0.164557	112	0.955357	2.468769	809	0.401731	0.445000	0.369673	
286	0.321678	133	0.458647	30	0.200000	51	0.960784	2.879225	419	0.365155	0.416000	0.369966	
541	0.308688	247	0.372470	70	0.128571	142	0.992958	2.879225	788	0.328680	0.409000	0.370094	
259	0.293436	114	0.412281	44	0.068182	83	1.000000	2.879225	373	0.329759	0.418000	0.370461	
599	0.322204	196	0.428571	91	0.175824	114	0.991228	2.879225	795	0.348428	0.406000	0.370909	
279	0.283154	116	0.465517	46	0.108696	59	1.000000	2.879225	395	0.336709	0.394000	0.371128	
587	0.374787	218	0.467890	63	0.174603	132	1.000000	2.912729	805	0.400000	0.465000	0.372211	
316	0.313291	105	0.361905	25	0.120000	54	0.962963	2.912729	421	0.325416	0.384000	0.372381	
564	0.303191	276	0.416667	53	0.132075	107	0.990654	2.912729	840	0.340476	0.399000	0.372794	
286	0.276224	106	0.396226	47	0.042553	61	1.000000	2.912729	392	0.308673	0.368000	0.373194	
552	0.387681	251	0.418327	74	0.148649	123	0.991870	2.912729	803	0.397260	0.452000	0.373753	
299	0.364548	120	0.475000	32	0.062500	49	1.000000	2.912729	419	0.396181	0.434000	0.374304	
565	0.325664	219	0.415525	76	0.210526	140	1.000000	2.912729	784	0.350765	0.431000	0.374778	
306	0.395425	97	0.381443	46	0.195652	51	1.000000	2.912729	403	0.392060	0.436000	0.375356	
584	0.409247	243	0.399177	49	0.122449	124	1.000000	2.912729	827	0.406288	0.466000	0.376130	
286	0.216783	108	0.212963	51	0.137255	55	1.000000	4.922763	394	0.215736	0.294000	0.375709	
577	0.254766	220	0.300000	91	0.142857	112	0.991071	3.830024	797	0.267252	0.337000	0.375061	
282	0.265957	117	0.341880	39	0.076923	62	0.967742	3.830024	399	0.288221	0.356000	0.374934	
564	0.269504	232	0.357759	83	0.168675	121	0.983471	3.830024	796	0.295226	0.368000	0.374918	
286	0.241259	107	0.345794	41	0.121951	66	1.000000	3.830024	393	0.269720	0.354000	0.374863	
579	0.278066	226	0.367257	69	0.043478	126	0.984127	3.830024	805	0.303106	0.371000	0.374795	
278	0.237410	121	0.305785	32	0.156250	69	1.000000	3.830024	399	0.258145	0.354000	0.374821	
524	0.257634	258	0.248062	95	0.136842	123	1.000000	3.830024	782	0.254476	0.335000	0.374643	
290	0.296552	108	0.342593	36	0.138889	66	1.000000	3.830024	398	0.309045	0.388000	0.374465	
585	0.270085	247	0.299595	54	0.185185	114	1.000000	3.830024	832	0.278846	0.356000	0.374148	
292	0.208904	132	0.477273	25	0.320000	51	0.803922	3.830024	424	0.292453	0.346000	0.373955	
596	0.182886	215	0.386047	71	0.154930	118	0.983051	3.830024	811	0.236745	0.319000	0.373638	
276	0.239130	128	0.343750	24	0.125000	72	0.986111	3.830024	404	0.272277	0.368000	0.373482	
560	0.278571	233	0.334764	79	0.088608	128	1.000000	3.830024	793	0.295082	0.369000	0.373409	
264	0.212121	107	0.308411	60	0.150000	69	0.985507	3.830024	371	0.239892	0.332000	0.372973	
572	0.255245	189	0.312169	91	0.065934	148	1.000000	3.830024	761	0.269382	0.359000	0.372857	
