Default schedule
Rate	55.56
CV	22.22
Rev Jump	11.11
Prior Change	11.11
Rate Tried	% Accepted	CV Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
279	0.261649	98	0.295918	41	0.073171	82	1.000000	3.546559	377	0.270557	0.374000	0.358371	
553	0.245931	248	0.350806	77	0.103896	122	1.000000	3.546559	801	0.278402	0.353000	0.358376	
297	0.235690	97	0.288660	53	0.056604	53	1.000000	3.546559	394	0.248731	0.308000	0.354265	
547	0.246801	226	0.314159	89	0.191011	138	0.978261	3.546559	773	0.266494	0.358000	0.355132	
283	0.250883	121	0.429752	44	0.204545	52	0.903846	3.546559	404	0.304455	0.358000	0.356651	
561	0.270945	239	0.364017	84	0.202381	116	1.000000	3.546559	800	0.298750	0.372000	0.356146	
285	0.207018	119	0.294118	28	0.000000	68	0.823529	3.546559	404	0.232673	0.300000	0.354169	
577	0.221837	196	0.372449	111	0.135135	116	0.982759	3.546559	773	0.260026	0.330000	0.353822	
279	0.247312	119	0.436975	47	0.148936	55	0.927273	3.546559	398	0.304020	0.358000	0.353958	
582	0.297251	197	0.355330	72	0.236111	149	0.953020	3.546559	779	0.311938	0.402000	0.356447	
292	0.325342	116	0.396552	27	0.333333	65	0.953846	3.546559	408	0.345588	0.424000	0.359084	
559	0.257603	222	0.378378	77	0.090909	142	1.000000	3.546559	781	0.291933	0.377000	0.360116	
287	0.222997	119	0.428571	38	0.157895	56	0.982143	3.546559	406	0.283251	0.352000	0.360933	
574	0.311847	222	0.369369	76	0.078947	128	0.992188	3.546559	796	0.327889	0.394000	0.362903	
254	0.248031	120	0.416667	55	0.163636	71	1.000000	3.546559	374	0.302139	0.386000	0.363487	
553	0.285714	248	0.375000	79	0.189873	120	0.983333	3.546559	801	0.313358	0.384000	0.364333	
292	0.246575	123	0.357724	35	0.171429	50	1.000000	3.546559	415	0.279518	0.344000	0.364355	
558	0.284946	219	0.378995	95	0.221053	128	0.992188	3.546559	777	0.311454	0.390000	0.365793	
268	0.212687	135	0.303704	21	0.333333	76	0.934211	3.546559	403	0.243176	0.352000	0.365194	
561	0.204991	252	0.464286	61	0.163934	126	0.960317	3.546559	813	0.285363	0.363000	0.364727	
278	0.345324	111	0.405405	44	0.227273	67	0.985075	3.546559	389	0.362468	0.434000	0.365626	
566	0.242049	230	0.360870	79	0.139241	125	0.992000	3.546559	796	0.276382	0.355000	0.365502	
282	0.262411	112	0.312500	37	0.189189	69	1.000000	3.546559	394	0.276650	0.370000	0.365669	
552	0.273551	249	0.433735	85	0.094118	114	1.000000	3.546559	801	0.323346	0.381000	0.366109	
309	0.216828	99	0.474747	35	0.085714	57	1.000000	3.546559	408	0.279412	0.348000	0.366547	
520	0.271154	238	0.382353	98	0.153061	144	0.993056	3.546559	758	0.306069	0.390000	0.366835	
298	0.312081	123	0.325203	32	0.156250	47	0.957447	3.546559	421	0.315914	0.366000	0.367028	
536	0.214552	208	0.408654	100	0.160000	156	0.987179	3.546559	744	0.268817	0.370000	0.367670	
273	0.212454	109	0.467890	50	0.140000	68	0.985294	3.546559	382	0.285340	0.366000	0.368008	
553	0.258590	224	0.361607	92	0.141304	131	0.923664	3.546559	777	0.288288	0.358000	0.367925	
286	0.251748	110	0.345455	36	0.055556	68	0.970588	3.546559	396	0.277778	0.356000	0.367756	
552	0.230072	231	0.389610	93	0.118280	124	0.975806	3.546559	783	0.277139	0.349000	0.367651	
268	0.242537	109	0.449541	46	0.217391	77	0.987013	3.546559	377	0.302387	0.400000	0.367726	
563	0.282416	221	0.407240	94	0.127660	122	1.000000	3.546559	784	0.317602	0.383000	0.367870	
273	0.252747	129	0.395349	29	0.137931	69	1.000000	3.546559	402	0.298507	0.386000	0.368314	
548	0.257299	250	0.384000	87	0.091954	115	0.991304	3.546559	798	0.296992	0.359000	0.368556	
271	0.239852	121	0.363636	54	0.240741	54	1.000000	3.546559	392	0.278061	0.352000	0.368670	
562	0.250890	233	0.313305	77	0.077922	128	1.000000	3.546559	795	0.269182	0.348000	0.368282	
287	0.236934	109	0.394495	39	0.051282	65	0.984615	3.546559	396	0.280303	0.354000	0.368145	
566	0.204947	240	0.395833	76	0.118421	118	0.872881	3.546559	806	0.261787	0.323000	0.367724	
301	0.265781	130	0.369231	26	0.076923	43	0.976744	3.546559	431	0.296984	0.344000	0.367535	
568	0.286972	229	0.397380	70	0.185714	133	0.909774	3.546559	797	0.318695	0.388000	0.367458	
295	0.257627	109	0.559633	34	0.058824	62	0.983871	3.546559	404	0.339109	0.400000	0.367682	
580	0.186207	252	0.424603	70	0.100000	98	0.989796	3.546559	832	0.258413	0.319000	0.367239	
278	0.187050	122	0.352459	37	0.216216	63	0.936508	3.546559	400	0.237500	0.324000	0.366111	
580	0.213793	223	0.381166	81	0.148148	116	0.991379	3.546559	803	0.260274	0.336000	0.365357	
290	0.237931	88	0.352273	46	0.108696	76	1.000000	3.546559	378	0.264550	0.362000	0.365660	
584	0.277397	222	0.346847	78	0.179487	116	0.982759	3.546559	806	0.296526	0.367000	0.365566	
286	0.213287	132	0.257576	25	0.240000	57	0.947368	3.546559	418	0.227273	0.310000	0.364609	
569	0.261863	203	0.290640	93	0.172043	135	0.859259	3.546559	772	0.269430	0.340000	0.364382	
260	0.226923	120	0.408333	45	0.222222	75	0.986667	3.546559	380	0.284211	0.384000	0.363888	
605	0.259504	205	0.317073	71	0.140845	119	0.974790	3.546559	810	0.274074	0.348000	0.363690	
290	0.255172	111	0.369369	39	0.102564	60	0.966667	3.546559	401	0.286783	0.354000	0.363555	
581	0.302926	222	0.324324	78	0.076923	119	1.000000	3.546559	803	0.308842	0.373000	0.363687	
276	0.297101	121	0.363636	48	0.083333	55	1.000000	3.546559	397	0.317380	0.370000	0.363760	
577	0.270364	212	0.452830	86	0.162791	125	1.000000	3.546559	789	0.319392	0.391000	0.364158	
269	0.245353	92	0.413043	65	0.092308	74	1.000000	3.546559	361	0.288089	0.368000	0.364398	
566	0.249117	244	0.557377	70	0.114286	120	1.000000	3.546559	810	0.341975	0.405000	0.364907	
298	0.335570	98	0.285714	32	0.031250	72	1.000000	3.546559	396	0.323232	0.402000	0.365109	
584	0.273973	259	0.308880	74	0.054054	83	0.987952	3.546559	843	0.284698	0.326000	0.364785	
292	0.270548	100	0.360000	41	0.121951	67	1.000000	3.546559	392	0.293367	0.374000	0.364724	
559	0.236136	214	0.378505	87	0.114943	140	0.992857	3.546559	773	0.275550	0.362000	0.364949	
294	0.234694	115	0.330435	48	0.083333	43	1.000000	3.546559	409	0.261614	0.308000	0.364762	
547	0.217550	253	0.478261	99	0.181818	101	0.990099	3.546559	800	0.300000	0.358000	0.364804	
269	0.289963	119	0.462185	50	0.120000	62	1.000000	3.546559	388	0.342784	0.402000	0.365128	
571	0.241681	205	0.321951	98	0.102041	126	1.000000	3.546559	776	0.262887	0.340000	0.364804	
251	0.290837	125	0.384000	49	0.040816	75	1.000000	3.546559	376	0.321809	0.396000	0.365192	
591	0.321489	219	0.287671	91	0.098901	99	0.989899	3.546559	810	0.312346	0.360000	0.365487	
265	0.222642	109	0.385321	32	0.062500	94	1.000000	3.546559	374	0.270053	0.394000	0.365894	
580	0.365517	242	0.363636	55	0.000000	123	1.000000	3.546559	822	0.364964	0.423000	0.366290	
272	0.363971	114	0.385965	36	0.111111	78	0.987179	3.546559	386	0.370466	0.448000	0.366563	
548	0.288321	241	0.381743	52	0.038462	159	1.000000	3.546559	789	0.316857	0.411000	0.367014	
297	0.215488	104	0.240385	49	0.122449	50	0.980000	3.546559	401	0.221945	0.288000	0.366715	
564	0.260638	246	0.308943	69	0.202899	121	0.991736	3.546559	810	0.275309	0.357000	0.366644	
305	0.239344	99	0.353535	31	0.064516	65	0.984615	3.546559	404	0.267327	0.348000	0.366408	
579	0.279793	230	0.317391	65	0.153846	126	1.000000	3.546559	809	0.290482	0.371000	0.366683	
271	0.228782	110	0.300000	25	0.080000	94	1.000000	3.546559	381	0.249344	0.382000	0.366793	
534	0.250936	241	0.352697	88	0.113636	137	1.000000	3.546559	775	0.282581	0.366000	0.366818	
286	0.265734	109	0.412844	49	0.183673	56	1.000000	3.546559	395	0.306329	0.372000	0.366774	
