model	model_type	model_name	lnL	AIC	AICc	dAIC	AW
8	LhID	LhID_4	-13955.5498981445	27933.0997962889	27933.1773521056	0	0.999500312476144
5	LhD	LhD_4	-13949.1509298435	27948.301859687	27948.6853405129	15.2020633980173	0.000499685572967895
7	LhID	LhID_3	-13977.6433427206	27973.2866854412	27973.3395333566	40.1868891522208	1.87633695581025e-09
4	LhD	LhD_3	-13970.8689365514	27979.7378731027	27979.9616658	46.6380768138042	7.45509583767088e-11
3	LhD	LhD_2	-14021.1782729903	28068.3565459805	28068.4635418653	135.256749691576	4.25748296181398e-30
6	LhID	LhID_2	-14028.4836548536	28070.9673097071	28071.0001735569	137.867513418161	1.1540716659086e-30
2	LhD	LhD_1	-14227.0505152046	28466.1010304092	28466.1256710663	533.00123412026	1.81984969910645e-116
1	CD	CD	-14235.512486541	28479.0249730819	28479.0366998483	545.925176792971	2.84208477164966e-119
